replicate,branch,resolution,reference_state,reference_cells,mapped_cells,jaccard,recall
11,unintegrated,0.6,B_ASC,1051,947,0.8902554399243141,0.8953377735490009
11,unintegrated,0.8,B_CONV,119269,119373,0.9990283048107289,0.9999496935498746
11,unintegrated,0.8,B_ASC,1051,947,0.8902554399243141,0.8953377735490009
12,harmony,0.4,B_CONV,119269,119268,0.9993713643907264,0.9996813924825395
12,harmony,0.4,B_ASC,1051,1052,0.931129476584022,0.9647954329210275
12,harmony,0.6,B_CONV,119269,119225,0.9990612138839761,0.9993460161483705
12,harmony,0.6,B_ASC,1051,1095,0.9007971656333038,0.9676498572787822
12,harmony,0.8,B_CONV,119269,119224,0.999052831865083,0.9993376317400162
12,harmony,0.8,B_ASC,1051,1096,0.9,0.9676498572787822
12,unintegrated,0.4,B_CONV,119269,119369,0.9990450341777242,0.9999413091415205
12,unintegrated,0.4,B_ASC,1051,951,0.8922495274102079,0.8981921979067554
12,unintegrated,0.6,B_CONV,119269,119369,0.9990450341777242,0.9999413091415205
12,unintegrated,0.6,B_ASC,1051,951,0.8922495274102079,0.8981921979067554
12,unintegrated,0.8,B_CONV,119269,119369,0.9990450341777242,0.9999413091415205
12,unintegrated,0.8,B_ASC,1051,951,0.8922495274102079,0.8981921979067554
13,harmony,0.4,B_CONV,119298,119264,0.9992625183322857,0.9994886754178611
13,harmony,0.4,B_ASC,1022,1056,0.9187442289935365,0.9735812133072407
13,harmony,0.6,B_CONV,119298,119255,0.9992038483456807,0.9994216164562691
13,harmony,0.6,B_ASC,1022,1065,0.9129239230064161,0.974559686888454
13,harmony,0.8,B_CONV,119298,119257,0.9992038550178085,0.9994299988264682
13,harmony,0.8,B_ASC,1022,1063,0.9128440366972477,0.9735812133072407
13,unintegrated,0.4,B_CONV,119298,119385,0.9990201005025126,0.999874264447015
13,unintegrated,0.4,B_ASC,1022,935,0.8871745419479267,0.9001956947162426
13,unintegrated,0.6,B_CONV,119298,119384,0.9990284675751053,0.999874264447015
13,unintegrated,0.6,B_ASC,1022,936,0.8881388621022179,0.901174168297456
13,unintegrated,0.8,B_CONV,119298,119384,0.9990284675751053,0.999874264447015
13,unintegrated,0.8,B_ASC,1022,936,0.8881388621022179,0.901174168297456
14,harmony,0.4,B_CONV,119291,119282,0.9994217279439496,0.9996730683790059
14,harmony,0.4,B_ASC,1029,1038,0.9353932584269663,0.9708454810495627
14,harmony,0.6,B_CONV,119291,119254,0.9992038216560509,0.9994467311029331
14,harmony,0.6,B_ASC,1029,1066,0.91324200913242,0.9718172983479106
14,harmony,0.8,B_CONV,119291,119243,0.9991116325846463,0.9993545196200887
14,harmony,0.8,B_ASC,1029,1077,0.9041591320072333,0.9718172983479106
14,unintegrated,0.4,B_CONV,119291,119389,0.9990954319312528,0.9999580856896162
14,unintegrated,0.4,B_ASC,1029,931,0.8955512572533849,0.8999028182701652
14,unintegrated,0.6,B_CONV,119291,119386,0.9990870486544438,0.9999413199654626
14,unintegrated,0.6,B_ASC,1029,934,0.8947876447876448,0.9008746355685131
14,unintegrated,0.8,B_CONV,119291,119386,0.9990870486544438,0.9999413199654626
14,unintegrated,0.8,B_ASC,1029,934,0.8947876447876448,0.9008746355685131
15,harmony,0.4,B_CONV,119274,119263,0.9994384000268227,0.9996730217817797
15,harmony,0.4,B_ASC,1046,1057,0.9382488479262673,0.9732313575525813
15,harmony,0.6,B_CONV,119274,119255,0.9994216213044536,0.9996311014973925
15,harmony,0.6,B_ASC,1046,1065,0.936697247706422,0.9760994263862333
15,harmony,0.8,B_CONV,119274,119249,0.9994383670732219,0.9996143333836377
15,harmony,0.8,B_ASC,1046,1071,0.9386446886446886,0.9799235181644359
15,unintegrated,0.4,B_CONV,119274,119386,0.99901163423766,0.9999748478293676
15,unintegrated,0.4,B_ASC,1046,934,0.8875119161105816,0.890057361376673
15,unintegrated,0.6,B_CONV,119274,119387,0.9990200102186969,0.9999832318862452
15,unintegrated,0.6,B_ASC,1046,933,0.8883587786259542,0.890057361376673
15,unintegrated,0.8,B_CONV,119274,119387,0.9990200102186969,0.9999832318862452
15,unintegrated,0.8,B_ASC,1046,933,0.8883587786259542,0.890057361376673
16,harmony,0.4,B_CONV,119297,119262,0.9993379093019552,0.9995222008935681
16,harmony,0.4,B_ASC,1023,1058,0.9268518518518518,0.978494623655914
16,harmony,0.6,B_CONV,119297,119255,0.9992792430375715,0.9994635238103221
16,harmony,0.6,B_ASC,1023,1065,0.920883164673413,0.978494623655914
16,harmony,0.8,B_CONV,119297,119255,0.9993127550977647,0.9994802886912496
16,harmony,0.8,B_ASC,1023,1065,0.9244239631336405,0.9804496578690127
16,unintegrated,0.4,B_CONV,119297,119402,0.9990536488953654,0.9999664702381451
16,unintegrated,0.4,B_ASC,1023,918,0.8899707887049659,0.8934506353861192
16,unintegrated,0.6,B_CONV,119297,119402,0.9990536488953654,0.9999664702381451
16,unintegrated,0.6,B_ASC,1023,918,0.8899707887049659,0.8934506353861192
16,unintegrated,0.8,B_CONV,119297,119396,0.9990536251182969,0.999941322916754
16,unintegrated,0.8,B_ASC,1023,924,0.8902912621359224,0.8963831867057673
17,harmony,0.4,B_CONV,119256,119229,0.9993879895036007,0.9995807338834105
