replicate,branch,resolution,n_cells,reference_states,observed_clusters,mapped_adjusted_rand_index,mapped_adjusted_mutual_information,majority_mapping_agreement
10,unintegrated,0.8,120320,2,12,0.9400359562528776,0.8840404190362119,0.9990525265957447
11,harmony,0.4,120320,2,3,0.9560584487531381,0.9032235383839553,0.9992436835106383
11,harmony,0.6,120320,2,7,0.9530467491746525,0.8984312824856103,0.999185505319149
11,harmony,0.8,120320,2,8,0.9543376735523397,0.9004445917524554,0.9992104388297872
11,unintegrated,0.4,120320,2,6,0.9400514174479576,0.8834577530547948,0.9990275930851064
11,unintegrated,0.6,120320,2,9,0.9405343253278744,0.8846894477616113,0.9990359042553192
11,unintegrated,0.8,120320,2,10,0.9405343253278744,0.8846894477616113,0.9990359042553192
12,harmony,0.4,120320,2,6,0.9634107337786076,0.91679663798731,0.9993766622340425
12,harmony,0.6,120320,2,6,0.9464427551907965,0.886431336744549,0.9990691489361702
12,harmony,0.8,120320,2,8,0.9459895165319461,0.8856628094305974,0.9990608377659574
12,unintegrated,0.4,120320,2,6,0.9416723722245358,0.8859765988585471,0.9990525265957447
12,unintegrated,0.6,120320,2,9,0.9416723722245358,0.8859765988585471,0.9990525265957447
12,unintegrated,0.8,120320,2,10,0.9416723722245358,0.8859765988585471,0.9990525265957447
13,harmony,0.4,120320,2,3,0.9565704679023087,0.9049772954093486,0.9992686170212766
13,harmony,0.6,120320,2,4,0.9533155584919177,0.8994329423318951,0.9992104388297872
13,harmony,0.8,120320,2,6,0.9532719303035218,0.8992061372880105,0.9992104388297872
13,unintegrated,0.4,120320,2,8,0.9387966132351435,0.878465945129892,0.9990275930851064
13,unintegrated,0.6,120320,2,10,0.9393494248024734,0.8793322610618002,0.9990359042553192
13,unintegrated,0.8,120320,2,11,0.9393494248024734,0.8793322610618002,0.9990359042553192
14,harmony,0.4,120320,2,4,0.965765305061768,0.9215753268921739,0.9994265292553192
14,harmony,0.6,120320,2,6,0.95348913230868,0.899281660735674,0.9992104388297872
14,harmony,0.8,120320,2,7,0.9483724445054692,0.8904874230731338,0.9991190159574468
14,unintegrated,0.4,120320,2,5,0.9435849396267906,0.8900470240413352,0.9991023936170212
14,unintegrated,0.6,120320,2,8,0.9431478640432029,0.8883748569155784,0.9990940824468085
14,unintegrated,0.8,120320,2,9,0.9431478640432029,0.8883748569155784,0.9990940824468085
15,harmony,0.4,120320,2,6,0.9673114218698868,0.9245544270891431,0.9994431515957447
15,harmony,0.6,120320,2,7,0.9664604393796998,0.9231403888673199,0.9994265292553192
15,harmony,0.8,120320,2,8,0.9675219433287905,0.9255572086870336,0.9994431515957447
15,unintegrated,0.4,120320,2,7,0.9389741177078811,0.8839820638329163,0.9990192819148936
15,unintegrated,0.6,120320,2,10,0.9394609930754285,0.8853900159486032,0.9990275930851064
15,unintegrated,0.8,120320,2,9,0.9394609930754285,0.8853900159486032,0.9990275930851064
16,harmony,0.4,120320,2,5,0.9610639607484358,0.913673574585728,0.9993434175531914
16,harmony,0.6,120320,2,6,0.9577548378555697,0.9078091950361239,0.9992852393617021
16,harmony,0.8,120320,2,7,0.9597183890555273,0.9116163435412082,0.9993184840425532
16,unintegrated,0.4,120320,2,6,0.9404121551950803,0.8857056620225239,0.9990608377659574
16,unintegrated,0.6,120320,2,7,0.9404121551950803,0.8857056620225239,0.9990608377659574
16,unintegrated,0.8,120320,2,9,0.9405911713510837,0.8844146566133594,0.9990608377659574
17,harmony,0.4,120320,2,4,0.9652226677597864,0.9209755325037681,0.9993932845744681
17,harmony,0.6,120320,2,6,0.9642704584158069,0.9190972415891258,0.9993766622340425
17,harmony,0.8,120320,2,8,0.9587812360946538,0.9091700045646289,0.9992769281914894
17,unintegrated,0.4,120320,2,6,0.938006273312781,0.8812519117566621,0.9989860372340426
17,unintegrated,0.6,120320,2,8,0.938006273312781,0.8812519117566621,0.9989860372340426
17,unintegrated,0.8,120320,2,9,0.938006273312781,0.8812519117566621,0.9989860372340426
18,harmony,0.4,120320,2,5,0.9647771826007001,0.9200775855366458,0.9993932845744681
18,harmony,0.6,120320,2,6,0.9621267349399075,0.9158153609660126,0.9993434175531914
18,harmony,0.8,120320,2,8,0.9612038459750426,0.9141663620324472,0.9993267952127659
18,unintegrated,0.4,120320,2,8,0.9399343301183963,0.8842768868235482,0.9990275930851064
18,unintegrated,0.6,120320,2,8,0.9404762815962896,0.8851135024162257,0.9990359042553192
18,unintegrated,0.8,120320,2,11,0.9404762815962896,0.8851135024162257,0.9990359042553192
19,harmony,0.4,120320,2,6,0.9609188370458214,0.9127186190128979,0.9993351063829787
19,harmony,0.6,120320,2,8,0.9632062935973243,0.9167554043113941,0.9993766622340425
19,harmony,0.8,120320,2,8,0.958106419193009,0.9076508363601474,0.9992852393617021
19,unintegrated,0.4,120320,2,6,0.9380013586301285,0.8775129546122382,0.9990026595744681
19,unintegrated,0.6,120320,2,9,0.9380013586301285,0.8775129546122382,0.9990026595744681
19,unintegrated,0.8,120320,2,11,0.9380013586301285,0.8775129546122382,0.9990026595744681
20,harmony,0.4,120320,2,5,0.9622959757660925,0.9147245707893431,0.999360039893617
20,harmony,0.6,120320,2,6,0.9599795496444798,0.9104178843375067,0.9993184840425532
20,harmony,0.8,120320,2,6,0.9595480537836831,0.9096776526205013,0.9993101728723405
20,unintegrated,0.4,120320,2,8,0.938913885388289,0.8832972526703786,0.9990192819148936
20,unintegrated,0.6,120320,2,10,0.938913885388289,0.8832972526703786,0.9990192819148936
20,unintegrated,0.8,120320,2,11,0.9378825108733977,0.8773040526379232,0.9989943484042553
