model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
147,TAPT1-AS1,2.9385843,0.009555653,0.018562403,0.012322513
148,KLF3,3.446653,-0.863549,0.24573548,0.221583
149,TMEM156,3.9046402,0.5322612,0.40156478,0.66500324
150,RFC1,3.050734,-0.025776993,0.16865173,0.36426082
151,SMIM14,3.7006521,-4.2307453,0.46481845,0.11953484
152,NSUN7,2.579847,0.058111724,0.008040265,0.0
153,APBB2,2.9020646,-0.0514514,0.011683066,0.0016401384
154,ATP10D,2.9748845,1.5119822,0.05870253,0.06319286
155,CEP135,2.887543,2.444043,0.09922651,0.073872335
156,HOPX,3.5928004,-0.8695669,0.12417634,0.07093864
157,SPINK2,3.0281627,-0.51494855,0.018731983,0.029388847
158,CENPC,3.488782,-0.1349336,0.18688096,0.16969691
159,STAP1,3.5105758,-0.6371249,0.1796009,0.11190169
160,PF4,3.3207426,-1.8453774,0.13773373,0.14747657
161,PPBP,3.3923461,-1.4787341,0.18359752,0.1977947
162,AREG,3.003556,0.23116241,0.03474902,0.0061869803
163,CCNG2,3.232025,-0.08370677,0.09739199,0.0750655
164,MRPL1,3.512152,-0.28507262,0.14163984,0.21475604
165,RASGEF1B,3.2485309,-0.4958167,0.092373885,0.026508842
166,PLAC8,3.8579438,-0.6066632,1.0545685,0.58913505
167,ARHGAP24,3.6809661,-1.3319564,0.28981692,0.06577238
168,AFF1,3.0145464,1.3022925,0.06738242,0.10917525
169,CCSER1,3.2973788,-1.0386463,0.07335132,0.012042166
170,PPP3CA,3.907623,-2.1405778,0.3208336,0.28843194
171,TIFA,3.0858474,1.5635368,0.11102986,0.39088467
172,LARP7,3.4540386,1.932292,0.24277617,0.2785063
173,CAMK2D,3.0794706,-0.46348816,0.16640528,0.048862495
174,USP53,3.365656,0.48240665,0.046360258,0.035861723
175,SPRY1,2.9036925,-0.098840415,0.021599224,0.001908215
176,MAML3,2.821247,-0.6872833,0.023022689,0.005882043
177,GAB1,2.9855301,-0.7682294,0.021686276,0.09316707
178,TMEM192,3.4176784,2.933215,0.07869176,0.08400195
179,SPCS3,3.7445078,5.787518,0.13915497,1.6398556
180,MIR4458HG,2.9819674,0.379861,0.0348506,0.02589215
181,SUB1,5.0324383,0.4317807,0.97659874,3.3985195
182,PTGER4,2.887543,1.2454797,0.071968526,0.03792624
183,CCDC152,2.7363145,0.27069753,0.026219567,0.02331258
184,CCL28,3.3100035,0.016853407,0.056509946,0.023814002
185,GAPT,3.5928004,0.17555055,0.31734353,0.055422723
186,NDUFAF2,3.085428,1.1739953,0.08467764,0.17175633
187,TRIM23,2.9385843,0.26332372,0.023685385,0.01848336
188,BDP1,3.6113071,1.1782954,0.25453588,0.24924281
189,AP3B1,3.2756903,2.3773243,0.17883125,0.17538203
190,SSBP2,3.0784817,1.3948096,0.115876265,0.06909037
191,MEF2C,4.456425,-1.4279585,1.2901484,1.2635609
192,ARRDC3,3.3993142,2.4149501,0.2445218,0.21369039
193,CCDC112,3.61893,-1.6596128,0.07210358,0.13231002
194,IRF1,4.0821886,-0.8146103,0.4996234,0.5116657
195,ZCCHC10,3.5640335,-1.1837956,0.20133615,0.18280761
196,HSPA4,3.7719064,-0.28027767,0.22895359,0.21472868
197,MZB1,5.6009345,10.2526655,0.23312284,3.273145
198,TCOF1,3.4101007,-0.6549421,0.27757955,0.10638076
199,CD74,5.7562904,-2.0273588,4.2986236,3.0661278
200,CCDC69,3.1408665,1.6261547,0.17420961,0.4432973
201,ADAM19,3.2215676,0.20747599,0.14598225,0.31416574
202,DUSP1,4.637655,-4.058984,1.8959959,0.896883
203,HNRNPH1,4.1139703,-0.27189896,0.52304894,0.7450596
204,DSP,2.9247148,0.25613984,0.030288696,0.0037636713
205,PHACTR1,3.6494415,-1.9105955,0.3154204,0.06737042
206,CD83,4.1327586,-0.26911712,0.40427384,0.08066514
207,JARID2,3.0072048,0.7450688,0.1187323,0.1468969
208,MYLIP,3.1313903,0.96555537,0.18399349,0.1295441
209,SOX4,3.5377362,-0.6253842,0.08018887,0.076459385
210,LTB,4.8365917,-2.0228972,2.3368976,0.7179551
211,HLA-DRA,5.391713,-7.141817,3.8666232,1.6693338
212,HLA-DRB5,4.100698,1.0866085,1.0092517,0.62703043
213,HLA-DRB1,5.3540115,-3.367658,2.6521437,1.4189113
214,HLA-DQA2,3.9705863,1.3937424,0.42646936,0.2272219
215,FKBP5,3.1045532,0.512749,0.07016547,0.10283579
216,FGD2,3.6506581,-0.8110063,0.14304268,0.14299032
217,CCND3,3.4872441,0.5225821,0.37494057,0.23634402
218,ZNF318,3.6622958,2.6174526,0.089902766,0.028476812
219,KHDRBS2,2.9926975,0.1736945,0.04280406,0.013273275
220,COL19A1,3.0944374,0.08029296,0.10052592,0.026601667
221,OGFRL1,2.9301531,1.5647168,0.067032985,0.06210091
222,PHIP,3.5507934,-0.4185004,0.26462087,0.39648217
223,NT5E,3.5371962,-0.1974307,0.060851548,0.015663616
224,RNGTT,3.462979,-3.6519654,0.14253452,0.16696626
225,BACH2,3.036935,-0.18330297,0.18011095,0.046033043
226,SOBP,3.020092,-0.5103479,0.020151522,0.003057255
