sample_id,matrix_cells,qc_pass_cells,qc_pass_fraction,cluster_selected_B_cells,cluster_selected_B_fraction_of_qc,cell_margin_selected_B_cells,elastic_confident_fraction_selected,centroid_confident_fraction_selected,minimum_counts,maximum_counts,minimum_genes,maximum_genes,maximum_mito_fraction
JB17023,5570,5478,0.9834829443447037,615,0.11226725082146768,682,0.9821138211382113,0.9772357723577236,1344.0,22053.0,534.0,4060.0,0.1026221333014815
JB17024,6141,6040,0.9835531672366065,1067,0.17665562913907285,1106,0.993439550140581,0.9943767572633552,1541.0,24211.0,621.0,4408.0,0.1
JB18063,3059,3005,0.9823471722785224,746,0.24825291181364392,844,0.82171581769437,0.646112600536193,1897.0,44575.0,792.0,5593.0,0.1
JB18064,6717,6628,0.9867500372189966,456,0.0687990343995172,516,0.9649122807017544,0.8289473684210527,1317.0,28787.0,540.0,4600.0,0.1
JB18065,5477,5381,0.9824721562899398,264,0.04906151272997584,434,0.9772727272727273,0.9431818181818182,933.0,16805.0,389.0,3425.0,0.1
JB18066,2965,2750,0.927487352445194,407,0.148,396,0.972972972972973,0.8574938574938575,779.0,19075.0,200.0,3691.0,0.10620996389715495
JB18067,5126,4934,0.962543893874366,341,0.06911228212403729,343,0.9413489736070382,0.9912023460410557,837.0,11186.0,200.0,2402.0,0.11886251029273971
JB18068,4007,3612,0.9014225106064387,408,0.11295681063122924,410,0.9509803921568627,0.7426470588235294,1129.0,27883.0,200.0,4617.0,0.1
JB18069,6031,5929,0.983087381860388,492,0.08298195311182324,599,0.9491869918699187,0.943089430894309,957.0,12539.0,450.0,2848.0,0.1
JB18070,5615,5464,0.9731077471059661,523,0.09571742313323572,562,0.9541108986615678,0.9196940726577438,955.0,15988.0,200.0,3358.0,0.1
JB18071,5591,5506,0.9847969951708102,1142,0.20741009807482746,1230,0.9544658493870403,0.9500875656742557,1021.0,21232.0,443.0,3719.0,0.1
JB18072,4920,4822,0.9800813008130081,649,0.1345914558274575,718,0.963020030816641,0.9476117103235747,964.0,13794.0,415.0,3201.0,0.1111173474483179
JB18073,5690,5610,0.9859402460456942,907,0.16167557932263815,979,0.980154355016538,0.9459757442116868,1257.0,28255.0,532.0,4532.0,0.1
JB18074,6041,5939,0.9831153782486344,723,0.12173766627378346,818,0.9488243430152143,0.8589211618257261,2141.0,39989.0,259.0,5366.0,0.1
JB18075,4974,4681,0.9410936871733012,175,0.03738517410809656,147,0.9885714285714285,0.9257142857142857,929.0,15586.0,200.0,3368.0,0.1
JB18076,5777,5671,0.981651376146789,178,0.031387762299418094,270,0.9775280898876404,0.8707865168539326,900.0,14142.0,392.0,3103.0,0.10765272690943888
JB18077,7967,7862,0.9868206351198695,1062,0.1350801322818621,1275,0.9566854990583804,0.9670433145009416,1148.0,16741.0,417.0,3328.0,0.1
