replicate,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite
8,primary,is_managed,90,43,47,-0.05048912201395224,0.9507642710165497,0.6391970742346643,1.4142003076656275,0.8031807800806638,True,True
8,validation,is_managed,64,21,43,-0.27509437555824534,0.7595004415643631,0.3696642598845347,1.560445472647639,0.45397795365764915,True,True
8,flare,is_flare,34,18,16,0.8562728238242382,2.3543691714224537,1.114784005055173,4.97231227772246,0.024776252930884105,True,True
8,validation_nonoverlap,is_managed,53,21,32,-0.5686836546671544,0.5662703556477849,0.2613189317807158,1.2270910243676891,0.1494928519479788,True,True
9,primary,is_managed,90,43,47,-0.05029016862512438,0.9509534476082829,0.6377078412695294,1.4180670222241607,0.8051575575747386,True,True
9,validation,is_managed,64,21,43,-0.24500863764369338,0.782697777548148,0.3820345390495723,1.6035613232847459,0.5031519693120213,True,True
9,flare,is_flare,34,18,16,0.8578655060454264,2.3581219210193938,1.1241576133861895,4.946583048654653,0.023229803619533543,True,True
9,validation_nonoverlap,is_managed,53,21,32,-0.5208012620965357,0.5940443719858542,0.27779951364663147,1.270299977331681,0.17926451901995044,True,True
10,primary,is_managed,90,43,47,-0.03502764967243379,0.965578717953208,0.6507934391365455,1.432623939480961,0.8618554127714331,True,True
10,validation,is_managed,64,21,43,-0.32136970192246145,0.7251551101887909,0.3472996431456749,1.514110204865225,0.3922236465287193,True,True
10,flare,is_flare,34,18,16,0.8673937837912016,2.3806981471135185,1.1281190302884794,5.024047565459831,0.02282364662659337,True,True
10,validation_nonoverlap,is_managed,53,21,32,-0.5202244670172008,0.5943871126925965,0.2784159531094167,1.2689504167751375,0.17880740157820596,True,True
11,primary,is_managed,90,43,47,-0.07964315170629178,0.923445817661873,0.6217098971879776,1.37162393909803,0.6931724289523475,True,True
11,validation,is_managed,64,21,43,-0.43253437562893765,0.6488625476929027,0.3069807034605103,1.371495344992212,0.2573324534313616,True,True
11,flare,is_flare,34,18,16,0.9116856871104574,2.4885138554939052,1.1953098737736751,5.180833309302766,0.014815263590764845,True,True
11,validation_nonoverlap,is_managed,53,21,32,-0.6697553651886066,0.511833774831111,0.23298560625053202,1.1244205909276692,0.09532436478788639,True,True
12,primary,is_managed,90,43,47,-0.07857028026883896,0.9244370879613895,0.6220570575142484,1.3738031250918799,0.6974737875774586,True,True
12,validation,is_managed,64,21,43,-0.36479730658470455,0.6943373742293986,0.32932220952340324,1.4639291712195168,0.33778561315079436,True,True
12,flare,is_flare,34,18,16,0.8512816544719781,2.3426473931944454,1.1215744665861505,4.893118533221518,0.023493489708992333,True,True
12,validation_nonoverlap,is_managed,53,21,32,-0.5662098471245195,0.5676729336635118,0.26360552286411787,1.2224803035718304,0.1479737431296649,True,True
13,primary,is_managed,90,43,47,-0.05829601548943046,0.9433706537754214,0.6334727022765108,1.4048722023955558,0.7741803175900416,True,True
13,validation,is_managed,64,21,43,-0.3915185046399208,0.6760295406957288,0.3203054569250916,1.4268128438416154,0.30426502158858004,True,True
13,flare,is_flare,34,18,16,0.9071027746488597,2.477135307694335,1.1799117036216742,5.200558070397285,0.016520508454648187,True,True
13,validation_nonoverlap,is_managed,53,21,32,-0.58892547084336,0.5549232456956478,0.257289621393109,1.1968605921452837,0.1331591023702969,True,True
14,primary,is_managed,90,43,47,-0.04536500862409193,0.9556485981842645,0.6427654772153666,1.4208358656224924,0.8226107518495851,True,True
14,validation,is_managed,64,21,43,-0.3507657255316961,0.7041486985956662,0.3328682705419003,1.489554378153197,0.35883132577059995,True,True
14,flare,is_flare,34,18,16,0.8341567607096527,2.3028713577161746,1.093390736540583,4.850248235108126,0.028168341874469333,True,True
14,validation_nonoverlap,is_managed,53,21,32,-0.5277494643887611,0.5899311378581825,0.27206197479009614,1.2791892276866574,0.18139850861554252,True,True
15,primary,is_managed,90,43,47,-0.03380722930827131,0.9667578492553742,0.6515889590345519,1.4343716635126664,0.8666222865945089,True,True
15,validation,is_managed,64,21,43,-0.3720107352736306,0.6893468421575231,0.3250885207350726,1.4617528410971095,0.33201769562974437,True,True
15,flare,is_flare,34,18,16,0.8597000538241372,2.362451978986217,1.123497960760347,4.967680893019807,0.02338550618897609,True,True
15,validation_nonoverlap,is_managed,53,21,32,-0.6179923271845934,0.5390255389039498,0.24462052143948257,1.1877520736238523,0.12524127255080106,True,True
16,primary,is_managed,90,43,47,-0.0794894984894507,0.9235877189838533,0.6231115156918191,1.3689592523590661,0.6921847619168939,True,True
16,validation,is_managed,64,21,43,-0.2309868341060475,0.7937499163936725,0.3880808133675905,1.6234735345655666,0.526927156113725,True,True
16,flare,is_flare,34,18,16,0.8362995104859364,2.3078111252555984,1.1026851681506105,4.830020701907237,0.026458933619391493,True,True
16,validation_nonoverlap,is_managed,53,21,32,-0.5077166374619803,0.6018682945285776,0.2837208263778484,1.2767671960616462,0.18576231651737907,True,True
17,primary,is_managed,90,43,47,-0.10324849525719619,0.9019028270580326,0.6054613901101392,1.343485683384866,0.6115924975750151,True,True
17,validation,is_managed,64,21,43,-0.20976452326304554,0.8107751421783809,0.3995508402396676,1.645238264997925,0.5612461991559294,True,True
17,flare,is_flare,34,18,16,0.8581225149926437,2.358728057339617,1.1280285292164915,4.932143030412094,0.022601603591805467,True,True
17,validation_nonoverlap,is_managed,53,21,32,-0.4500639833698012,0.6375873553291085,0.3044453308660884,1.3352730177175074,0.23273160184640584,True,True
18,primary,is_managed,90,43,47,-0.10176919018110894,0.903238003811626,0.6069824475101839,1.3440897588985434,0.6157922311964416,True,True
18,validation,is_managed,64,21,43,-0.3380882808836069,0.7131323291671494,0.3459514429516604,1.470026297807418,0.35963251346123104,True,True
18,flare,is_flare,34,18,16,0.8386998303331592,2.313357263693419,1.1046577112280744,4.8445973581568325,0.02615297307965135,True,True
18,validation_nonoverlap,is_managed,53,21,32,-0.583754164866318,0.5578003563910455,0.2599781373561131,1.1967977028921555,0.13393610115463347,True,True
19,primary,is_managed,90,43,47,-0.07674147643461705,0.9261292488959302,0.6200757316245367,1.3832429522977958,0.7077091774520743,True,True
19,validation,is_managed,64,21,43,-0.31357748328165924,0.7308277498773391,0.35725621054062,1.495031252731844,0.3904912792639845,True,True
19,flare,is_flare,34,18,16,0.8891695004129563,2.433108116678103,1.158248111358526,5.111180453815888,0.018878367882936252,True,True
19,validation_nonoverlap,is_managed,53,21,32,-0.5671277092164998,0.5671521272478556,0.264861626170875,1.2144512592935919,0.14432723952460944,True,True
20,primary,is_managed,90,43,47,-0.08326638159578657,0.9201060152636146,0.6155572255984132,1.3753312350468643,0.6847317255263172,True,True
20,validation,is_managed,64,21,43,-0.3926826028332063,0.6752430338032415,0.3209792194053195,1.4205067715740392,0.3007114641954092,True,True
20,flare,is_flare,34,18,16,0.8618944184763078,2.367641752146244,1.1207098592156708,5.001943563188877,0.02390548522951583,True,True
20,validation_nonoverlap,is_managed,53,21,32,-0.620072822642783,0.5379052644854204,0.24822243290724813,1.1656564242493224,0.11606298777594329,True,True
