metric,observed,threshold,pass,panel,record_type,replicate,reference_state,reference_cells,mapped_cells,intersection,union,false_negative,false_positive,jaccard,recall,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite,n_samples,effect,se_hc3,statistic,df
Median mapped ARI,0.9629724043729124,0.95,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum mapped ARI,0.929696806592458,0.9,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median agreement,0.9993683510638296,0.995,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum agreement,0.9987699468085106,0.99,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minimum state
median Jaccard",0.9303233364573572,0.95,False,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,8.0,,,,,,25.0,34.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,9.0,,,,,,27.0,42.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,10.0,,,,,,31.0,43.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,11.0,,,,,,34.0,57.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,12.0,,,,,,37.0,38.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,13.0,,,,,,27.0,61.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,14.0,,,,,,30.0,39.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,15.0,,,,,,28.0,39.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,16.0,,,,,,22.0,57.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,17.0,,,,,,23.0,50.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,18.0,,,,,,24.0,49.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,19.0,,,,,,27.0,53.0,,,,,,,,,,,,,,,,,,,
,,,,c,boundary_exchange,20.0,,,,,,35.0,42.0,,,,,,,,,,,,,,,,,,,
,,,,d,composition_propagation,0.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0548091673383661,0.9466657854686856,0.6357068924688163,1.4097316231646866,0.7873347757236662,True,True,,,,,
,,,,d,composition_propagation,1.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.1097706968952706,0.8960395763983153,0.6014418705888191,1.3349368604584115,0.5894097731714099,True,True,,,,,
,,,,d,composition_propagation,2.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0646569965223987,0.9373889359060348,0.6290046488940145,1.396965855028372,0.7507538933098509,True,True,,,,,
,,,,d,composition_propagation,3.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0746144556664452,0.9281012415335136,0.6203679186293349,1.3884855884217842,0.7165720033857511,True,True,,,,,
,,,,d,composition_propagation,4.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0855809054990047,0.9179788705110764,0.613879701648416,1.3727204278655527,0.676772869131256,True,True,,,,,
,,,,d,composition_propagation,5.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.0779815514201293,0.9249814909810468,0.6192392380182217,1.381680465526869,0.703285751087952,True,True,,,,,
,,,,d,composition_propagation,6.0,,,,,,,,,,primary,is_managed,90.0,43.0,47.0,-0.1008782756206572,0.90404307027024,0.6071829543538435,1.3460421888381169,0.619380157922827,True,True,,,,,
