"branch","contrast","regulator","deleted_target","matched_targets_after_depletion","loo_slope","same_direction_as_depleted"
"m5911_depleted","gse174188_primary","STAT1","CDKN1B",77,0.406465039757277,TRUE
"m5911_depleted","gse174188_primary","STAT1","CIITA",77,0.4043702481329,TRUE
"m5911_depleted","gse174188_primary","STAT1","COPS5",77,0.399383861715277,TRUE
"m5911_depleted","gse174188_primary","STAT1","CREBBP",77,0.442887049579451,TRUE
"m5911_depleted","gse174188_primary","STAT1","CREM",77,0.415366962377891,TRUE
"m5911_depleted","gse174188_primary","STAT1","CTSB",77,0.416924811374396,TRUE
"m5911_depleted","gse174188_primary","STAT1","DCLRE1C",77,0.39983705387078,TRUE
"m5911_depleted","gse174188_primary","STAT1","DDX50",77,0.42932049274136,TRUE
"m5911_depleted","gse174188_primary","STAT1","DIMT1",77,0.426295966055697,TRUE
"m5911_depleted","gse174188_primary","STAT1","EDEM2",77,0.434459069179083,TRUE
"m5911_depleted","gse174188_primary","STAT1","FCGRT",77,0.417027551989248,TRUE
"m5911_depleted","gse174188_primary","STAT1","FOS",77,0.489771945788858,TRUE
"m5911_depleted","gse174188_primary","STAT1","GLS",77,0.40647734253993,TRUE
"m5911_depleted","gse174188_primary","STAT1","GSTK1",77,0.430300070188126,TRUE
"m5911_depleted","gse174188_primary","STAT1","HLA-A",77,0.407571461873575,TRUE
"m5911_depleted","gse174188_primary","STAT1","HLA-E",77,0.394772404454366,TRUE
"m5911_depleted","gse174188_primary","STAT1","HMGB1",77,0.417795178655944,TRUE
"m5911_depleted","gse174188_primary","STAT1","HSP90AA1",77,0.423451477234552,TRUE
"m5911_depleted","gse174188_primary","STAT1","HSPA4",77,0.381729095331404,TRUE
"m5911_depleted","gse174188_primary","STAT1","HSPB1",77,0.414573937094098,TRUE
"m5911_depleted","gse174188_primary","STAT1","IFI6",77,0.337153751807102,TRUE
"m5911_depleted","gse174188_primary","STAT1","IFNGR1",77,0.436510222067027,TRUE
"m5911_depleted","gse174188_primary","STAT1","IGFLR1",77,0.407449998746385,TRUE
"m5911_depleted","gse174188_primary","STAT1","IRF8",77,0.413197605709986,TRUE
"m5911_depleted","gse174188_primary","STAT1","ITGB1",77,0.401418960549542,TRUE
"m5911_depleted","gse174188_primary","STAT1","JAK1",77,0.427038075829142,TRUE
"m5911_depleted","gse174188_primary","STAT1","JUN",77,0.434169560711521,TRUE
"m5911_depleted","gse174188_primary","STAT1","KDM6B",77,0.420509414382203,TRUE
"m5911_depleted","gse174188_primary","STAT1","KIF2A",77,0.415431198304619,TRUE
"m5911_depleted","gse174188_primary","STAT1","LY96",77,0.42614820293464,TRUE
"m5911_depleted","gse174188_primary","STAT1","MAP1LC3B",77,0.430421262388989,TRUE
"m5911_depleted","gse174188_primary","STAT1","MCL1",77,0.43749469808556,TRUE
"m5911_depleted","gse174188_primary","STAT1","MED23",77,0.436216636701905,TRUE
"m5911_depleted","gse174188_primary","STAT1","MTMR9",77,0.43500966789918,TRUE
"m5911_depleted","gse174188_primary","STAT1","MVP",77,0.427604428941743,TRUE
"m5911_depleted","gse174188_primary","STAT1","NCL",77,0.404739561370198,TRUE
"m5911_depleted","gse174188_primary","STAT1","NPAT",77,0.426366748481624,TRUE
"m5911_depleted","gse174188_primary","STAT1","PARK7",77,0.396334280919144,TRUE
"m5911_depleted","gse174188_primary","STAT1","PIK3R1",77,0.420558832107035,TRUE
"m5911_depleted","gse174188_primary","STAT1","PPIP5K2",77,0.448599447119513,TRUE
"m5911_depleted","gse174188_primary","STAT1","PTPN6",77,0.411685936915745,TRUE
"m5911_depleted","gse174188_primary","STAT1","RB1",77,0.421717225719227,TRUE
"m5911_depleted","gse174188_primary","STAT1","RC3H1",77,0.400004908785569,TRUE
"m5911_depleted","gse174188_primary","STAT1","RHOA",77,0.426534397692632,TRUE
"m5911_depleted","gse174188_primary","STAT1","RUNX3",77,0.448894552508534,TRUE
"m5911_depleted","gse174188_primary","STAT1","S100A10",77,0.452982402286795,TRUE
"m5911_depleted","gse174188_primary","STAT1","SEMA4B",77,0.410920402356459,TRUE
"m5911_depleted","gse174188_primary","STAT1","SMAD3",77,0.413888944298314,TRUE
"m5911_depleted","gse174188_primary","STAT1","SNRNP27",77,0.423524928584778,TRUE
"m5911_depleted","gse174188_primary","STAT1","SOCS1",77,0.380519840986969,TRUE
"m5911_depleted","gse174188_primary","STAT1","SOCS3",77,0.452905790722424,TRUE
"m5911_depleted","gse174188_primary","STAT1","STAT3",77,0.414638232985893,TRUE
"m5911_depleted","gse174188_primary","STAT1","TIMP1",77,0.436007753215175,TRUE
"m5911_depleted","gse174188_primary","STAT1","TNFSF10",77,0.376190769118856,TRUE
"m5911_depleted","gse174188_primary","STAT1","TP53",77,0.420275403767715,TRUE
"m5911_depleted","gse174188_primary","STAT1","VIM",77,0.410956345799029,TRUE
"m5911_depleted","gse174188_primary","STAT1","XAF1",77,0.34345187799172,TRUE
"m5911_depleted","gse174188_primary","STAT1","ZC3HAV1",77,0.445677687549248,TRUE
"m5911_depleted","gse174188_primary","STAT1","ZFP36",77,0.462311462905571,TRUE
"m5911_depleted","gse174188_primary","STAT1","ZNF302",77,0.42537304304235,TRUE
"m5911_depleted","gse174188_primary","STAT1","ZNF655",77,0.431331107972286,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","CREBBP",11,1.42855149989612,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","EIF2AK2",11,0.631806607036323,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","HLA-E",11,1.06680890411782,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","IRF1",11,1.42071233108452,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","IRF9",11,0.827512055115203,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","JUN",11,1.36301039399053,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","JUND",11,1.67665667449977,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","MCL1",11,1.38800993044927,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","NFKB2",11,1.17321322022276,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","SAMHD1",11,1.20361160389978,TRUE
"frozen_ifn12_depleted","gse174188_primary","STAT2","STAT1",11,0.656921245963332,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","ACAT1",122,0.879439438448002,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","ADAR",122,0.838712810999139,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","AIM2",122,0.881286062231634,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","APP",122,0.875923599907377,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","ATG4C",122,0.865524746786148,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","BAX",122,0.870416097885027,TRUE
