"branch","contrast","regulator","matched_targets_before","removed_targets","matched_targets_after","target_retention_fraction","baseline_ulm_slope","method","estimate","standard_error","ci_low","ci_high","direction","p_value","inter_gene_correlation","attenuation_ratio_vs_baseline","q_value","multiplicity_family","expected_direction","ci_excludes_zero"
"baseline","gse135779_childhood","STAT1",161,0,161,1,1.13801405646285,"ULM",1.13801405646285,0.114930613558811,0.912721983751288,1.36330612917441,"Up",5.45269205021842e-23,NA,1,1.30864609205244e-21,"frozen_global_24",TRUE,TRUE
"baseline","gse135779_childhood","STAT1",161,0,161,1,1.13801405646285,"CAMERA",NA,NA,NA,NA,"Up",0.0137201759442733,0.0300645199782957,NA,0.0263011359791569,"baseline_core_6",TRUE,NA
"baseline","gse135779_childhood","STAT1",161,0,161,1,1.13801405646285,"FRY",NA,NA,NA,NA,"Up",2.23736083095649e-05,NA,NA,2.68483299714779e-05,"baseline_core_6",TRUE,NA
"frozen_ifn12_depleted","gse135779_childhood","STAT1",161,8,153,0.950310559006211,1.13801405646285,"ULM",0.952494192417521,0.118069160340323,0.721049801469641,1.1839385833654,"Up",8.17325021991151e-16,NA,0.836979285983551,4.9039501319469e-15,"frozen_ifn12_depleted_ulm_core_6",TRUE,TRUE
"frozen_ifn12_depleted","gse135779_childhood","STAT1",161,8,153,0.950310559006211,1.13801405646285,"CAMERA",NA,NA,NA,NA,"Up",0.00980297071555151,0.0179022380315512,NA,0.0280724749022086,"frozen_ifn12_depleted_camera_core_6",TRUE,NA
"frozen_ifn12_depleted","gse135779_childhood","STAT1",161,8,153,0.950310559006211,1.13801405646285,"FRY",NA,NA,NA,NA,"Up",1.11424162619007e-05,NA,NA,1.84269254280309e-05,"frozen_ifn12_depleted_fry_core_6",TRUE,NA
"m5911_depleted","gse135779_childhood","STAT1",161,25,136,0.84472049689441,1.13801405646285,"ULM",0.703584090746525,0.125353944725063,0.457859743201573,0.949308438291478,"Up",2.05384729311444e-08,NA,0.618256063491333,6.16154187934332e-08,"m5911_depleted_ulm_core_6",TRUE,TRUE
"m5911_depleted","gse135779_childhood","STAT1",161,25,136,0.84472049689441,1.13801405646285,"CAMERA",NA,NA,NA,NA,"Up",0.0086608760990412,0.00546241867028677,NA,0.0377005564641526,"m5911_depleted_camera_core_6",TRUE,NA
"m5911_depleted","gse135779_childhood","STAT1",161,25,136,0.84472049689441,1.13801405646285,"FRY",NA,NA,NA,NA,"Up",1.20113532648777e-05,NA,NA,3.6034059794633e-05,"m5911_depleted_fry_core_6",TRUE,NA
"baseline","gse135779_childhood","STAT2",20,0,20,1,2.40018044607004,"ULM",2.40018044607004,0.324977626253772,1.76314492753841,3.03721596460168,"Up",1.66073669676614e-13,NA,1,7.97153614447761e-13,"frozen_global_24",TRUE,TRUE
"baseline","gse135779_childhood","STAT2",20,0,20,1,2.40018044607004,"CAMERA",NA,NA,NA,NA,"Up",0.0252178892733783,0.1223309423864,NA,0.030261467128054,"baseline_core_6",TRUE,NA
"baseline","gse135779_childhood","STAT2",20,0,20,1,2.40018044607004,"FRY",NA,NA,NA,NA,"Up",8.20391627084137e-06,NA,NA,1.2305874406262e-05,"baseline_core_6",TRUE,NA
"frozen_ifn12_depleted","gse135779_childhood","STAT2",20,4,16,0.8,2.40018044607004,"ULM",1.91206497643788,0.36382542134533,1.19887829151599,2.62525166135976,"Up",1.51265421272444e-07,NA,0.796633844579733,1.81518505526932e-07,"frozen_ifn12_depleted_ulm_core_6",TRUE,TRUE
"frozen_ifn12_depleted","gse135779_childhood","STAT2",20,4,16,0.8,2.40018044607004,"CAMERA",NA,NA,NA,NA,"Up",0.0416027245442668,0.0717038061495645,NA,0.0499232694531202,"frozen_ifn12_depleted_camera_core_6",TRUE,NA
"frozen_ifn12_depleted","gse135779_childhood","STAT2",20,4,16,0.8,2.40018044607004,"FRY",NA,NA,NA,NA,"Up",1.28254472105201e-05,NA,NA,1.84269254280309e-05,"frozen_ifn12_depleted_fry_core_6",TRUE,NA
"m5911_depleted","gse135779_childhood","STAT2",20,7,13,0.65,2.40018044607004,"ULM",1.64779576047695,0.403817284741149,0.856215255866363,2.43937626508755,"Up",4.53421777946175e-05,NA,0.686529949518998,9.0684355589235e-05,"m5911_depleted_ulm_core_6",TRUE,TRUE
"m5911_depleted","gse135779_childhood","STAT2",20,7,13,0.65,2.40018044607004,"CAMERA",NA,NA,NA,NA,"Up",0.0402825380631349,0.0379378996421693,NA,0.0805650761262698,"m5911_depleted_camera_core_6",TRUE,NA
"m5911_depleted","gse135779_childhood","STAT2",20,7,13,0.65,2.40018044607004,"FRY",NA,NA,NA,NA,"Up",2.03300970445155e-05,NA,NA,4.0660194089031e-05,"m5911_depleted_fry_core_6",TRUE,NA
