replicate,policy,n_states,n_cells,mapped_adjusted_rand_index,mapping_agreement,exact_saved_policy_agreement,agreement_reconstruction_delta
16,two_compartment_asc_vs_conventional,2,120320,0.9954898536124601,0.9999251994680851,,
17,five_state,5,120320,0.8736692799962579,0.9616605718085106,0.9616605718085106,0.0
17,four_state_platelet_overlay_merged,4,120320,0.9004127104837917,0.973296210106383,0.973296210106383,0.0
17,three_state_identity_core,3,120320,0.9009365094710974,0.9745262632978723,0.9745262632978724,-1.1102230246251565e-16
17,two_compartment_asc_vs_conventional,2,120320,0.99614669074934,0.9999335106382978,,
18,five_state,5,120320,0.8889157254157397,0.9640126329787234,0.9640126329787234,0.0
18,four_state_platelet_overlay_merged,4,120320,0.8943441477128563,0.9717669547872341,0.971766954787234,1.1102230246251565e-16
18,three_state_identity_core,3,120320,0.8950515261108246,0.9729803856382979,0.972980385638298,-1.1102230246251565e-16
18,two_compartment_asc_vs_conventional,2,120320,0.9960967775093812,0.9999335106382978,,
19,five_state,5,120320,0.890161370033166,0.9650099734042553,0.9650099734042552,1.1102230246251565e-16
19,four_state_platelet_overlay_merged,4,120320,0.8926295230022764,0.9714428191489362,0.9714428191489362,0.0
19,three_state_identity_core,3,120320,0.8935063402651157,0.9725814494680851,0.9725814494680852,-1.1102230246251565e-16
19,two_compartment_asc_vs_conventional,2,120320,0.9955658069294547,0.9999251994680851,,
20,five_state,5,120320,0.8642560807172855,0.9592918882978724,0.9592918882978724,0.0
20,four_state_platelet_overlay_merged,4,120320,0.8937051850790614,0.9715591755319148,0.9715591755319148,0.0
20,three_state_identity_core,3,120320,0.894440337843724,0.9728141622340426,0.9728141622340426,0.0
20,two_compartment_asc_vs_conventional,2,120320,0.994118137575234,0.9999002659574469,,
