document,page,same_dimensions,pixel_identical,normalized_mean_absolute_error,before_sha256,after_sha256
supplement,6,True,False,0.0812519256,9139A533C61AF7F5CF5A3D4DF2A4FCECECF0C93EA9BB5276B6423DD399B4BCB8,0E2FB9942F81B46D7BE7EAE31004C8A748D612FD90ED0D093D4D84493BEB82DC
supplement,7,True,True,0.0000000000,97CA808466FA02E39873CB79E7064B7349E75ED0330A0D4D26D8F756100B4F72,97CA808466FA02E39873CB79E7064B7349E75ED0330A0D4D26D8F756100B4F72
supplement,8,True,True,0.0000000000,F6916A0168FDF5254B4E528C6E9881FE36BCB8F7737BE6F55C999FC85031AC00,F6916A0168FDF5254B4E528C6E9881FE36BCB8F7737BE6F55C999FC85031AC00
supplement,9,True,True,0.0000000000,02AF3734E8F98F5B4F5A6CDE0A16208E4CA7DB9A80AF312AE133869104E0FF2D,02AF3734E8F98F5B4F5A6CDE0A16208E4CA7DB9A80AF312AE133869104E0FF2D
supplement,10,True,True,0.0000000000,73608F5C2B8FF2CA3B8DED9E7855E7EDA57A5AA003C6AD482A827D6150D7373D,73608F5C2B8FF2CA3B8DED9E7855E7EDA57A5AA003C6AD482A827D6150D7373D
supplement,11,True,True,0.0000000000,B00F0D468AA6C73B09C6E01FC0342762A2A4B667EA181FEF3907C1E313B82A50,B00F0D468AA6C73B09C6E01FC0342762A2A4B667EA181FEF3907C1E313B82A50
supplement,12,True,True,0.0000000000,02A247B69E7E9F926B5DA43B59D7D8B0EDDDD81740E8B93396CD8032309610DF,02A247B69E7E9F926B5DA43B59D7D8B0EDDDD81740E8B93396CD8032309610DF
supplement,13,True,True,0.0000000000,CE3B5FEF78D589A2D774B4F15A0F69FCDF360911F4D68EE33E8781B936C6EDD2,CE3B5FEF78D589A2D774B4F15A0F69FCDF360911F4D68EE33E8781B936C6EDD2
supplement,14,True,True,0.0000000000,905B0ED82ED2B09F014593033FE302431CE4880556A75E0739F5BAA9084CC427,905B0ED82ED2B09F014593033FE302431CE4880556A75E0739F5BAA9084CC427
supplement,15,True,True,0.0000000000,C41672BFEDEBAAB5F4A7F0ACF89CE79045DF50818C98E1AE23698889EA569D66,C41672BFEDEBAAB5F4A7F0ACF89CE79045DF50818C98E1AE23698889EA569D66
