replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
12,0.6,1,39062,39099,0.9152413624111737,0.9561978393323435
12,0.6,2,32840,33160,0.763668430335097,0.8702192448233861
12,0.6,3,3327,3875,0.6598294537911962,0.8605350165314096
12,0.6,4,1073,1240,0.6994856722997795,0.8872320596458527
12,0.6,5,1056,1056,0.9812382739212008,0.990530303030303
12,0.8,0,41420,55316,0.6815463774162147,0.9465958474167069
12,0.8,1,32037,24687,0.6560784771692164,0.7014389612011113
12,0.8,2,22923,16245,0.6115865701119158,0.6484317061466649
12,0.8,3,17818,22989,0.6853343245364061,0.9313054214838927
12,0.8,4,3834,0,0.0,0.0
12,0.8,5,1221,0,0.0,0.0
12,0.8,6,1067,1083,0.9706691109074244,0.9925023430178069
13,0.4,0,76710,79909,0.9342126387808282,0.9861295789336462
13,0.4,1,40082,38309,0.907555663706047,0.9304924903946908
13,0.4,2,1509,0,0.0,0.0
13,0.4,3,1022,1018,0.9805825242718447,0.9882583170254403
13,0.4,4,997,1084,0.7399665551839465,0.8876629889669007
13,0.6,0,43222,49979,0.7039508565369216,0.8908426264402388
13,0.6,1,38841,44920,0.8187562426716464,0.9708040472696378
13,0.6,2,32785,23144,0.6353508771929824,0.6627726094250419
13,0.6,3,3350,0,0.0,0.0
13,0.6,4,1096,1228,0.7138643067846607,0.8832116788321168
13,0.6,5,1026,1049,0.9743101807802094,0.9980506822612085
13,0.8,0,41647,42684,0.6869236462563262,0.8245491872163662
13,0.8,1,32034,34213,0.6529517440990069,0.8169132796403821
13,0.8,2,22850,24436,0.7637448713166729,0.8961050328227571
13,0.8,3,17674,17919,0.7976262626262626,0.8935724793481951
13,0.8,4,3852,0,0.0,0.0
13,0.8,5,1225,0,0.0,0.0
13,0.8,6,1038,1068,0.9590697674418605,0.9932562620423893
14,0.4,0,76714,76265,0.9326267118095912,0.9623145710039889
14,0.4,1,40043,39508,0.9082012041545732,0.9455335514322104
14,0.4,2,1514,3514,0.42033898305084744,0.9828269484808454
14,0.4,3,1029,1033,0.9903474903474904,0.9970845481049563
14,0.4,4,1020,0,0.0,0.0
14,0.6,0,43098,42797,0.6664726539006267,0.79706714928767
14,0.6,1,38862,37858,0.8924518993586581,0.9309865678554886
14,0.6,2,32903,38619,0.700758566570756,0.8956326170865878
