"analysis_name","program_id","program_label","analysis_family","publication_role","positive_available","positive_total","negative_available","negative_total","availability_pass","effect","se_hc3","ci_low","ci_high","statistic","df","p_value","q_value_primary4","omitted_source_label","minimum_cells_after_omission"
"childhood_min50_without_b_casc5","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,-0.14123754079027,0.236143112822593,-0.618138232023056,0.335663150442516,-0.598101461025363,41,0.553062021988236,0.737416029317647,"B-caSC5",100
"childhood_min50_without_b_casc5","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,0.582387897998477,0.258268150005992,0.060804787701278,1.10397100829568,2.25497374718859,41,0.0295389836853968,0.0590779673707936,"B-caSC5",100
"childhood_min50_without_b_casc5","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.0309304526708835,0.184360345314429,-0.341392818016325,0.403253723358093,0.167771722374089,41,0.867587702781595,0.867587702781595,"B-caSC5",100
"childhood_min50_without_b_casc5","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.03231611501108,0.178539015144861,0.671749259103778,1.39288297091838,5.78201976847183,41,8.83249974428224e-07,3.5329998977129e-06,"B-caSC5",100
"childhood_min50_without_b_casc5","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.276541745777286,0.202478487260971,-0.132371854879238,0.685455346433809,1.36578334576777,41,0.179452958166298,NA,"B-caSC5",100
"childhood_min50_without_b_casc5","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.185739705768237,0.129763986376533,-0.0763239812069684,0.447803392743443,1.43136559653216,41,0.159904473977667,NA,"B-caSC5",100
"childhood_min50_without_b_casc5","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",9,10,0,0,TRUE,-0.0318912518150168,0.184696626311015,-0.404893655752413,0.341111152122379,-0.172668296394945,41,0.863761736933605,NA,"B-caSC5",100
"childhood_min50_without_b_casc5","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",9,10,0,0,TRUE,0.250041737132015,0.102767360186962,0.0424988428103401,0.45758463145369,2.43308514179134,41,0.0194187772915487,NA,"B-caSC5",100
"childhood_min50_without_b_casc5","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.413894096692411,0.179768199242797,-0.776943340245709,-0.0508448531391141,-2.30237660740764,41,0.0264647965684824,NA,"B-caSC5",100
"childhood_min50_without_b_casc6","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,0.185727189532891,0.23181818171485,-0.282439126133471,0.653893505199253,0.801176112067632,41,0.427648464443915,0.427648464443915,"B-caSC6",105
"childhood_min50_without_b_casc6","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,1.15987154135337,0.300101289384195,0.553804692159706,1.76593839054704,3.86493354871423,41,0.00038844423580005,0.0007768884716001,"B-caSC6",105
"childhood_min50_without_b_casc6","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.260832668683288,0.181595813134213,-0.105907516001872,0.627572853368447,1.43633635699801,41,0.15849361266785,0.211324816890467,"B-caSC6",105
"childhood_min50_without_b_casc6","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.03657709171127,0.178854082518633,0.675373944334189,1.39778023908835,5.79565798618703,41,8.44705655930094e-07,3.37882262372037e-06,"B-caSC6",105
"childhood_min50_without_b_casc6","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.251642338786227,0.199228103017456,-0.15070697772084,0.653991655293294,1.26308655744305,41,0.213694070648351,NA,"B-caSC6",105
"childhood_min50_without_b_casc6","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.25002060003537,0.123981654899461,-0.000365431617215528,0.500406631687956,2.01659350520943,41,0.0503199178042612,NA,"B-caSC6",105
"childhood_min50_without_b_casc6","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",9,10,0,0,TRUE,0.0351922674260101,0.193027098333603,-0.354633866064117,0.425018400916138,0.182317756055103,41,0.856231851025275,NA,"B-caSC6",105
"childhood_min50_without_b_casc6","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",9,10,0,0,TRUE,0.237896560038707,0.111969685548965,0.0117691926251347,0.46402392745228,2.12465149716504,41,0.0396909990987187,NA,"B-caSC6",105
"childhood_min50_without_b_casc6","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.211037467796474,0.166868671026005,-0.548035585616595,0.125960650023648,-1.26469196703547,41,0.213123524617906,NA,"B-caSC6",105
"childhood_min50_without_b_casc7","NAIVE_TO_MEMORY_AXIS","Naive-to-memory axis","primary_confirmatory","continuous B_CONV program; no hard subtype",7,7,7,7,TRUE,0.159387049905234,0.238149126457715,-0.321564868050945,0.640338967861413,0.669274132036484,41,0.507072142419644,0.507072142419644,"B-caSC7",104
"childhood_min50_without_b_casc7","ATYPICAL_LOW_NAIVE_AXIS","Atypical/ABC with low-naive context","primary_confirmatory","continuous B_CONV program; no ABC hard identity",7,7,3,3,TRUE,1.19860002890826,0.297826012744363,0.597128194107829,1.8000718637087,4.02449745025152,41,0.000239968588504699,0.000479937177009398,"B-caSC7",104
"childhood_min50_without_b_casc7","APC_HLA","Antigen-presentation program","primary_confirmatory","continuous B_CONV program",10,10,0,0,TRUE,0.264831706283357,0.178158702964298,-0.0949670935937374,0.624630506160452,1.48649323258953,41,0.144798834296982,0.193065112395975,"B-caSC7",104
"childhood_min50_without_b_casc7","IFN_ISG","Type I interferon response","primary_confirmatory","continuous B_CONV program",12,12,0,0,TRUE,1.04383751316771,0.177785522455005,0.684792366618499,1.40288265971691,5.87133023405709,41,6.59396441532037e-07,2.63758576612815e-06,"B-caSC7",104
"childhood_min50_without_b_casc7","ACTIVATION_STRESS","Activation/immediate-early response","secondary_contextual","context and technical-stress sensitivity",9,9,0,0,TRUE,0.277174244246989,0.198219296744764,-0.123137746661139,0.677486235155116,1.39832119676971,41,0.16953512822464,NA,"B-caSC7",104
"childhood_min50_without_b_casc7","TLR7_INNATE","TLR7/innate-sensing context","secondary_contextual","mechanistic context only",9,9,0,0,TRUE,0.253303039930217,0.123179618115058,0.00453675442353449,0.502069325436899,2.05637136895176,41,0.0461491487190674,NA,"B-caSC7",104
"childhood_min50_without_b_casc7","PLATELET_AMBIENT_QC","Platelet/ambient overlay","qc_only","sensitivity/QC only; never a B-cell identity",9,10,0,0,TRUE,0.0643869961197979,0.193245765521453,-0.325880744715083,0.454654736954679,0.33318709957787,41,0.740690960431992,NA,"B-caSC7",104
"childhood_min50_without_b_casc7","ASC_UPR_IDENTITY_QC","ASC/UPR identity control","identity_qc_only","B_ASC identity QC; not a new outcome-informed state",9,10,0,0,TRUE,0.289862468085996,0.118973464917155,0.0495906812904313,0.530134254881562,2.43636232909444,41,0.0192662998269842,NA,"B-caSC7",104
"childhood_min50_without_b_casc7","PAN_B_IDENTITY_QC","Pan-B identity control","identity_qc_only","B-lineage extraction QC only",5,5,0,0,TRUE,-0.190780844356252,0.162490701708882,-0.518937473773107,0.137375785060603,-1.17410314774845,41,0.247128659358585,NA,"B-caSC7",104
