gene_index,gene_id,feature_name,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg
ENSG00000156313,ENSG00000156313,RPGR,4482,True,0.18271070960712302,1.892272164877301,0.9499233,87,False,False,False,False,False,False,False,False
ENSG00000259536,ENSG00000259536,ENSG00000259536,2015,True,0.09145929990838154,1.9060134178213033,0.9351987,87,False,False,False,False,False,False,False,False
ENSG00000096696,ENSG00000096696,DSP,2103,True,0.09132314340009327,1.8954698710553612,0.9025161,87,False,False,False,False,False,False,False,False
ENSG00000136603,ENSG00000136603,SKIL,7130,True,0.27609058119810015,1.8429956347588288,0.7517363,87,False,False,False,False,False,False,False,False
ENSG00000125482,ENSG00000125482,TTF1,7964,True,0.30232867799319885,1.832288077433482,0.713614,87,False,False,False,False,False,False,False,False
ENSG00000166770,ENSG00000166770,ZNF667-AS1,3363,True,0.1472475883795917,1.85503895438329,0.70459026,87,False,False,False,False,False,False,False,False
ENSG00000005471,ENSG00000005471,ABCB4,5591,True,0.23061539188237748,1.8522628300004114,0.6860118,87,False,False,False,False,False,False,False,False
ENSG00000164221,ENSG00000164221,CCDC112,5148,True,0.20449120615785532,1.842399196942717,0.64960694,87,False,False,False,False,False,False,False,False
ENSG00000176593,ENSG00000176593,ZNF606-AS1,4203,True,0.16120893454365565,1.8283007061076029,0.59458256,87,False,False,False,False,False,False,False,False
ENSG00000238142,ENSG00000238142,ENSG00000238142,4374,True,0.18925678367890145,1.810463916892318,0.5501681,87,False,False,False,False,False,False,False,False
ENSG00000150907,ENSG00000150907,FOXO1,4375,True,0.17235795651757518,1.8187737912244246,0.544773,87,False,False,False,False,False,False,False,False
ENSG00000167258,ENSG00000167258,CDK12,10866,True,0.4069147131055649,2.2116732928703016,4.2582617,86,False,False,False,False,False,False,False,False
ENSG00000090104,ENSG00000090104,RGS1,11155,True,0.4573245255062986,2.0998204758189956,2.7849019,86,False,False,False,False,False,False,False,False
ENSG00000237541,ENSG00000237541,HLA-DQA2,25353,True,0.9109726809820656,2.1272354769281203,2.663923,86,False,False,False,False,False,False,False,False
ENSG00000170606,ENSG00000170606,HSPA4,15263,True,0.5608901118479508,1.9358865328801615,1.8709899,86,False,False,False,False,False,False,False,False
ENSG00000180573,ENSG00000180573,H2AC6,10490,True,0.41650338115265273,1.933007284843236,1.8060626,86,False,False,False,False,False,False,False,False
ENSG00000187837,ENSG00000187837,H1-2,17594,True,0.6040826799318375,1.946023318993362,1.7753142,86,False,False,False,False,False,False,False,False
ENSG00000163737,ENSG00000163737,PF4,8950,True,0.3621322182441268,1.9696192660831977,1.7368855,86,False,False,False,False,False,False,False,False
ENSG00000198502,ENSG00000198502,HLA-DRB5,54530,True,1.617894689296444,2.200372853908931,1.6848537,86,False,False,False,False,False,False,False,False
ENSG00000184009,ENSG00000184009,ACTG1,53656,True,1.5075828849216626,2.1850800287491166,1.5854956,86,False,False,False,False,False,False,False,False
ENSG00000112182,ENSG00000112182,BACH2,11870,True,0.4489141583691293,1.8943867699387382,1.4699528,86,False,False,False,False,False,False,False,False
ENSG00000152518,ENSG00000152518,ZFP36L2,53446,True,1.5022732470342712,2.0697880700819336,1.2134311,86,False,False,False,False,False,False,False,False
ENSG00000160856,ENSG00000160856,FCRL3,8528,True,0.3252100905907381,1.8760683254426018,1.1514349,86,False,False,False,False,False,False,False,False
ENSG00000213928,ENSG00000213928,IRF9,12540,True,0.4461039835774772,1.8709097881360923,1.1313713,86,False,False,False,False,False,False,False,False
ENSG00000242265,ENSG00000242265,PEG10,2542,True,0.1127205396973542,1.9427057807505645,1.1084431,86,False,False,False,False,False,False,False,False
