"analysis_name","ensembl_id","gene_id","feature_name","is_mitochondrial","is_ribosomal","is_hemoglobin","is_immunoglobulin","tested_filterByExpr","logFC","logCPM","F","PValue","FDR"
"primary_base","ENSG00000213928","ENSG00000213928","IRF9",FALSE,FALSE,FALSE,FALSE,TRUE,0.736729816870787,5.24084364333932,21.8445181385634,1.02393658685208e-05,0.000903931218873016
"primary_base","ENSG00000082438","ENSG00000082438","COBLL1",FALSE,FALSE,FALSE,FALSE,TRUE,-0.456403180601326,5.85488712998242,21.450223772078,1.05164166572999e-05,0.000910185551476896
"primary_base","ENSG00000204568","ENSG00000204568","MRPS18B",FALSE,FALSE,FALSE,FALSE,TRUE,0.499088065213103,5.61506480228856,21.0151915377678,1.27125551582426e-05,0.00107910035516313
"primary_base","ENSG00000132465","ENSG00000132465","JCHAIN",FALSE,FALSE,FALSE,FALSE,TRUE,-0.533577995362618,8.96169209081673,21.0204404344051,1.50118442906317e-05,0.00125023171129902
"primary_base","ENSG00000183508","ENSG00000183508","TENT5C",FALSE,FALSE,FALSE,FALSE,TRUE,-0.404010340895823,5.54059117854868,20.4244824199172,1.64454555245578e-05,0.00134426371639626
"primary_base","ENSG00000128218","ENSG00000128218","VPREB3",FALSE,FALSE,FALSE,FALSE,TRUE,0.461526792509407,8.42778659590013,20.6513768376514,1.69528727077229e-05,0.00134678783794621
"primary_base","ENSG00000167748","ENSG00000167748","KLK1",FALSE,FALSE,FALSE,FALSE,TRUE,-0.958274375346314,4.46338135060821,20.6663475616654,1.7086569760985e-05,0.00134678783794621
"primary_base","ENSG00000257275","ENSG00000257275","ENSG00000257275",FALSE,FALSE,FALSE,FALSE,TRUE,0.973322311597455,5.53957364686469,20.6493282972956,1.7982306748654e-05,0.00139233813097969
"primary_base","ENSG00000163644","ENSG00000163644","PPM1K",FALSE,FALSE,FALSE,FALSE,TRUE,0.33420350691953,6.81952795323401,20.1740172667354,1.82953356585459e-05,0.00139233813097969
"primary_base","ENSG00000002549","ENSG00000002549","LAP3",FALSE,FALSE,FALSE,FALSE,TRUE,0.5701974984652,4.66702631695746,20.1353180677334,1.87036739483136e-05,0.00139928842047214
"primary_base","ENSG00000146386","ENSG00000146386","ABRACL",FALSE,FALSE,FALSE,FALSE,TRUE,0.427656720559383,6.1698345038762,20.0128596927776,1.96488729048755e-05,0.00142520343134112
"primary_base","ENSG00000168961","ENSG00000168961","LGALS9",FALSE,FALSE,FALSE,FALSE,TRUE,0.449708043542361,5.77399028149395,20.0098297815364,1.96958335550087e-05,0.00142520343134112
"primary_base","ENSG00000204264","ENSG00000204264","PSMB8",FALSE,FALSE,FALSE,FALSE,TRUE,0.235672351051057,7.13946686756432,19.6327194774654,2.32000860982525e-05,0.00161987047596665
"primary_base","ENSG00000162654","ENSG00000162654","GBP4",FALSE,FALSE,FALSE,FALSE,TRUE,0.66140466962081,4.22978546145366,19.6084114090656,2.34385926230869e-05,0.00161987047596665
"primary_base","ENSG00000126524","ENSG00000126524","SBDS",FALSE,FALSE,FALSE,FALSE,TRUE,-0.414517736057261,6.82986686686814,19.6793168660695,2.34870209474096e-05,0.00161987047596665
"primary_base","ENSG00000068079","ENSG00000068079","IFI35",FALSE,FALSE,FALSE,FALSE,TRUE,0.541648595854915,4.95702999069236,19.4111067008684,2.57196977677714e-05,0.00174656532226066
"primary_base","ENSG00000197903","ENSG00000197903","H2BC12",FALSE,FALSE,FALSE,FALSE,TRUE,0.348337887576448,6.2668684148084,19.2765615661474,2.71666334170115e-05,0.0018168715136771
"primary_base","ENSG00000072858","ENSG00000072858","SIDT1",FALSE,FALSE,FALSE,FALSE,TRUE,-0.52408929190618,4.43483854133663,19.2499378294088,2.75922451312932e-05,0.00181779358223177
"primary_base","ENSG00000168002","ENSG00000168002","POLR2G",FALSE,FALSE,FALSE,FALSE,TRUE,0.277641289281655,6.32665917157194,18.9403946617975,3.15188803014493e-05,0.00201716173295372
"primary_base","ENSG00000124562","ENSG00000124562","SNRPC",FALSE,FALSE,FALSE,FALSE,TRUE,0.271138029554283,6.37487164260812,18.9095000161329,3.19538886718352e-05,0.00201716173295372
"primary_base","ENSG00000198168","ENSG00000198168","SVIP",FALSE,FALSE,FALSE,FALSE,TRUE,-0.284203221000915,6.91797770572794,18.9060109659535,3.19894248542729e-05,0.00201716173295372
