resolution,cluster,rank,gene_id,gene,n_cells,cluster_cpm,rest_cpm,log2_fold_change,cluster_detection_fraction,rest_detection_fraction,detection_difference,marker_score,technical_nuisance,eligible_samples,samples_with_at_least_5pct_detection,sample_support_fraction
0.4,3,16,ENSG00000114850,SSR3,1300,792.5637752680756,45.84604351665241,4.0823470586133634,0.8376923076923077,0.08861718823355824,0.7490751194587495,3.0579846106028796,False,91,91,1.0
0.4,3,17,ENSG00000165272,AQP3,1300,214.21886333998503,2.7409688938378673,5.846248751526521,0.5138461538461538,0.005727622701238079,0.5081185311449158,2.970587328333454,False,91,90,0.989010989010989
0.4,3,18,ENSG00000129128,SPCS3,1300,672.6840461594481,41.62965749202478,3.982142765436637,0.8223076923076923,0.0817292859921396,0.7405784063155527,2.9490889429480722,False,91,91,1.0
0.4,3,19,ENSG00000166794,PPIB,1300,2836.0414608990172,149.3255687047797,4.238224912907924,0.9346153846153846,0.2515928693109415,0.6830225153044431,2.894803040440325,False,91,91,1.0
0.4,3,20,ENSG00000074695,LMAN1,1300,490.9086411770762,28.41131910260017,4.063947002670277,0.7684615384615384,0.05663237246985285,0.7118291659916856,2.8928360055451936,False,91,91,1.0
0.4,4,1,ENSG00000262967,ENSG00000262967,1251,428.87160279453406,4.887906738290544,6.190007179231045,0.7841726618705036,0.010345220615349544,0.773827441255154,4.7899974168553925,False,99,99,1.0
0.4,4,2,ENSG00000154945,ANKRD40,1251,403.32358739368783,4.9596043498853675,6.084150004371255,0.7458033573141487,0.010472608296290337,0.7353307490178583,4.47386257985132,False,99,99,1.0
0.4,4,3,ENSG00000143443,C1orf56,1251,252.96723446083843,82.22780863688008,1.6095048229218232,0.3133493205435651,0.13480968950928923,0.1785396310342759,0.28736039723234985,False,99,90,0.9090909090909091
0.4,4,4,ENSG00000169045,HNRNPH1,1251,404.1612272428959,175.72461144398997,1.1969931490878292,0.45323741007194246,0.26788958840369825,0.1853478216682442,0.221860072735241,False,99,96,0.9696969696969697
0.4,4,5,ENSG00000198625,MDM4,1251,332.5430201356055,148.62914883606814,1.1564816011749626,0.42525979216626697,0.24402115976426575,0.18123863240200122,0.20959914379502684,False,99,98,0.98989898989899
0.4,4,6,ENSG00000086062,B4GALT1,1251,154.12573225428568,63.41497881189064,1.2679699092275167,0.2270183852917666,0.10956681483865345,0.11745157045311315,0.14892505712606316,False,99,80,0.8080808080808081
0.4,4,7,ENSG00000197622,CDC42SE1,1251,219.46164049251547,112.34080550670575,0.9598602932857354,0.2941646682653877,0.19356893349692594,0.10059573476846173,0.09655785147814973,False,99,86,0.8686868686868687
0.4,4,8,ENSG00000244509,APOBEC3C,1251,142.81759428997668,73.11286010195563,0.9564443757712412,0.22861710631494805,0.1325971666297913,0.09601993968515676,0.09183773127376199,False,99,85,0.8585858585858586
0.4,4,9,ENSG00000189241,TSPYL1,1251,107.63672062323755,52.15221921658214,1.0313100015785652,0.1750599520383693,0.1018363939899833,0.073223558048386,0.07551618776646912,False,99,73,0.7373737373737373
0.4,4,10,ENSG00000135074,ADAM19,1251,92.5592033374922,45.06974210599789,1.0220600552074015,0.15027977617905675,0.08611407231597508,0.06416570386308167,0.06558120283272302,False,99,72,0.7272727272727273
0.4,4,11,ENSG00000146192,FGD2,1251,90.46510371447202,43.52980210043951,1.0384502230070414,0.14548361310951238,0.08327802026134588,0.0622055928481665,0.06459741176546371,False,99,73,0.7373737373737373
0.4,4,12,ENSG00000138814,PPP3CA,1251,161.66449089715834,97.92958557614634,0.7174254114353869,0.2565947242206235,0.17446748597059356,0.08212723825002996,0.05892016769157978,False,99,87,0.8787878787878788
0.4,4,13,ENSG00000114861,FOXP1,1251,382.80141108809,259.5983478600903,0.5585320782246954,0.48521183053557154,0.3833363504099872,0.10187548012558434,0.05690072363468127,False,99,96,0.9696969696969697
0.4,4,14,ENSG00000185905,C16orf54,1251,57.37832967075309,26.33172718006392,1.0948563015323367,0.09832134292565947,0.05033154320118537,0.0479897997244741,0.052541934637615265,False,99,50,0.5050505050505051
0.4,4,15,ENSG00000151694,ADAM17,1251,61.14770899218942,30.452781203035922,0.9825136162371153,0.1079136690647482,0.06152154527961596,0.04639212378513224,0.04558089330505016,False,99,50,0.5050505050505051
0.4,4,16,ENSG00000213639,PPP1CB,1251,123.97069768279499,76.47017869706973,0.6898768881889614,0.21023181454836132,0.1444777440312167,0.06575407051714463,0.04536221355412527,False,99,82,0.8282828282828283
0.4,4,17,ENSG00000100354,TNRC6B,1251,282.70344910772513,190.33222048456997,0.5683038451644722,0.39168665067945646,0.31319267051511557,0.07849398016434089,0.044608430749658735,False,99,97,0.9797979797979798
0.4,4,18,ENSG00000119866,BCL11A,1251,175.48554840909156,109.44172816830638,0.6762646844671997,0.26059152677857716,0.1979068192636992,0.06268470751487795,0.04239145394846764,False,99,90,0.9090909090909091
0.4,4,19,ENSG00000168036,CTNNB1,1251,69.94292740887421,37.64748066220338,0.8762844919345726,0.11830535571542766,0.07466929487566291,0.04363606083976475,0.03823760340299935,False,99,68,0.6868686868686869
0.4,4,20,ENSG00000119335,SET,1251,344.6887979491226,246.34675886489063,0.482938858693228,0.4404476418864908,0.36479809052570883,0.075649551360782,0.03653410799483079,False,99,95,0.9595959595959596
0.6,0,1,ENSG00000077238,IL4R,53860,268.27911020258887,82.22389259991618,1.694032640884806,0.31730412179725215,0.14714839137370264,0.1701557304235495,0.2882493613710887,False,255,252,0.9882352941176471
0.6,0,2,ENSG00000104921,FCER2,53860,274.391489863589,122.77154466278388,1.1538043039961527,0.33746750835499445,0.21871309896210975,0.1187544093928847,0.13701934867603152,False,255,254,0.996078431372549
0.6,0,3,ENSG00000147535,PLPP5,53860,297.2768605362627,145.11587996719197,1.0295390821877537,0.360824359450427,0.24468107145076753,0.11614328799965948,0.11957405412943736,False,255,255,1.0
0.6,0,4,ENSG00000100721,TCL1A,53860,566.4323373327154,354.40252815833605,0.674994426503756,0.5229669513553658,0.34746535186758093,0.17550159948778482,0.11846260149674918,False,255,254,0.996078431372549
0.6,0,5,ENSG00000066923,STAG3,53860,89.51141830237718,30.34744368595622,1.5297520049655915,0.11067582621611585,0.057011456153798344,0.05366437006231751,0.08209317769804567,False,255,216,0.8470588235294118
0.6,0,6,ENSG00000080546,SESN1,53860,50.88472868422408,15.092188835337675,1.688949397687338,0.07476791682138878,0.03319798636862713,0.04156993045276165,0.07020950900009633,False,255,142,0.5568627450980392
0.6,0,7,ENSG00000084234,APLP2,53860,141.80498948559767,68.70657817531746,1.0346796727441376,0.20499443000371334,0.14338836982867562,0.061606060175037725,0.06374253818096369,False,255,250,0.9803921568627451
0.6,0,8,ENSG00000109906,ZBTB16,53860,34.877171786178444,9.48357615186132,1.774935234242181,0.0532305978462681,0.021234281452632016,0.031996316393636086,0.0567913893330254,False,255,95,0.37254901960784315
0.6,0,9,ENSG00000081189,MEF2C,53860,686.9382906130134,414.0246127981375,0.7290822610092076,0.627422948384701,0.553655403865675,0.07376754451902601,0.05378260814702886,False,255,255,1.0
0.6,0,10,ENSG00000126353,CCR7,53860,126.47412071699124,61.69044830731147,1.0238868348517063,0.17677311548458968,0.12515796233763543,0.05161515314695425,0.052848075786021076,False,255,245,0.9607843137254902
0.6,0,11,ENSG00000247982,LINC00926,53860,366.76496615605333,213.29034798738238,0.7792171830292451,0.4183995544002971,0.35767852333699324,0.06072103106330384,0.04731487077577891,False,255,255,1.0
0.6,0,12,ENSG00000174944,P2RY14,53860,36.530065741693896,11.86519821714776,1.5445731322204643,0.05636836242109172,0.026392658117710428,0.029975704303381295,0.0462996674863881,False,255,139,0.5450980392156862
0.6,0,13,ENSG00000174469,CNTNAP2,53860,37.73922977626561,12.307192942777496,1.5415889930399058,0.05625696249535834,0.027148805701145615,0.029108156794212723,0.044872814121638085,False,255,121,0.4745098039215686
0.6,0,14,ENSG00000091972,CD200,53860,43.95144866947805,16.40529937944155,1.3688409815193194,0.06890085406609729,0.037009798844026436,0.031891055222070856,0.043653783331866286,False,255,171,0.6705882352941176
0.6,0,15,ENSG00000164543,STK17A,53860,238.48264601121636,135.0057870197778,0.8162530764079405,0.3034162643891571,0.25080275942077024,0.05261350496838685,0.04294593529105023,False,255,255,1.0
0.6,0,16,ENSG00000188820,CALHM6,53860,250.98473653380637,143.79847821215964,0.7992899078191744,0.32298551800965464,0.26934391249404405,0.05364160551561059,0.042875193927844904,False,255,254,0.996078431372549
0.6,0,17,ENSG00000106537,TSPAN13,53860,137.7670472050096,74.61128441285646,0.8759915470779168,0.2013739324173784,0.15319757204118414,0.048176360376194244,0.04220208445852565,False,255,250,0.9803921568627451
0.6,0,18,ENSG00000082293,COL19A1,53860,48.38874787891551,19.426311873066155,1.2737536555084636,0.074730783512811,0.04416730542147459,0.03056347809133641,0.03893034194389259,False,255,182,0.7137254901960784
0.6,0,19,ENSG00000121966,CXCR4,53860,1981.5092417183691,1357.6189838536968,0.5451866731707211,0.8931489045673969,0.8257028029251517,0.06744610164224518,0.03677071577266996,False,255,255,1.0
0.6,0,20,ENSG00000100100,PIK3IP1,53860,129.8353748681401,70.32007348441242,0.875372570494817,0.18366134422577052,0.14550143978786434,0.03815990443790618,0.03340413363764651,False,255,241,0.9450980392156862
0.6,1,1,ENSG00000184293,CLECL1P,48676,146.141960279951,13.332360379975123,3.3598605866491984,0.2769742789054154,0.02016200381416747,0.25681227509124793,0.8628534412467956,False,269,268,0.9962825278810409
0.6,1,2,ENSG00000213145,CRIP1,48676,467.2631521258715,103.96491106080677,2.1574123891220847,0.43179390253923905,0.10582348662092288,0.32597041591831616,0.703252613789454,False,269,269,1.0
0.6,1,3,ENSG00000234184,LINC01781,48676,341.0163068184731,71.77474682787219,2.232555291705452,0.33254581313172815,0.08916107976328569,0.24338473336844246,0.5433698744020367,False,269,262,0.9739776951672863
0.6,1,4,ENSG00000169508,GPR183,48676,295.3198378268195,92.22652653985847,1.6683427933895838,0.4523379077985044,0.1360025952067318,0.3163353125917726,0.5277557390571251,False,269,268,0.9962825278810409
0.6,1,5,ENSG00000240505,TNFRSF13B,48676,111.69021342498385,18.65410086778032,2.5194599599486858,0.21998520831621332,0.02597172797514893,0.1940134803410644,0.4888091954096032,False,269,264,0.9814126394052045
0.6,1,6,ENSG00000163568,AIM2,48676,70.41750959369571,6.421736607772586,3.266449119633192,0.15015613443997042,0.010813361382537405,0.139342773057433,0.4551560783806997,False,269,237,0.8810408921933085
0.6,1,7,ENSG00000150093,ITGB1,48676,178.5829047892975,44.127159164432555,1.9925821544560622,0.2578272660037801,0.054784420895346325,0.20304284510843376,0.4045795497530515,False,269,267,0.9925650557620818
0.6,1,8,ENSG00000197747,S100A10,48676,307.20328541446776,125.56761263905523,1.2839739598635576,0.4060933519598981,0.18039635884631264,0.22569699311358546,0.2897890619773484,False,269,269,1.0
0.6,1,9,ENSG00000103187,COTL1,48676,389.07842562850385,188.45072416385767,1.0419415538388501,0.5372873695455666,0.2723492519119989,0.26493811763356767,0.27605003395825956,False,269,269,1.0
0.6,1,10,ENSG00000100097,LGALS1,48676,303.2211082201994,152.3902032125193,0.9879139140119361,0.3927602925466349,0.16410750447279948,0.22865278807383543,0.2258892708157645,False,269,269,1.0
0.6,1,11,ENSG00000161929,SCIMP,48676,95.33568768060258,30.642021545573073,1.6062285716775964,0.19188100912153833,0.053398344572675616,0.1384826645488627,0.22243481248042746,False,269,250,0.929368029739777
0.6,1,12,ENSG00000100473,COCH,48676,38.44180954863007,4.038411681176575,2.9686848300794915,0.07816994001150464,0.007028684898649313,0.07114125511285532,0.21119596484634864,False,269,187,0.6951672862453532
0.6,1,13,ENSG00000102575,ACP5,48676,70.47270808945784,19.4230796368316,1.807192023316387,0.1467869175774509,0.03402276704087451,0.1127641505365764,0.20378647336574915,False,269,251,0.9330855018587361
0.6,1,14,ENSG00000123096,SSPN,48676,30.225119179466475,2.50045414307402,3.157093066137875,0.06863752157120552,0.004118907653893793,0.06451861391731173,0.20369126863517145,False,269,173,0.6431226765799256
0.6,1,15,ENSG00000085117,CD82,48676,111.17765596433546,43.66882744777948,1.32844505260862,0.22618949790451146,0.07706977567190296,0.1491197222326085,0.1980973572462804,False,269,260,0.966542750929368
0.6,1,16,ENSG00000182718,ANXA2,48676,141.25295065530472,61.34006141207042,1.1902270963793253,0.24876735968444408,0.0828401785187661,0.16592718116567798,0.1974910270492312,False,269,268,0.9962825278810409
0.6,1,17,ENSG00000139193,CD27,48676,92.63884688765252,37.965143862763384,1.264923025631912,0.18257457473909114,0.027387295283408372,0.15518727945568278,0.19629996306866732,False,269,256,0.9516728624535316
0.6,1,18,ENSG00000185043,CIB1,48676,265.02374915280166,131.7296279407244,1.0030646020351142,0.40038211849782235,0.21460590212924915,0.1857762163685732,0.18634554653933214,False,269,267,0.9925650557620818
0.6,1,19,ENSG00000142227,EMP3,48676,592.1931190343732,350.150153799064,0.7564137957561279,0.662975593721752,0.42125906847806854,0.24171652524368342,0.1828377143565565,False,269,269,1.0
0.6,1,20,ENSG00000111640,GAPDH,48676,627.1968508469618,389.38334874456757,0.6863251926975648,0.6494987262716739,0.4036627804101213,0.2458359458615526,0.16872340291541818,False,269,269,1.0
