replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
9,0.6,1,38916,39013,0.9245054700812486,0.9619693699249666
9,0.6,2,32872,39886,0.7218383188186293,0.9279021659771234
9,0.6,3,3346,0,0.0,0.0
9,0.6,4,1084,1024,0.8063410454155956,0.8680811808118081
9,0.6,5,1036,1042,0.9866156787762906,0.9961389961389961
9,0.8,0,41539,39822,0.7864655380629295,0.8622740075591613
9,0.8,1,32104,33984,0.7632870864461045,0.8911039122850735
9,0.8,2,22879,20662,0.7796533965503147,0.8337339918702741
9,0.8,3,17715,19237,0.8128832850905167,0.9353090601185436
9,0.8,4,3816,4400,0.6527861597264132,0.8503668763102725
9,0.8,5,1221,1174,0.7675276752767528,0.8517608517608518
9,0.8,6,1046,1041,0.9857278782112274,0.9904397705544933
10,0.4,0,76503,75694,0.9542501284026708,0.9714259571520071
10,0.4,1,40315,40304,0.9311327760078568,0.9642068708917276
10,0.4,2,1483,2350,0.5931005818786368,0.9622387053270398
10,0.4,3,1024,1027,0.9931972789115646,0.998046875
10,0.4,4,995,945,0.7979610750695088,0.8653266331658291
10,0.6,0,43061,73295,0.5420581803724074,0.9498386010543183
10,0.6,1,39052,40999,0.9108899073808842,0.9771330533647444
10,0.6,2,32791,0,0.0,0.0
10,0.6,3,3292,3823,0.7001194743130227,0.8900364520048603
10,0.6,4,1094,1168,0.7741176470588236,0.9021937842778793
10,0.6,5,1030,1035,0.9894026974951831,0.9970873786407767
10,0.8,0,41578,45872,0.7210840172403613,0.8812112174707778
10,0.8,1,31978,33175,0.7452319725704489,0.8700043780098818
10,0.8,2,22941,26394,0.7364753088592446,0.9120788108626476
10,0.8,3,17779,13839,0.6988877545537585,0.7315934529501097
10,0.8,4,3767,0,0.0,0.0
10,0.8,5,1240,0,0.0,0.0
10,0.8,6,1037,1040,0.98565965583174,0.9942140790742526
11,0.4,0,76791,83089,0.8919590556771788,0.9815603391022385
11,0.4,1,40024,32970,0.7814276998169616,0.799995002998201
11,0.4,2,1487,2331,0.5744329896907217,0.9367854741089442
11,0.4,3,1051,1051,0.9962013295346629,0.9980970504281637
11,0.4,4,967,879,0.7957198443579766,0.8459152016546019
11,0.6,0,43099,55895,0.7187055106080072,0.9604863221884499
11,0.6,1,38794,39405,0.9123300401056441,0.9616693303088106
