replicate,resolution,reference_cluster,mapped_reference_cluster,n_cells,fraction_of_reference_cluster
5,0.8,6,3,4,0.0038204393505253103
5,0.8,6,6,1039,0.9923591212989494
6,0.4,0,0,74336,0.9700639436252121
6,0.4,0,1,1419,0.01851755187263474
6,0.4,0,2,824,0.01075296881117056
6,0.4,0,3,1,1.3049719431032233e-05
6,0.4,0,4,50,0.0006524859715516117
6,0.4,1,0,1229,0.030610974121397794
6,0.4,1,1,38613,0.9617425091534035
6,0.4,1,2,288,0.00717327953373683
6,0.4,1,3,4,9.962888241301153e-05
6,0.4,1,4,15,0.0003736083090487932
6,0.4,2,0,34,0.02241265655899802
6,0.4,2,1,11,0.007251153592617007
6,0.4,2,2,1472,0.970336189848385
6,0.4,3,1,5,0.0047984644913627635
6,0.4,3,3,1037,0.9952015355086372
6,0.4,4,0,74,0.07535641547861507
6,0.4,4,1,15,0.015274949083503055
6,0.4,4,2,2,0.002036659877800407
6,0.4,4,4,891,0.9073319755600815
6,0.6,0,0,40408,0.9371057513914657
6,0.6,0,1,2186,0.05069573283858998
6,0.6,0,3,459,0.010644712430426716
6,0.6,0,4,67,0.0015538033395176253
6,0.6,1,0,564,0.014507292229338683
6,0.6,1,1,38158,0.9815057746225274
6,0.6,1,2,31,0.0007973866296267716
6,0.6,1,3,79,0.002032049798081128
6,0.6,1,4,45,0.0011574967204259587
6,0.6,2,0,30496,0.9282561714303108
6,0.6,2,1,1220,0.037135117036495906
6,0.6,2,2,719,0.02188536815511521
6,0.6,2,3,360,0.010957903387818465
6,0.6,2,4,56,0.0017045627492162055
6,0.6,2,5,2,6.087724104343591e-05
6,0.6,3,0,204,0.06093189964157706
6,0.6,3,1,157,0.0468936678614098
6,0.6,3,2,1,0.0002986857825567503
6,0.6,3,3,2986,0.8918757467144564
6,0.6,4,0,59,0.05493482309124767
6,0.6,4,1,26,0.024208566108007448
6,0.6,4,3,4,0.0037243947858473
6,0.6,4,4,985,0.9171322160148976
6,0.6,5,1,5,0.004770992366412214
6,0.6,5,5,1043,0.9952290076335878
6,0.8,0,0,35985,0.8657940957101268
6,0.8,0,1,4852,0.11673844525178645
6,0.8,0,2,491,0.011813391718595866
6,0.8,0,3,235,0.005654067319490893
6,0.8,1,0,3326,0.10362662013958125
6,0.8,1,1,28108,0.8757477567298105
6,0.8,1,2,569,0.017728065802592223
6,0.8,1,3,89,0.0027729312063808575
6,0.8,1,6,4,0.0001246261216350947
6,0.8,2,0,1247,0.05457569259048536
6,0.8,2,1,467,0.020438531226749528
6,0.8,2,2,19662,0.8605190599150947
6,0.8,2,3,1472,0.06442295067617838
6,0.8,2,6,1,4.3765591491969016e-05
6,0.8,3,0,411,0.023188896411645225
6,0.8,3,1,95,0.005359963890769578
6,0.8,3,2,713,0.04022793951703904
6,0.8,3,3,16504,0.9311667795080117
6,0.8,3,6,1,5.642067253441661e-05
6,0.8,4,0,2979,0.7784165142409197
6,0.8,4,1,458,0.11967598641233342
6,0.8,4,2,216,0.05644107656127515
6,0.8,4,3,174,0.045466422785471645
6,0.8,5,0,1136,0.9427385892116182
6,0.8,5,1,38,0.03153526970954357
6,0.8,5,2,8,0.006639004149377593
6,0.8,5,3,23,0.019087136929460582
6,0.8,6,2,3,0.002840909090909091
6,0.8,6,3,9,0.008522727272727272
6,0.8,6,6,1044,0.9886363636363636
7,0.4,0,0,75454,0.9849105860853674
7,0.4,0,1,1125,0.014684767001696906
7,0.4,0,3,2,2.6106252447461166e-05
7,0.4,0,4,29,0.00037854066048818695
7,0.4,1,0,1750,0.043569187870338096
7,0.4,1,1,38396,0.9559328785540009
7,0.4,1,3,4,9.958671513220136e-05
7,0.4,1,4,16,0.00039834686052880544
7,0.4,2,0,1416,0.9408637873754153
7,0.4,2,1,86,0.05714285714285714
7,0.4,2,4,3,0.0019933554817275745
7,0.4,3,1,3,0.0029013539651837525
7,0.4,3,3,1031,0.9970986460348162
7,0.4,4,0,135,0.13432835820895522
7,0.4,4,1,60,0.05970149253731343
7,0.4,4,4,810,0.8059701492537313
7,0.6,0,0,27816,0.6441274546128196
7,0.6,0,1,651,0.015075027788069656
7,0.6,0,2,14683,0.34001018895887364
