representation,field,n_evaluable_cells,mean_same_group_fraction,median_same_group_fraction,mean_local_entropy,median_local_entropy,panel,source_table,sample_uuid,cohort_a,cohort_b,cells_a,cells_b,euclidean_centroid_distance,cosine_centroid_distance,resolution,comparison,n_common_cells,primary_clusters,comparison_clusters,adjusted_rand_index,normalized_mutual_information,resolution_numeric,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
unintegrated_pca,,,,,,,b,bridge_centroid_distance,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,1.0,2.0,418.0,452.0,2.915848016738892,0.3844079375267029,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,1.0,3.0,418.0,219.0,1.8958439826965328,0.1530443429946899,,,,,,,,,,,,,,
unintegrated_pca,,,,,,,b,bridge_centroid_distance,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,2.0,3.0,452.0,219.0,3.279789447784424,0.4871674180030823,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,11c6a06c-f0e0-45bc-b5ec-1b14445548d4,1.0,2.0,622.0,318.0,1.6471913395948283,0.2818556111473301,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,13ec931d-a536-4679-ad6c-39d7bbaa8d5d,1.0,2.0,529.0,627.0,1.8013265824353253,0.3568974491798516,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,2688f505-eb1a-4f9f-af54-e30b3da7dff3,2.0,4.0,600.0,469.0,2.2293279438715308,0.633187362169234,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,27ae3b51-85d4-49fe-bcc3-89b0cbd59e23,3.0,4.0,543.0,337.0,1.998555248698151,0.5584602418789226,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,27b03089-9abd-4025-b745-1a4d42f729a3,2.0,3.0,796.0,903.0,1.74099418400129,0.1201666087299939,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,2c6239f0-efd3-469e-86aa-554f62dfb4f8,2.0,3.0,333.0,319.0,1.9623398770153275,0.4493983418451005,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,342b5092-67e5-4a0e-a437-8b735f2a863c,2.0,4.0,404.0,240.0,1.442370841753664,0.3454905572126321,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,3672d82d-f24c-4536-b75a-0627889e1426,1.0,2.0,491.0,492.0,1.926740608141704,0.3394873472356755,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,3876bd23-e063-4b96-89ae-eec693743c86,1.0,2.0,264.0,244.0,2.031683031012949,0.4623441654618875,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,3ecf5ad3-4ae3-4152-a1d2-4c9c548c5551,2.0,4.0,797.0,402.0,1.180874935524478,0.1796518299741298,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,3f068829-713e-4b6a-a79a-754b7d9eef46,2.0,4.0,1308.0,1304.0,1.159715535793516,0.3540220185046278,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,3ff8915f-d4b6-418d-89ec-61fffb366646,2.0,4.0,652.0,514.0,1.3295198900043457,0.1620172880202011,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,46e6ff98-de92-4b09-98ae-ff683d6ed775,2.0,4.0,631.0,332.0,0.9272075816248558,0.1213470064019247,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,4752a18e-a3a0-4699-99e8-18c7fee59072,1.0,2.0,876.0,539.0,1.6228340432027275,0.1695963755858284,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,4752a18e-a3a0-4699-99e8-18c7fee59072,1.0,3.0,876.0,457.0,1.41423309773947,0.1951315502046174,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,4752a18e-a3a0-4699-99e8-18c7fee59072,2.0,3.0,539.0,457.0,1.043791860551506,0.0702352908280374,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,4a555a89-3c4e-4e35-91ed-eed175492e5d,2.0,4.0,336.0,402.0,1.5327993523557637,0.4172023116774085,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,4e63511b-e07c-4fe2-af13-d535b769bbbd,2.0,3.0,553.0,316.0,1.4846052900312778,0.2852744775885486,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,4f96324f-0403-4ba1-b110-02c96a5cba84,3.0,4.0,491.0,325.0,1.3506405391004546,0.2500306730508635,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,577bce84-8d37-4851-9fb4-53f9467699ba,2.0,4.0,527.0,276.0,2.355604298140552,0.4337196097543249,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,58491584-2df2-4f81-829b-6f930c4d8649,3.0,4.0,552.0,466.0,1.5202706440407994,0.3423685487292304,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,5a4d2669-4967-4de5-853b-13c224029d30,2.0,4.0,560.0,370.0,0.7807339836168793,0.1218828250281157,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,5e0ed28c-a75a-4ecd-a0c7-49e71264690b,2.0,4.0,232.0,223.0,1.2120297903905215,0.2184328568979847,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,2.0,339.0,362.0,1.81052559547126,0.3577336071343119,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,3.0,339.0,338.0,1.661549440684309,0.3188905460885842,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,5f31d290-7101-4ef4-9510-f3692aba34de,2.0,3.0,362.0,338.0,1.347809391136746,0.1886664475099758,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,670c5ac9-5e1c-4834-8087-2dd39d87d04b,2.0,4.0,181.0,125.0,1.4273472388991568,0.2330139643824913,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,6779676d-7bac-4431-bbb0-0b7c773b55da,2.0,4.0,444.0,337.0,1.129970497441811,0.0592882412204106,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,69b3abaf-0498-44c8-867f-086ccc8dce13,2.0,4.0,200.0,254.0,1.503604600671424,0.2757404997008573,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,77712740-d29f-4bb0-9b90-2aa3db72f3ba,1.0,2.0,454.0,257.0,2.243401008109623,0.988501899074011,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,7b7167c1-bc81-4fa8-b322-18bab1ea6269,2.0,4.0,920.0,558.0,0.9411402988709686,0.1034179405529108,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,7eff9450-2afd-4265-a1f4-4c53580b47bc,2.0,4.0,421.0,340.0,1.51814862215318,0.3815520223316058,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,886dc81a-06f7-47dc-bdf6-da1524e86d7d,1.0,2.0,379.0,473.0,1.6773097487278534,0.1488825268242188,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,8a1f4cc3-6e34-4cd2-aba9-0f4d266e7dd9,2.0,4.0,75.0,40.0,2.6760234885930685,0.1569270483506689,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,2.0,549.0,558.0,1.2946690029021948,0.112858031369976,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,3.0,549.0,564.0,0.7745439677551722,0.0738448292891338,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,9245fdfa-904c-4421-ba87-60da990f40ed,2.0,3.0,558.0,564.0,1.1699295625598225,0.0890013048864886,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,9258d552-bade-4414-ad62-96fea54df354,2.0,4.0,419.0,536.0,2.5541477303350097,0.3155363189829989,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,92d39096-b1d1-4746-9812-474db1f5f049,2.0,4.0,417.0,361.0,1.2573147327553449,0.1923281872248288,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,98e974a9-c08e-4066-8930-d627b18f1a89,1.0,2.0,453.0,465.0,1.703676244909323,0.3392003100277386,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,9e51b938-f3a9-4d97-8802-b820ed2a6b96,2.0,4.0,395.0,613.0,1.7840040693511343,0.2101612823298922,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,1.0,2.0,411.0,400.0,1.7707848744782917,0.4063534937746738,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,1.0,3.0,411.0,432.0,1.3488278758711778,0.3855018851802619,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,2.0,3.0,400.0,432.0,1.3387592419664405,0.208334968073364,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,b4cbfe6a-acdc-48e8-a9f1-6f0ae959301f,2.0,4.0,37.0,42.0,2.036762774815341,0.0972192869332745,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,b7c8655d-8d5e-4865-bc97-3c606cdaf5e9,1.0,2.0,429.0,589.0,1.6417284148169349,0.2139254929022647,,,,,,,,,,,,,,
harmony_pca,,,,,,,b,bridge_centroid_distance,bffca8a1-fc84-4f20-acae-3cf0d6313002,1.0,2.0,483.0,399.0,1.592579420934938,0.579037531896655,,,,,,,,,,,,,,
