contrast,regulator,replicate,sampled_targets,slope,positive,same_direction_as_full
gse174188_primary,STAT2,84,12,1.9021726421439449,True,True
gse174188_primary,STAT2,85,12,1.7911486564090209,True,True
gse174188_primary,STAT2,86,12,1.9242467717674805,True,True
gse174188_primary,STAT2,87,12,2.1491193635962027,True,True
gse174188_primary,STAT2,88,12,1.5321262885335165,True,True
gse174188_primary,STAT2,89,12,2.432684145075468,True,True
gse174188_primary,STAT2,90,12,2.278818013138716,True,True
gse174188_primary,STAT2,91,12,2.5442699065745247,True,True
gse174188_primary,STAT2,92,12,1.905202701888303,True,True
gse174188_primary,STAT2,93,12,1.9346565721533702,True,True
gse174188_primary,STAT2,94,12,1.7247421293686631,True,True
gse174188_primary,STAT2,95,12,2.271979689416982,True,True
gse174188_primary,STAT2,96,12,2.478322655537533,True,True
gse174188_primary,STAT2,97,12,2.4510582733632096,True,True
gse174188_primary,STAT2,98,12,2.432684145075468,True,True
gse174188_primary,STAT2,99,12,2.478322655537533,True,True
gse174188_primary,STAT2,100,12,2.432684145075468,True,True
gse174188_primary,IRF7,1,4,0.0662827931518453,True,True
gse174188_primary,IRF7,2,4,0.6230912444590498,True,True
gse174188_primary,IRF7,3,4,0.0662827931518453,True,True
gse174188_primary,IRF7,4,4,0.6230912444590498,True,True
gse174188_primary,IRF7,5,4,2.094541089109236,True,True
gse174188_primary,IRF7,6,4,2.2232665908626776,True,True
gse174188_primary,IRF7,7,4,0.0662827931518453,True,True
gse174188_primary,IRF7,8,4,0.6230912444590498,True,True
gse174188_primary,IRF7,9,4,1.0460891298222137,True,True
gse174188_primary,IRF7,10,4,2.2232665908626776,True,True
gse174188_primary,IRF7,11,4,0.0662827931518453,True,True
gse174188_primary,IRF7,12,4,2.094541089109236,True,True
gse174188_primary,IRF7,13,4,1.0460891298222137,True,True
gse174188_primary,IRF7,14,4,2.094541089109236,True,True
gse174188_primary,IRF7,15,4,2.2232665908626776,True,True
gse174188_primary,IRF7,16,4,0.0662827931518453,True,True
gse174188_primary,IRF7,17,4,2.2232665908626776,True,True
gse174188_primary,IRF7,18,4,0.6230912444590498,True,True
gse174188_primary,IRF7,19,4,0.0662827931518453,True,True
gse174188_primary,IRF7,20,4,2.2232665908626776,True,True
gse174188_primary,IRF7,21,4,2.2232665908626776,True,True
gse174188_primary,IRF7,22,4,2.094541089109236,True,True
