representation,sample_uuid,cohort_a,cohort_b,cells_a,cells_b,euclidean_centroid_distance,cosine_centroid_distance
unintegrated_pca,f6f39d84-6fb4-4519-9efa-f9ca4651e3c9,2.0,3.0,605,386,4.938714504241943,1.0870309621095657
unintegrated_pca,fc11ebf7-2767-4d92-96f9-a57af8f1be30,2.0,4.0,1505,1126,4.369935512542725,0.16339153051376343
unintegrated_pca,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,1.0,2.0,418,452,2.9158480167388916,0.3844079375267029
unintegrated_pca,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,1.0,3.0,418,219,1.8958439826965332,0.15304434299468994
unintegrated_pca,fd256bdb-e6dd-47ef-a4e4-ac0a7d2dcd1e,2.0,3.0,452,219,3.279789447784424,0.4871674180030823
harmony_pca,11c6a06c-f0e0-45bc-b5ec-1b14445548d4,1.0,2.0,622,318,1.6471913395948283,0.28185561114733015
harmony_pca,13ec931d-a536-4679-ad6c-39d7bbaa8d5d,1.0,2.0,529,627,1.8013265824353253,0.35689744917985167
harmony_pca,2688f505-eb1a-4f9f-af54-e30b3da7dff3,2.0,4.0,600,469,2.2293279438715308,0.633187362169234
harmony_pca,27ae3b51-85d4-49fe-bcc3-89b0cbd59e23,3.0,4.0,543,337,1.998555248698151,0.5584602418789226
harmony_pca,27b03089-9abd-4025-b745-1a4d42f729a3,2.0,3.0,796,903,1.7409941840012901,0.12016660872999396
harmony_pca,2c6239f0-efd3-469e-86aa-554f62dfb4f8,2.0,3.0,333,319,1.9623398770153275,0.4493983418451005
harmony_pca,342b5092-67e5-4a0e-a437-8b735f2a863c,2.0,4.0,404,240,1.442370841753664,0.3454905572126321
harmony_pca,3672d82d-f24c-4536-b75a-0627889e1426,1.0,2.0,491,492,1.9267406081417038,0.33948734723567553
harmony_pca,3876bd23-e063-4b96-89ae-eec693743c86,1.0,2.0,264,244,2.031683031012949,0.4623441654618875
harmony_pca,3ecf5ad3-4ae3-4152-a1d2-4c9c548c5551,2.0,4.0,797,402,1.180874935524478,0.17965182997412987
harmony_pca,3f068829-713e-4b6a-a79a-754b7d9eef46,2.0,4.0,1308,1304,1.159715535793516,0.3540220185046278
harmony_pca,3ff8915f-d4b6-418d-89ec-61fffb366646,2.0,4.0,652,514,1.3295198900043457,0.1620172880202011
harmony_pca,46e6ff98-de92-4b09-98ae-ff683d6ed775,2.0,4.0,631,332,0.9272075816248558,0.12134700640192475
harmony_pca,4752a18e-a3a0-4699-99e8-18c7fee59072,1.0,2.0,876,539,1.6228340432027275,0.1695963755858284
harmony_pca,4752a18e-a3a0-4699-99e8-18c7fee59072,1.0,3.0,876,457,1.4142330977394701,0.19513155020461748
harmony_pca,4752a18e-a3a0-4699-99e8-18c7fee59072,2.0,3.0,539,457,1.043791860551506,0.07023529082803748
harmony_pca,4a555a89-3c4e-4e35-91ed-eed175492e5d,2.0,4.0,336,402,1.5327993523557635,0.4172023116774085
harmony_pca,4e63511b-e07c-4fe2-af13-d535b769bbbd,2.0,3.0,553,316,1.4846052900312778,0.2852744775885486
harmony_pca,4f96324f-0403-4ba1-b110-02c96a5cba84,3.0,4.0,491,325,1.3506405391004546,0.25003067305086357
harmony_pca,577bce84-8d37-4851-9fb4-53f9467699ba,2.0,4.0,527,276,2.355604298140552,0.4337196097543249
harmony_pca,58491584-2df2-4f81-829b-6f930c4d8649,3.0,4.0,552,466,1.5202706440407994,0.3423685487292304
harmony_pca,5a4d2669-4967-4de5-853b-13c224029d30,2.0,4.0,560,370,0.7807339836168793,0.12188282502811576
harmony_pca,5e0ed28c-a75a-4ecd-a0c7-49e71264690b,2.0,4.0,232,223,1.2120297903905215,0.21843285689798475
harmony_pca,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,2.0,339,362,1.8105255954712596,0.3577336071343119
harmony_pca,5f31d290-7101-4ef4-9510-f3692aba34de,1.0,3.0,339,338,1.661549440684309,0.31889054608858425
harmony_pca,5f31d290-7101-4ef4-9510-f3692aba34de,2.0,3.0,362,338,1.3478093911367461,0.18866644750997585
harmony_pca,670c5ac9-5e1c-4834-8087-2dd39d87d04b,2.0,4.0,181,125,1.4273472388991568,0.23301396438249133
harmony_pca,6779676d-7bac-4431-bbb0-0b7c773b55da,2.0,4.0,444,337,1.129970497441811,0.059288241220410653
harmony_pca,69b3abaf-0498-44c8-867f-086ccc8dce13,2.0,4.0,200,254,1.503604600671424,0.27574049970085734
harmony_pca,77712740-d29f-4bb0-9b90-2aa3db72f3ba,1.0,2.0,454,257,2.243401008109623,0.988501899074011
harmony_pca,7b7167c1-bc81-4fa8-b322-18bab1ea6269,2.0,4.0,920,558,0.9411402988709686,0.10341794055291087
harmony_pca,7eff9450-2afd-4265-a1f4-4c53580b47bc,2.0,4.0,421,340,1.51814862215318,0.3815520223316058
harmony_pca,886dc81a-06f7-47dc-bdf6-da1524e86d7d,1.0,2.0,379,473,1.6773097487278534,0.14888252682421887
harmony_pca,8a1f4cc3-6e34-4cd2-aba9-0f4d266e7dd9,2.0,4.0,75,40,2.6760234885930685,0.15692704835066895
harmony_pca,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,2.0,549,558,1.2946690029021948,0.11285803136997608
harmony_pca,9245fdfa-904c-4421-ba87-60da990f40ed,1.0,3.0,549,564,0.7745439677551722,0.07384482928913383
harmony_pca,9245fdfa-904c-4421-ba87-60da990f40ed,2.0,3.0,558,564,1.1699295625598225,0.08900130488648861
harmony_pca,9258d552-bade-4414-ad62-96fea54df354,2.0,4.0,419,536,2.5541477303350097,0.31553631898299894
harmony_pca,92d39096-b1d1-4746-9812-474db1f5f049,2.0,4.0,417,361,1.2573147327553449,0.1923281872248288
harmony_pca,98e974a9-c08e-4066-8930-d627b18f1a89,1.0,2.0,453,465,1.703676244909323,0.33920031002773865
harmony_pca,9e51b938-f3a9-4d97-8802-b820ed2a6b96,2.0,4.0,395,613,1.7840040693511343,0.21016128232989228
harmony_pca,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,1.0,2.0,411,400,1.7707848744782917,0.4063534937746738
harmony_pca,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,1.0,3.0,411,432,1.3488278758711778,0.38550188518026196
harmony_pca,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,2.0,3.0,400,432,1.3387592419664405,0.20833496807336405
harmony_pca,b4cbfe6a-acdc-48e8-a9f1-6f0ae959301f,2.0,4.0,37,42,2.036762774815341,0.09721928693327453
harmony_pca,b7c8655d-8d5e-4865-bc97-3c606cdaf5e9,1.0,2.0,429,589,1.6417284148169347,0.2139254929022647
harmony_pca,bffca8a1-fc84-4f20-acae-3cf0d6313002,1.0,2.0,483,399,1.592579420934938,0.579037531896655
harmony_pca,bffca8a1-fc84-4f20-acae-3cf0d6313002,1.0,3.0,483,496,1.247197906929331,0.24629311093680661
harmony_pca,bffca8a1-fc84-4f20-acae-3cf0d6313002,2.0,3.0,399,496,1.474827743500568,0.34640511949799957
harmony_pca,c21e0e54-2ea8-4fc7-9438-5d2d8d63899c,2.0,4.0,105,55,2.775247497278912,0.06093840120837257
harmony_pca,ccccc606-2c86-4d7a-bb4a-8354017807a6,2.0,4.0,672,425,1.3041648272196842,0.23540232529075533
harmony_pca,cf0f9104-fd3e-4cdd-ad08-69035510a32d,1.0,2.0,339,161,1.7407238146983441,0.42248335901903167
harmony_pca,d0660ae1-7bd5-4f68-9131-434571c29e96,2.0,3.0,738,579,1.434181761202164,0.26811051310612366
harmony_pca,d0bbdc84-7f92-4114-9759-59d158034879,2.0,4.0,204,212,1.1565647519666271,0.11418686903481723
harmony_pca,d65c2394-3eed-48b8-8a26-5f214003f312,1.0,2.0,355,210,1.9707760987319458,0.3439085079536711
harmony_pca,d65c2394-3eed-48b8-8a26-5f214003f312,1.0,3.0,355,229,1.3967565525407786,0.18611705915791277
