resolution,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
0.6,1,plasmablast,48676,6,0.2304694652557373,0.5347193688881584
0.6,1,interferon,48676,6,0.17867502570152283,0.4187690032048648
0.6,1,T_NK,48676,4,0.2327079474925995,0.43382775905990634
0.6,1,myeloid,48676,5,0.5176471471786499,0.798627660448681
0.6,1,platelet,48676,4,0.11162728816270828,0.22298463308406608
0.6,1,erythroid,48676,3,0.12194755673408508,0.15999671295915852
0.6,2,B_identity,41032,7,2.0497865676879883,0.9999025151101579
0.6,2,naive,41032,4,0.768912136554718,0.8558442191460324
0.6,2,memory,41032,5,0.26966869831085205,0.5666796646519789
0.6,2,atypical,41032,5,0.12172941118478775,0.29340514720218364
0.6,2,plasmablast,41032,6,0.2192954123020172,0.5263940339247417
0.6,2,interferon,41032,6,0.3030700385570526,0.5657779294209397
0.6,2,T_NK,41032,4,0.2211928516626358,0.39225482550204716
0.6,2,myeloid,41032,5,0.5443904995918274,0.7871173718073698
0.6,2,platelet,41032,4,0.11530595272779465,0.2137356209787483
0.6,2,erythroid,41032,3,0.11665207892656326,0.14856697211932152
0.6,3,B_identity,4161,7,1.8906692266464233,1.0
0.6,3,naive,4161,4,0.6015101671218872,0.692141312184571
0.6,3,memory,4161,5,0.31065449118614197,0.5763037731314588
0.6,3,atypical,4161,5,0.09532257169485092,0.2304734438836818
0.6,3,plasmablast,4161,6,0.16405752301216125,0.4047104061523672
0.6,3,interferon,4161,6,0.1522047072649002,0.36481614996395095
0.6,3,T_NK,4161,4,0.19224286079406738,0.3410237923576063
0.6,3,myeloid,4161,5,0.5131500959396362,0.7510213890891613
0.6,3,platelet,4161,4,0.6549240946769714,0.8341744772891132
0.6,3,erythroid,4161,3,0.10026632249355316,0.12424897861091083
0.6,4,B_identity,1366,7,1.856571912765503,1.0
0.6,4,naive,1366,4,0.6126040816307068,0.7071742313323572
0.6,4,memory,1366,5,0.2967776358127594,0.5592972181551976
0.6,4,atypical,1366,5,0.0900774896144867,0.2130307467057101
0.6,4,plasmablast,1366,6,0.1855568140745163,0.4333821376281113
0.6,4,interferon,1366,6,0.13776203989982605,0.3396778916544656
0.6,4,T_NK,1366,4,0.21958646178245544,0.3762811127379209
0.6,4,myeloid,1366,5,0.565521776676178,0.7862371888726208
0.6,4,platelet,1366,4,0.12145253270864487,0.22035139092240116
0.6,4,erythroid,1366,3,0.11822937428951263,0.14568081991215226
0.6,5,B_identity,1307,7,1.111138105392456,0.9977046671767407
0.6,5,naive,1307,4,0.10704158246517181,0.2846212700841622
0.6,5,memory,1307,5,0.5861954092979431,0.9273144605967866
0.6,5,atypical,1307,5,0.09497208893299103,0.37796480489671
0.6,5,plasmablast,1307,6,2.2759897708892822,0.991583779648049
0.6,5,interferon,1307,6,0.5607680678367615,0.8408569242540168
0.6,5,T_NK,1307,4,0.41333410143852234,0.7444529456771232
0.6,5,myeloid,1307,5,0.7991666197776794,0.9556235654169855
0.6,5,platelet,1307,4,0.13072246313095093,0.3435348125478194
0.6,5,erythroid,1307,3,0.28992846608161926,0.43305279265493496
0.8,0,B_identity,51962,7,1.8358721733093262,0.9997690620068511
0.8,0,naive,51962,4,0.7531857490539551,0.7973326661791309
0.8,0,memory,51962,5,0.21792760491371155,0.4666487048227551
0.8,0,atypical,51962,5,0.09891309589147568,0.22358646703360147
0.8,0,plasmablast,51962,6,0.12629015743732452,0.3154420538085524
0.8,0,interferon,51962,6,0.09567748010158539,0.2506254570647781
0.8,0,T_NK,51962,4,0.2047089785337448,0.34382818213309724
0.8,0,myeloid,51962,5,0.5095839500427246,0.7374812362880566
0.8,0,platelet,51962,4,0.09119190275669098,0.1659289480774412
0.8,0,erythroid,51962,3,0.11967293918132782,0.14029483083792002
0.8,1,B_identity,40055,7,2.0520217418670654,0.9998751716389964
0.8,1,naive,40055,4,0.7697007656097412,0.8581450505554862
0.8,1,memory,40055,5,0.266262024641037,0.5614530021220822
0.8,1,atypical,40055,5,0.1210312470793724,0.29134939458244913
0.8,1,plasmablast,40055,6,0.22132255136966705,0.5299962551491699
0.8,1,interferon,40055,6,0.30765822529792786,0.5702908500811384
0.8,1,T_NK,40055,4,0.21856193244457245,0.3886406191486706
0.8,1,myeloid,40055,5,0.5426895618438721,0.7844713518911497
0.8,1,platelet,40055,4,0.11228515952825546,0.20868805392585196
0.8,1,erythroid,40055,3,0.11655018478631973,0.1490200973661216
0.8,2,B_identity,28606,7,1.8861713409423828,0.9996504229881843
0.8,2,naive,28606,4,0.1468680202960968,0.2769698664615815
0.8,2,memory,28606,5,0.5769196152687073,0.8265748444382297
0.8,2,atypical,28606,5,0.19932767748832703,0.40295742151996083
0.8,2,plasmablast,28606,6,0.21730467677116394,0.5124099839194575
0.8,2,interferon,28606,6,0.1684119999408722,0.4084457806054674
0.8,2,T_NK,28606,4,0.23890666663646698,0.43742571488498916
0.8,2,myeloid,28606,5,0.5193195939064026,0.7935747745228274
0.8,2,platelet,28606,4,0.11955485492944717,0.2370481717122282
0.8,2,erythroid,28606,3,0.12251701205968857,0.15762427462770048
0.8,3,B_identity,22160,7,1.7492972612380981,0.9995487364620939
0.8,3,naive,22160,4,0.13899439573287964,0.2799187725631769
0.8,3,memory,22160,5,0.5800639986991882,0.8306407942238268
0.8,3,atypical,22160,5,0.07095035165548325,0.1984205776173285
0.8,3,plasmablast,22160,6,0.243999183177948,0.5580776173285199
0.8,3,interferon,22160,6,0.18785764276981354,0.42545126353790613
0.8,3,T_NK,22160,4,0.222986102104187,0.4236462093862816
0.8,3,myeloid,22160,5,0.5158775448799133,0.80221119133574
0.8,3,platelet,22160,4,0.10870586335659027,0.21173285198555958
0.8,3,erythroid,22160,3,0.12066993862390518,0.1612364620938628
0.8,4,B_identity,4759,7,1.8944436311721802,1.0
0.8,4,naive,4759,4,0.6518501043319702,0.7392309308678294
0.8,4,memory,4759,5,0.27338936924934387,0.5372977516284934
0.8,4,atypical,4759,5,0.09594856202602386,0.23051061147299853
0.8,4,plasmablast,4759,6,0.15834340453147888,0.38978777054002944
0.8,4,interferon,4759,6,0.1445346474647522,0.34860264761504517
0.8,4,T_NK,4759,4,0.19050486385822296,0.3351544442109687
0.8,4,myeloid,4759,5,0.5157937407493591,0.7467955452826224
0.8,4,platelet,4759,4,0.6138285398483276,0.7942845135532675
0.8,4,erythroid,4759,3,0.10211088508367538,0.1243958814877075
0.8,5,B_identity,1541,7,1.8580999374389648,1.0
0.8,5,naive,1541,4,0.6093373894691467,0.7021414665801428
0.8,5,memory,1541,5,0.29637911915779114,0.5567813108371188
0.8,5,atypical,1541,5,0.09057046473026276,0.21609344581440623
0.8,5,plasmablast,1541,6,0.18176020681858063,0.4289422452952628
0.8,5,interferon,1541,6,0.13840921223163605,0.3465282284231019
0.8,5,T_NK,1541,4,0.2196720391511917,0.38092147955872807
0.8,5,myeloid,1541,5,0.5729320645332336,0.7890979883192732
0.8,5,platelet,1541,4,0.11783069372177124,0.21609344581440623
0.8,5,erythroid,1541,3,0.11877398937940598,0.14600908500973395
0.8,6,B_identity,1319,7,1.1190522909164429,0.9977255496588324
0.8,6,naive,1319,4,0.10899748653173447,0.287338893100834
0.8,6,memory,1319,5,0.5860040783882141,0.9279757391963609
0.8,6,atypical,1319,5,0.09622256457805634,0.38059135708870356
0.8,6,plasmablast,1319,6,2.2566375732421875,0.9909021986353298
0.8,6,interferon,1319,6,0.5557793378829956,0.8347232752084913
0.8,6,T_NK,1319,4,0.41437771916389465,0.7460197119029568
0.8,6,myeloid,1319,5,0.7971817851066589,0.9552691432903715
0.8,6,platelet,1319,4,0.12978191673755646,0.3411675511751327
0.8,6,erythroid,1319,3,0.2871311604976654,0.4291129643669447
1.0,0,B_identity,45710,7,1.8428047895431519,0.9998249835922117
1.0,0,naive,45710,4,0.760947048664093,0.8015751476700941
1.0,0,memory,45710,5,0.21865127980709076,0.4688689564646686
1.0,0,atypical,45710,5,0.09896430373191833,0.22347407569459637
1.0,0,plasmablast,45710,6,0.12479467689990997,0.3127761977685408
1.0,0,interferon,45710,6,0.09555298089981079,0.25068912710566615
1.0,0,T_NK,45710,4,0.20017202198505402,0.33810982279588714
1.0,0,myeloid,45710,5,0.5038626194000244,0.7339750601618902
1.0,0,platelet,45710,4,0.0883973017334938,0.16195580835703347
1.0,0,erythroid,45710,3,0.11769722402095795,0.13865674907022532
1.0,1,B_identity,36188,7,2.062685251235962,0.9998618326517077
1.0,1,naive,36188,4,0.7766387462615967,0.8632972255996463
1.0,1,memory,36188,5,0.2663924992084503,0.563695147562728
1.0,1,atypical,36188,5,0.12249744683504105,0.29501492207361557
1.0,1,plasmablast,36188,6,0.22520878911018372,0.5374157179175417
1.0,1,interferon,36188,6,0.31876546144485474,0.5822648391732066
1.0,1,T_NK,36188,4,0.21895495057106018,0.39040565933458604
1.0,1,myeloid,36188,5,0.5416663289070129,0.7850945064662319
1.0,1,platelet,36188,4,0.11053526401519775,0.20675361998452527
1.0,1,erythroid,36188,3,0.11685915291309357,0.1500497402453852
1.0,2,B_identity,24864,7,1.7352033853530884,0.9995173745173745
1.0,2,naive,24864,4,0.13455748558044434,0.26922458172458175
1.0,2,memory,24864,5,0.5703992247581482,0.8219916344916345
1.0,2,atypical,24864,5,0.06947436183691025,0.19309041184041184
1.0,2,plasmablast,24864,6,0.24699589610099792,0.5611727799227799
1.0,2,interferon,24864,6,0.17392204701900482,0.40363577863577865
1.0,2,T_NK,24864,4,0.21844011545181274,0.41260456885456886
1.0,2,myeloid,24864,5,0.5102500319480896,0.7934765122265123
1.0,2,platelet,24864,4,0.10089070349931717,0.20045045045045046
1.0,2,erythroid,24864,3,0.1191461905837059,0.15850225225225226
1.0,3,B_identity,24521,7,1.928118109703064,0.9997553117735818
1.0,3,naive,24521,4,0.15216535329818726,0.28669303861995843
1.0,3,memory,24521,5,0.5923480987548828,0.841645936136373
1.0,3,atypical,24521,5,0.22226083278656006,0.4439460054647037
1.0,3,plasmablast,24521,6,0.21032220125198364,0.5039761836792953
1.0,3,interferon,24521,6,0.1819426566362381,0.4328126911626769
