var_name,gene_id,feature_name,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg,hvg_primary,hvg_isg_excluded,hvg_union
ENSG00000162585,ENSG00000162585,FAAP20,False,19,0.5896930993649243,1.7368040216464116,-0.2212703,False,False,False,False,False,False,False,False,False,False
ENSG00000157933,ENSG00000157933,SKI,False,41,0.06750250704479815,1.7100118824769204,0.07942554,False,False,False,False,False,False,False,False,False,False
ENSG00000116151,ENSG00000116151,MORN1,True,48,0.01768029209246848,1.6505369060464619,0.19817553,False,False,False,False,False,False,False,False,False,False
ENSG00000157916,ENSG00000157916,RER1,False,15,0.3715582461176874,1.7055141825827838,-0.4869217,False,False,False,False,False,False,False,False,False,False
ENSG00000157911,ENSG00000157911,PEX10,False,37,0.03735130329744152,1.698675607475372,0.046720736,False,False,False,False,False,False,False,False,False,False
ENSG00000149527,ENSG00000149527,PLCH2,True,57,0.02355162101229249,1.6915894721969431,0.4120598,False,False,False,False,False,False,False,True,True,True
ENSG00000157881,ENSG00000157881,PANK4,True,52,0.02842465992973514,1.7013919512398126,0.15448827,False,False,False,False,False,False,False,False,False,False
ENSG00000272449,ENSG00000272449,ENSG00000272449,True,62,0.15591758768982344,1.7616005361710931,0.30490872,False,False,False,False,False,False,False,True,True,True
ENSG00000157873,ENSG00000157873,TNFRSF14,False,25,0.5610377655668596,1.7495337683820653,-0.073750734,False,False,False,False,False,False,False,False,False,False
ENSG00000228037,ENSG00000228037,ENSG00000228037,False,13,0.01894768893757504,1.5990043518278128,-0.41285935,False,False,False,False,False,False,False,False,False,False
ENSG00000157870,ENSG00000157870,PRXL2B,False,36,0.019322473129757125,1.6311641593586879,-0.012741495,False,False,False,False,False,False,False,False,False,False
ENSG00000142606,ENSG00000142606,MMEL1,False,16,0.0017764495851690528,0.6366390802184995,-0.0899929,False,False,False,False,False,False,False,False,False,False
ENSG00000215912,ENSG00000215912,TTC34,True,54,0.010304588306377906,1.5315463560564169,0.20490597,False,False,False,False,False,False,False,False,False,False
ENSG00000162591,ENSG00000162591,MEGF6,True,67,0.016186145845709515,1.6932978826476222,0.46891642,False,False,False,False,False,False,False,True,True,True
ENSG00000238260,ENSG00000238260,ENSG00000238260,False,15,0.0013504131214876931,0.5739036898604386,0.0087187905,False,False,False,False,False,False,False,False,False,False
ENSG00000158109,ENSG00000158109,TPRG1L,False,36,0.04612875157065987,1.7047803176232164,0.05898774,False,False,False,False,False,False,False,False,False,False
ENSG00000116213,ENSG00000116213,WRAP73,True,52,0.08295452290790922,1.7316851172035237,0.1736095,False,False,False,False,False,False,False,False,False,False
ENSG00000078900,ENSG00000078900,TP73,False,11,0.001771804392901611,0.6530035747584383,-0.96799576,False,False,False,False,False,False,False,False,False,False
ENSG00000227372,ENSG00000227372,GFOD3P,True,51,0.03270968744659873,1.6650293517863217,0.12152694,False,False,False,False,False,False,False,False,False,False
ENSG00000235169,ENSG00000235169,SMIM1,True,61,0.03470819108564379,1.7657734535474978,0.32943097,False,False,False,False,False,False,False,True,True,True
ENSG00000130764,ENSG00000130764,LRRC47,True,43,0.11171568418683445,1.717524868854502,0.1154303,False,False,False,False,False,False,False,False,False,False
ENSG00000116198,ENSG00000116198,CEP104,True,59,0.1097231126114377,1.753005702733308,0.25937966,False,False,False,False,False,False,False,True,True,True
ENSG00000169598,ENSG00000169598,DFFB,False,36,0.02280863155538394,1.6398344172552628,-0.0864935,False,False,False,False,False,False,False,False,False,False
ENSG00000198912,ENSG00000198912,C1orf174,True,53,0.11461558067404001,1.7358692087291403,0.17467049,False,False,False,False,False,False,False,False,False,False
ENSG00000236423,ENSG00000236423,LINC01134,False,19,0.0022242780391864185,0.7514716393150959,-0.41748014,False,False,False,False,False,False,False,False,False,False
ENSG00000131697,ENSG00000131697,NPHP4,False,37,0.005655227412092684,1.3829675356874225,-0.0026260398,False,False,False,False,False,False,False,False,False,False
ENSG00000069424,ENSG00000069424,KCNAB2,True,48,0.1209543117777387,1.7234958066213202,0.12815677,False,False,False,False,False,False,False,False,False,False
ENSG00000116254,ENSG00000116254,CHD5,False,6,0.0006488772763917309,0.3099889458107526,-0.086453244,False,False,False,False,False,False,False,False,False,False
ENSG00000116251,ENSG00000116251,RPL22,False,0,3.18047964702688,1.8006393215534686,-0.8291353,False,True,False,False,False,False,False,False,False,False
ENSG00000158286,ENSG00000158286,RNF207,False,12,0.0021681771869100338,0.6834259231279437,-0.6599658,False,False,False,False,False,False,False,False,False,False
ENSG00000116237,ENSG00000116237,ICMT,False,23,0.03559056764344246,1.64952821610514,-0.181865,False,False,False,False,False,False,False,False,False,False
ENSG00000097021,ENSG00000097021,ACOT7,False,27,0.011320347659495172,1.4939160855972498,-0.60440874,False,False,False,False,False,False,False,False,False,False
ENSG00000271746,ENSG00000271746,ENSG00000271746,True,56,0.015368514450789683,1.6599957422141187,0.20073879,False,False,False,False,False,False,False,False,False,False
ENSG00000069812,ENSG00000069812,HES2,False,22,0.003081440495899498,0.7646527321728812,-0.084783435,False,False,False,False,False,False,False,False,False,False
ENSG00000187017,ENSG00000187017,ESPN,False,5,0.000641682958694381,0.2837727252084995,-0.22431418,False,False,False,False,False,False,False,False,False,False
