resolution,cluster,gene,n_cells,mean_log_normalized_expression,fraction_detected
0.4,4,LYZ,1251,0.7501474022865295,0.3764988009592326
0.4,4,LST1,1251,0.40341001749038696,0.21262989608313348
0.4,4,TYROBP,1251,0.4278488755226135,0.22382094324540366
0.4,4,FCER1G,1251,0.24857793748378754,0.13269384492406075
0.4,4,S100A8,1251,1.0405564308166504,0.4924060751398881
0.4,4,PPBP,1251,0.19188138842582703,0.09672262190247802
0.4,4,PF4,1251,0.1345672905445099,0.07114308553157474
0.4,4,GNG11,1251,0.09995860606431961,0.05435651478816946
0.4,4,RGS18,1251,0.050711050629615784,0.025579536370903277
0.4,4,HBA1,1251,0.038700126111507416,0.019984012789768184
0.4,4,HBA2,1251,0.1276342272758484,0.06474820143884892
0.4,4,HBB,1251,0.20400956273078918,0.09672262190247802
0.6,0,CD79A,53860,2.0767712593078613,0.7901782398811734
0.6,0,CD79B,53860,1.5710049867630005,0.6510025993316004
0.6,0,MS4A1,53860,1.5673155784606934,0.6542888971407352
0.6,0,CD19,53860,0.26299336552619934,0.13451541032305978
0.6,0,CD22,53860,0.5537562370300293,0.27291125139249905
0.6,0,CD37,53860,2.4863827228546143,0.8705532862978091
0.6,0,CD74,53860,4.324682712554932,0.9981247679168214
0.6,0,TCL1A,53860,1.2258706092834473,0.5229669513553658
0.6,0,IL4R,53860,0.6746959686279297,0.31730412179725215
0.6,0,FCER2,53860,0.7049689292907715,0.33746750835499445
0.6,0,CCR7,53860,0.3539288341999054,0.17677311548458968
0.6,0,CD27,53860,0.02691912092268467,0.01461195692536205
0.6,0,AIM2,53860,0.012622833251953125,0.006869662086891942
0.6,0,GPR183,53860,0.1759616583585739,0.08754177497215002
0.6,0,TNFRSF13B,53860,0.019706889986991882,0.010545859636093577
0.6,0,BANK1,53860,0.8584456443786621,0.40367619754920164
0.6,0,FCRL3,53860,0.13406029343605042,0.06812105458596361
0.6,0,FCRL5,53860,0.17496375739574432,0.08735610842926105
