cluster,gene,n_cells,mean_log_normalized_expression,fraction_detected
1,IL4R,50217,0.08807443827390671,0.05414501065376267
1,FCER2,50217,0.19089388847351074,0.11500089611087878
1,CCR7,50217,0.16100357472896576,0.0986120238166358
1,CD27,50217,0.29360130429267883,0.1804169902622618
1,AIM2,50217,0.23844781517982483,0.14867475157815083
1,GPR183,50217,0.8651627898216248,0.4502061055021208
1,TNFRSF13B,50217,0.35808730125427246,0.2180735607463608
1,BANK1,50217,1.1620484590530396,0.5929067845550312
1,FCRL3,50217,0.147795170545578,0.08919290280184002
1,FCRL5,50217,0.2563052773475647,0.14242188900173247
1,ITGAX,50217,0.04125145822763443,0.027640042216779178
1,TBX21,50217,0.024258971214294434,0.016169822968317503
1,ZEB2,50217,0.2516520619392395,0.1514626520899297
1,MZB1,50217,0.21787989139556885,0.13551187844753768
1,JCHAIN,50217,0.9184610843658447,0.39996415556484854
1,XBP1,50217,0.14216578006744385,0.09018858155604675
1,SDC1,50217,9.16524077183567e-05,5.974072525240457e-05
1,TNFRSF17,50217,0.03573888912796974,0.023398450723858454
1,DERL3,50217,0.06638939678668976,0.041858334826851466
1,IFI6,50217,0.24586401879787445,0.14369635780711712
1,IFIT1,50217,0.018817273899912834,0.011987972200649183
1,IFIT3,50217,0.05237875133752823,0.03170241153394269
1,ISG15,50217,0.4302119314670563,0.2367524941752793
1,MX1,50217,0.20739023387432098,0.12459923930143178
1,OAS1,50217,0.12078248709440231,0.07680665909950814
1,CD3D,50217,0.1488053798675537,0.09508732102674393
1,CD3E,50217,0.09075576812028885,0.061194416233546406
1,NKG7,50217,0.3249901533126831,0.19772188701037496
1,GNLY,50217,0.3643064796924591,0.22062249835713005
1,LYZ,50217,0.6811590790748596,0.3846107891749806
1,LST1,50217,0.33018916845321655,0.20021108389589182
1,TYROBP,50217,0.37792298197746277,0.22948403926957006
1,FCER1G,50217,0.24207863211631775,0.14913276380508592
1,S100A8,50217,0.9575431942939758,0.5060238564629508
1,PPBP,50217,0.18184427917003632,0.10482505924288588
1,PF4,50217,0.12835650146007538,0.07487504231634705
1,GNG11,50217,0.12047217786312103,0.07186809247864269
1,RGS18,50217,0.0527326725423336,0.030766473504988352
1,HBA1,50217,0.04720786586403847,0.027640042216779178
1,HBA2,50217,0.11385712027549744,0.0645598104227652
1,HBB,50217,0.20370060205459595,0.10621900949877532
2,CD79A,1866,2.296038866043091,0.8547695605573419
2,CD79B,1866,1.7166292667388916,0.7106109324758842
2,MS4A1,1866,1.6565760374069214,0.7020364415862809
2,CD19,1866,0.27939772605895996,0.15005359056806003
2,CD22,1866,0.5910242795944214,0.3027867095391211
2,CD37,1866,2.657761573791504,0.9281886387995713
2,CD74,1866,4.281003475189209,0.9989281886387996
2,TCL1A,1866,1.2695673704147339,0.5503751339764201
2,IL4R,1866,0.5564419031143188,0.2733118971061093
2,FCER2,1866,0.6471104025840759,0.3236870310825295
2,CCR7,1866,0.31588807702064514,0.16559485530546625
2,CD27,1866,0.04222364351153374,0.02465166130760986
2,AIM2,1866,0.017721615731716156,0.010718113612004287
2,GPR183,1866,0.2882375121116638,0.15005359056806003
2,TNFRSF13B,1866,0.04288073629140854,0.02465166130760986
2,BANK1,1866,0.8781341910362244,0.4292604501607717
2,FCRL3,1866,0.10530810058116913,0.05734190782422294
2,FCRL5,1866,0.15938670933246613,0.08520900321543408
2,ITGAX,1866,0.01469860877841711,0.00857449088960343
2,TBX21,1866,0.008192123845219612,0.00482315112540193
2,ZEB2,1866,0.19781140983104706,0.10557341907824223
2,MZB1,1866,0.23319478332996368,0.12433011789924973
2,JCHAIN,1866,0.5255398154258728,0.2497320471596999
2,XBP1,1866,0.1116814985871315,0.06002143622722401
2,SDC1,1866,0.0,0.0
2,TNFRSF17,1866,0.0214215237647295,0.011254019292604502
2,DERL3,1866,0.06577438861131668,0.03644158628081458
2,IFI6,1866,0.2664594352245331,0.13665594855305466
2,IFIT1,1866,0.011561685241758823,0.006966773847802787
2,IFIT3,1866,0.025813311338424683,0.01339764201500536
2,ISG15,1866,0.37964415550231934,0.18756698821007503
2,MX1,1866,0.17248980700969696,0.09056806002143623
2,OAS1,1866,0.07964374870061874,0.04340836012861737
2,CD3D,1866,0.12016940116882324,0.06430868167202572
2,CD3E,1866,0.0749647468328476,0.04287245444801715
2,NKG7,1866,0.27905014157295227,0.1452304394426581
2,GNLY,1866,0.3041945993900299,0.16184351554126475
2,LYZ,1866,0.6609612703323364,0.3279742765273312
2,LST1,1866,0.33029162883758545,0.17309753483386925
2,TYROBP,1866,0.38184699416160583,0.19935691318327975
2,FCER1G,1866,0.2703242301940918,0.14040728831725616
2,S100A8,1866,0.943274199962616,0.44587352625937837
2,PPBP,1866,0.9595085978507996,0.44694533762057875
