member_name,sample_id,accession,role,size_bytes,sha256_compressed_member
GSM4029933_JB18080_matrix.mtx.gz,JB18080,GSM4029933,matrix,16236744,07DA692B921E24E568C777A8CC08F969992B1AD7664D9D6B24D7D7B24235CB34
GSM4029934_JB18081_barcodes.tsv.gz,JB18081,GSM4029934,barcodes,28001,685CAB92C793F897B0C652C67C3EE47FDFD55840F65A05D00554DDE8265C57B3
GSM4029934_JB18081_matrix.mtx.gz,JB18081,GSM4029934,matrix,21719358,3DD6337EAE7CE3F59500C48A44E17BC92B345C570A00130BAB479C5747C5567F
GSM4029935_JB18082_barcodes.tsv.gz,JB18082,GSM4029935,barcodes,30781,D025AD77C083F5BE944922F226A8D2965266BCC46864CC33DE3FE80DD4A2C290
GSM4029935_JB18082_matrix.mtx.gz,JB18082,GSM4029935,matrix,24597611,35D99384B85AC360FCEA293EF454CA71F7F2E452E4BDB2BEBB519EA6A39C743D
GSM4029938_JB18083_barcodes.tsv.gz,JB18083,GSM4029938,barcodes,29770,707DA3B3FCA40AE27653EDF8330F77EB6F1D8CD383A355422AD6B00E2B30832A
GSM4029938_JB18083_matrix.mtx.gz,JB18083,GSM4029938,matrix,27182861,1B1C43B6BF8CA23F20C10DCA69A4745911BB29B942B04E251BC7F5574FC51561
GSM4029939_JB18084_barcodes.tsv.gz,JB18084,GSM4029939,barcodes,29510,8ECF7C00FA65900EF303426835557E1D7874F8F4D1A1C8A6196CBFA982C6D1F6
GSM4029939_JB18084_matrix.mtx.gz,JB18084,GSM4029939,matrix,25979875,A8340EE45AC7A5A2291BC8806176C49AC9ABD3A2B9F36ECA085C985CBBDAF58C
GSM4029936_JB18085_barcodes.tsv.gz,JB18085,GSM4029936,barcodes,25522,DB0E56493BFC12D0ED61E69D10651960302179E84134ACCD2C4D80C8ABE0FCB9
GSM4029936_JB18085_matrix.mtx.gz,JB18085,GSM4029936,matrix,22591153,AB8989DF3564560725370681AF3B548F481F7908AD81D3ADDF3A4BC724513F41
GSM4029937_JB18086_barcodes.tsv.gz,JB18086,GSM4029937,barcodes,27110,7C8061B13B42296BDF94B60403421A07B758B2C4A9FB3D360E3820C4D46656D0
GSM4029937_JB18086_matrix.mtx.gz,JB18086,GSM4029937,matrix,21914544,A5B2B8EA211A46BB96129796B1E2CE7D0418D359FD9D9962A004A9B8421A6C2D
GSM4029940_JB19001_barcodes.tsv.gz,JB19001,GSM4029940,barcodes,29060,A286FF004FA931A691E7F275B376C4477C98DDBC9364E85797C9D9AABCA1C933
GSM4029940_JB19001_matrix.mtx.gz,JB19001,GSM4029940,matrix,24719158,743EB95F0F6B03F4B756196B0AAF59AA6A791CECC2921B3F571F25CBB8F30587
GSM4029942_JB19003_barcodes.tsv.gz,JB19003,GSM4029942,barcodes,29081,36E1CACA64D255FF7E349EC91DD5A19A6D82E752D7D3911430B8BC0DED78F937
GSM4029942_JB19003_matrix.mtx.gz,JB19003,GSM4029942,matrix,26001527,330DBA550FF3891B7B54570C6563CB595EE1E1AEE5FD34316534BA42135EEFD7
GSM4029943_JB19004_barcodes.tsv.gz,JB19004,GSM4029943,barcodes,18623,061E7E7C57A81D5B096FA5C97EAF4E8605B44C15677EAB9920FD37FEF7694260
GSM4029943_JB19004_matrix.mtx.gz,JB19004,GSM4029943,matrix,19953143,9FAFF73BB572957CD5AFDF8525952A688C04D2698DDDA9628D5028E753294EF6
GSM4029944_JB19006_barcodes.tsv.gz,JB19006,GSM4029944,barcodes,20150,64A314C80816483D0567F0EDE1AF1CDB6E5EA4952AF892C002189F5C63FFDAAC
GSM4029944_JB19006_matrix.mtx.gz,JB19006,GSM4029944,matrix,20568845,CEBDA8FD45234AF4F0D41B31DC0700BE3F4BCC71F339C128A3A703D48236E08E
GSM4029945_JB19007_barcodes.tsv.gz,JB19007,GSM4029945,barcodes,30018,357447CEABE6198481486E974CACD97F951F3FA1CF5CFD92DB67646909B9BEC7
GSM4029945_JB19007_matrix.mtx.gz,JB19007,GSM4029945,matrix,28563370,35207EA0EA754DCA5F23E9CCF1F03B9C039F7A770F4C78488C8CB40A82153923
