pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
169,compartment,JB17021,GSM4029910,B_ASC_CONTROL,,2,17633,3713
170,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC0,6,29339,4231
171,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC1,0,0,0
172,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC2,7,32938,4443
173,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC3,2,7783,1933
174,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC4,0,0,0
175,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC5,8,49090,5868
176,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC6,0,0,0
177,source_label,JB17021,GSM4029910,B_CONV_ANALOG,B-caSC7,0,0,0
178,source_label,JB17021,GSM4029910,B_ASC_CONTROL,PC-caSC0,1,10707,2588
179,source_label,JB17021,GSM4029910,B_ASC_CONTROL,PC-caSC1,1,6926,2224
180,compartment,JB17022,GSM4029911,B_CONV_ANALOG,,464,1771062,13071
181,compartment,JB17022,GSM4029911,B_ASC_CONTROL,,0,0,0
182,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC0,179,628031,10986
183,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC1,148,568130,10696
184,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC2,37,203881,8818
185,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC3,5,16865,3254
186,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC4,27,86746,6568
187,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC5,11,52000,5290
188,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC6,25,83722,6506
189,source_label,JB17022,GSM4029911,B_CONV_ANALOG,B-caSC7,32,131687,7594
190,source_label,JB17022,GSM4029911,B_ASC_CONTROL,PC-caSC0,0,0,0
191,source_label,JB17022,GSM4029911,B_ASC_CONTROL,PC-caSC1,0,0,0
192,compartment,JB17023,GSM4029912,B_CONV_ANALOG,,573,2371134,14073
193,compartment,JB17023,GSM4029912,B_ASC_CONTROL,,1,4605,1632
194,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC0,103,388110,10471
195,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC1,148,599508,11309
196,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC2,62,330225,10214
197,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC3,73,259147,9790
198,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC4,82,295818,9944
199,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC5,59,303995,9977
200,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC6,10,41314,5293
201,source_label,JB17023,GSM4029912,B_CONV_ANALOG,B-caSC7,36,153017,8293
202,source_label,JB17023,GSM4029912,B_ASC_CONTROL,PC-caSC0,0,0,0
203,source_label,JB17023,GSM4029912,B_ASC_CONTROL,PC-caSC1,1,4605,1632
204,compartment,JB17024,GSM4029913,B_CONV_ANALOG,,1007,4529794,15022
205,compartment,JB17024,GSM4029913,B_ASC_CONTROL,,2,16094,3281
206,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC0,347,1468583,12829
207,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC1,86,407203,10507
208,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC2,80,412440,10558
209,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC3,199,803056,11976
210,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC4,85,354262,10215
211,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC5,154,845800,12091
212,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC6,30,120669,7951
213,source_label,JB17024,GSM4029913,B_CONV_ANALOG,B-caSC7,26,117781,7652
214,source_label,JB17024,GSM4029913,B_ASC_CONTROL,PC-caSC0,1,12229,2879
215,source_label,JB17024,GSM4029913,B_ASC_CONTROL,PC-caSC1,1,3865,1164
216,compartment,JB17017,GSM4029914,B_CONV_ANALOG,,1157,3882960,14738
217,compartment,JB17017,GSM4029914,B_ASC_CONTROL,,22,169337,8647
218,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC0,94,278577,9492
219,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC1,645,2033655,13364
220,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC2,195,875832,11971
221,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC3,1,2363,725
222,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC4,121,350951,9967
223,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC5,15,64048,6044
224,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC6,23,70383,5946
225,source_label,JB17017,GSM4029914,B_CONV_ANALOG,B-caSC7,63,207151,8826
226,source_label,JB17017,GSM4029914,B_ASC_CONTROL,PC-caSC0,1,3888,1354
227,source_label,JB17017,GSM4029914,B_ASC_CONTROL,PC-caSC1,21,165449,8548
228,compartment,JB17018,GSM4029915,B_CONV_ANALOG,,735,2795727,14302
229,compartment,JB17018,GSM4029915,B_ASC_CONTROL,,4,22067,3947
230,source_label,JB17018,GSM4029915,B_CONV_ANALOG,B-caSC0,175,584253,11154
