pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
627,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC1,32,77647,6504
628,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC2,133,409864,10508
629,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC3,1,2028,759
630,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC4,57,117284,7390
631,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC5,24,84316,6680
632,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC6,52,115168,7641
633,source_label,JB19011,GSM4029949,B_CONV_ANALOG,B-caSC7,20,50176,5355
634,source_label,JB19011,GSM4029949,B_ASC_CONTROL,PC-caSC0,4,27072,4037
635,source_label,JB19011,GSM4029949,B_ASC_CONTROL,PC-caSC1,21,126054,7878
636,compartment,JB19013,GSM4029950,B_CONV_ANALOG,,132,455045,10770
637,compartment,JB19013,GSM4029950,B_ASC_CONTROL,,3,22543,3996
638,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC0,56,175592,8667
639,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC1,7,20223,3272
640,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC2,16,80540,6759
641,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC3,13,40330,5185
642,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC4,5,14039,2509
643,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC5,8,35233,4983
644,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC6,17,54712,5716
645,source_label,JB19013,GSM4029950,B_CONV_ANALOG,B-caSC7,10,34376,4482
646,source_label,JB19013,GSM4029950,B_ASC_CONTROL,PC-caSC0,1,7217,2127
647,source_label,JB19013,GSM4029950,B_ASC_CONTROL,PC-caSC1,2,15326,3205
648,compartment,JB19014,GSM4029951,B_CONV_ANALOG,,21,79236,6757
649,compartment,JB19014,GSM4029951,B_ASC_CONTROL,,3,25032,4186
650,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC0,3,9116,2119
651,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC1,4,14419,2576
652,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC2,8,32808,4667
653,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC3,0,0,0
654,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC4,1,3012,826
655,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC5,2,8816,2148
656,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC6,2,7316,1699
657,source_label,JB19014,GSM4029951,B_CONV_ANALOG,B-caSC7,1,3749,1207
658,source_label,JB19014,GSM4029951,B_ASC_CONTROL,PC-caSC0,1,7483,2002
659,source_label,JB19014,GSM4029951,B_ASC_CONTROL,PC-caSC1,2,17549,3492
660,compartment,JB19015,GSM4029952,B_CONV_ANALOG,,128,410896,10447
661,compartment,JB19015,GSM4029952,B_ASC_CONTROL,,1,12660,2547
662,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC0,16,35257,4428
663,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC1,48,145746,7826
664,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC2,41,165152,8422
665,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC3,0,0,0
666,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC4,10,25063,3730
667,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC5,3,10753,2083
668,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC6,5,14567,2659
669,source_label,JB19015,GSM4029952,B_CONV_ANALOG,B-caSC7,5,14358,2624
670,source_label,JB19015,GSM4029952,B_ASC_CONTROL,PC-caSC0,0,0,0
671,source_label,JB19015,GSM4029952,B_ASC_CONTROL,PC-caSC1,1,12660,2547
