sample_id,source_label,frozen_compartment,cell_count,library_size_umi
JB18064,PC-caSC1,B_ASC_CONTROL,39,248204
JB18065,B-caSC0,B_CONV_ANALOG,38,99100
JB18065,B-caSC1,B_CONV_ANALOG,25,70312
JB18065,B-caSC2,B_CONV_ANALOG,114,415104
JB18065,B-caSC3,B_CONV_ANALOG,1,2827
JB18065,B-caSC4,B_CONV_ANALOG,19,45893
JB18065,B-caSC5,B_CONV_ANALOG,4,14316
JB18065,B-caSC6,B_CONV_ANALOG,10,23133
JB18065,B-caSC7,B_CONV_ANALOG,5,11275
JB18065,PC-caSC0,B_ASC_CONTROL,0,0
JB18065,PC-caSC1,B_ASC_CONTROL,10,92745
JB18066,B-caSC0,B_CONV_ANALOG,50,150228
JB18066,B-caSC1,B_CONV_ANALOG,4,14770
JB18066,B-caSC2,B_CONV_ANALOG,28,92581
JB18066,B-caSC3,B_CONV_ANALOG,92,252510
JB18066,B-caSC4,B_CONV_ANALOG,6,17137
JB18066,B-caSC5,B_CONV_ANALOG,173,635719
JB18066,B-caSC6,B_CONV_ANALOG,13,38175
JB18066,B-caSC7,B_CONV_ANALOG,4,12418
JB18066,PC-caSC0,B_ASC_CONTROL,3,21567
JB18066,PC-caSC1,B_ASC_CONTROL,4,32227
JB18067,B-caSC0,B_CONV_ANALOG,7,16880
JB18067,B-caSC1,B_CONV_ANALOG,180,451970
JB18067,B-caSC2,B_CONV_ANALOG,77,264873
JB18067,B-caSC3,B_CONV_ANALOG,1,1332
JB18067,B-caSC4,B_CONV_ANALOG,24,56166
JB18067,B-caSC5,B_CONV_ANALOG,1,4551
JB18067,B-caSC6,B_CONV_ANALOG,17,44546
JB18067,B-caSC7,B_CONV_ANALOG,2,4754
JB18067,PC-caSC0,B_ASC_CONTROL,0,0
JB18067,PC-caSC1,B_ASC_CONTROL,1,7455
JB18068,B-caSC0,B_CONV_ANALOG,18,42350
JB18068,B-caSC1,B_CONV_ANALOG,7,15867
JB18068,B-caSC2,B_CONV_ANALOG,68,215841
JB18068,B-caSC3,B_CONV_ANALOG,101,235935
JB18068,B-caSC4,B_CONV_ANALOG,5,10037
JB18068,B-caSC5,B_CONV_ANALOG,170,559324
JB18068,B-caSC6,B_CONV_ANALOG,13,33046
JB18068,B-caSC7,B_CONV_ANALOG,18,42932
JB18068,PC-caSC0,B_ASC_CONTROL,25,169868
JB18068,PC-caSC1,B_ASC_CONTROL,27,220611
JB18069,B-caSC0,B_CONV_ANALOG,38,101912
JB18069,B-caSC1,B_CONV_ANALOG,97,284610
JB18069,B-caSC2,B_CONV_ANALOG,161,658034
JB18069,B-caSC3,B_CONV_ANALOG,2,4755
JB18069,B-caSC4,B_CONV_ANALOG,69,180638
JB18069,B-caSC5,B_CONV_ANALOG,11,38854
JB18069,B-caSC6,B_CONV_ANALOG,22,56371
JB18069,B-caSC7,B_CONV_ANALOG,46,124973
JB18069,PC-caSC0,B_ASC_CONTROL,0,0
JB18069,PC-caSC1,B_ASC_CONTROL,4,30519
JB18070,B-caSC0,B_CONV_ANALOG,112,260861
JB18070,B-caSC1,B_CONV_ANALOG,34,90010
JB18070,B-caSC2,B_CONV_ANALOG,127,449430
JB18070,B-caSC3,B_CONV_ANALOG,9,18300
JB18070,B-caSC4,B_CONV_ANALOG,69,158298
JB18070,B-caSC5,B_CONV_ANALOG,21,68978
JB18070,B-caSC6,B_CONV_ANALOG,53,122883
JB18070,B-caSC7,B_CONV_ANALOG,44,117000
JB18070,PC-caSC0,B_ASC_CONTROL,0,0
JB18070,PC-caSC1,B_ASC_CONTROL,5,50991
JB18071,B-caSC0,B_CONV_ANALOG,59,186423
JB18071,B-caSC1,B_CONV_ANALOG,92,343107
JB18071,B-caSC2,B_CONV_ANALOG,49,202194
JB18071,B-caSC3,B_CONV_ANALOG,355,1169546
JB18071,B-caSC4,B_CONV_ANALOG,128,405294
JB18071,B-caSC5,B_CONV_ANALOG,41,188902
JB18071,B-caSC6,B_CONV_ANALOG,47,147147
JB18071,B-caSC7,B_CONV_ANALOG,268,1047041
JB18071,PC-caSC0,B_ASC_CONTROL,12,79918
JB18071,PC-caSC1,B_ASC_CONTROL,17,160182
JB18072,B-caSC0,B_CONV_ANALOG,85,212547
JB18072,B-caSC1,B_CONV_ANALOG,90,244297
JB18072,B-caSC2,B_CONV_ANALOG,262,928521
JB18072,B-caSC3,B_CONV_ANALOG,13,32195
JB18072,B-caSC4,B_CONV_ANALOG,78,196833
JB18072,B-caSC5,B_CONV_ANALOG,43,163807
JB18072,B-caSC6,B_CONV_ANALOG,19,48077
JB18072,B-caSC7,B_CONV_ANALOG,16,43975
JB18072,PC-caSC0,B_ASC_CONTROL,5,34372
JB18072,PC-caSC1,B_ASC_CONTROL,10,91109
JB18073,B-caSC0,B_CONV_ANALOG,208,573355
JB18073,B-caSC1,B_CONV_ANALOG,20,61697
JB18073,B-caSC2,B_CONV_ANALOG,100,422918
JB18073,B-caSC3,B_CONV_ANALOG,227,621569
JB18073,B-caSC4,B_CONV_ANALOG,31,82090
JB18073,B-caSC5,B_CONV_ANALOG,176,721436
JB18073,B-caSC6,B_CONV_ANALOG,39,111236
JB18073,B-caSC7,B_CONV_ANALOG,28,90544
JB18073,PC-caSC0,B_ASC_CONTROL,8,72328
JB18073,PC-caSC1,B_ASC_CONTROL,5,40221
JB18074,B-caSC0,B_CONV_ANALOG,10,36882
JB18074,B-caSC1,B_CONV_ANALOG,5,19429
JB18074,B-caSC2,B_CONV_ANALOG,17,57006
JB18074,B-caSC3,B_CONV_ANALOG,455,1394622
JB18074,B-caSC4,B_CONV_ANALOG,2,7537
JB18074,B-caSC5,B_CONV_ANALOG,190,755500
JB18074,B-caSC6,B_CONV_ANALOG,6,16827
JB18074,B-caSC7,B_CONV_ANALOG,2,6511
JB18074,PC-caSC0,B_ASC_CONTROL,71,623014
JB18074,PC-caSC1,B_ASC_CONTROL,15,94763
JB18075,B-caSC0,B_CONV_ANALOG,61,169282
JB18075,B-caSC1,B_CONV_ANALOG,26,78602
JB18075,B-caSC2,B_CONV_ANALOG,15,53958
JB18075,B-caSC3,B_CONV_ANALOG,21,57045
JB18075,B-caSC4,B_CONV_ANALOG,6,16920
JB18075,B-caSC5,B_CONV_ANALOG,18,78447
JB18075,B-caSC6,B_CONV_ANALOG,7,21064
JB18075,B-caSC7,B_CONV_ANALOG,1,3961
JB18075,PC-caSC0,B_ASC_CONTROL,1,4733
JB18075,PC-caSC1,B_ASC_CONTROL,0,0
JB18076,B-caSC0,B_CONV_ANALOG,18,48701
JB18076,B-caSC1,B_CONV_ANALOG,38,102460
JB18076,B-caSC2,B_CONV_ANALOG,33,135092
JB18076,B-caSC3,B_CONV_ANALOG,3,8222
JB18076,B-caSC4,B_CONV_ANALOG,19,46628
JB18076,B-caSC5,B_CONV_ANALOG,12,43590
JB18076,B-caSC6,B_CONV_ANALOG,5,10930
JB18076,B-caSC7,B_CONV_ANALOG,14,43717
JB18076,PC-caSC0,B_ASC_CONTROL,1,5243
JB18076,PC-caSC1,B_ASC_CONTROL,8,64526
JB18077,B-caSC0,B_CONV_ANALOG,106,280916
JB18077,B-caSC1,B_CONV_ANALOG,119,371175
JB18077,B-caSC2,B_CONV_ANALOG,180,791060
JB18077,B-caSC3,B_CONV_ANALOG,4,13072
JB18077,B-caSC4,B_CONV_ANALOG,296,745898
JB18077,B-caSC5,B_CONV_ANALOG,25,97641
JB18077,B-caSC6,B_CONV_ANALOG,69,179368
JB18077,B-caSC7,B_CONV_ANALOG,136,391041
JB18077,PC-caSC0,B_ASC_CONTROL,0,0
JB18077,PC-caSC1,B_ASC_CONTROL,12,106635
JB18078,B-caSC0,B_CONV_ANALOG,171,479114
JB18078,B-caSC1,B_CONV_ANALOG,79,247623
JB18078,B-caSC2,B_CONV_ANALOG,198,817119
JB18078,B-caSC3,B_CONV_ANALOG,7,16357
JB18078,B-caSC4,B_CONV_ANALOG,173,439526
JB18078,B-caSC5,B_CONV_ANALOG,36,130458
JB18078,B-caSC6,B_CONV_ANALOG,52,139221
JB18078,B-caSC7,B_CONV_ANALOG,74,204423
JB18078,PC-caSC0,B_ASC_CONTROL,1,7583
JB18078,PC-caSC1,B_ASC_CONTROL,8,82206
JB18079,B-caSC0,B_CONV_ANALOG,175,409415
JB18079,B-caSC1,B_CONV_ANALOG,62,145590
JB18079,B-caSC2,B_CONV_ANALOG,118,449034
JB18079,B-caSC3,B_CONV_ANALOG,7,18689
JB18079,B-caSC4,B_CONV_ANALOG,96,206396
JB18079,B-caSC5,B_CONV_ANALOG,23,86773
JB18079,B-caSC6,B_CONV_ANALOG,51,116340
JB18079,B-caSC7,B_CONV_ANALOG,60,138814
JB18079,PC-caSC0,B_ASC_CONTROL,1,4660
JB18079,PC-caSC1,B_ASC_CONTROL,11,90537
JB18080,B-caSC0,B_CONV_ANALOG,55,168510
JB18080,B-caSC1,B_CONV_ANALOG,29,86749
JB18080,B-caSC2,B_CONV_ANALOG,30,97545
JB18080,B-caSC3,B_CONV_ANALOG,45,132968
JB18080,B-caSC4,B_CONV_ANALOG,14,40201
JB18080,B-caSC5,B_CONV_ANALOG,39,145084
JB18080,B-caSC6,B_CONV_ANALOG,20,61117
JB18080,B-caSC7,B_CONV_ANALOG,5,16581
JB18080,PC-caSC0,B_ASC_CONTROL,0,0
JB18080,PC-caSC1,B_ASC_CONTROL,0,0
JB18081,B-caSC0,B_CONV_ANALOG,419,840901
JB18081,B-caSC1,B_CONV_ANALOG,28,57775
JB18081,B-caSC2,B_CONV_ANALOG,32,103119
JB18081,B-caSC3,B_CONV_ANALOG,124,244363
JB18081,B-caSC4,B_CONV_ANALOG,104,202496
JB18081,B-caSC5,B_CONV_ANALOG,8,23218
JB18081,B-caSC6,B_CONV_ANALOG,89,177536
JB18081,B-caSC7,B_CONV_ANALOG,17,34417
JB18081,PC-caSC0,B_ASC_CONTROL,1,7563
JB18081,PC-caSC1,B_ASC_CONTROL,2,5066
JB18082,B-caSC0,B_CONV_ANALOG,52,121404
JB18082,B-caSC1,B_CONV_ANALOG,341,928010
JB18082,B-caSC2,B_CONV_ANALOG,310,1234691
JB18082,B-caSC3,B_CONV_ANALOG,11,22704
JB18082,B-caSC4,B_CONV_ANALOG,168,424412
JB18082,B-caSC5,B_CONV_ANALOG,31,126015
JB18082,B-caSC6,B_CONV_ANALOG,42,105918
JB18082,B-caSC7,B_CONV_ANALOG,36,97945
JB18082,PC-caSC0,B_ASC_CONTROL,1,6137
JB18082,PC-caSC1,B_ASC_CONTROL,9,81914
JB18085,B-caSC0,B_CONV_ANALOG,122,358750
JB18085,B-caSC1,B_CONV_ANALOG,312,992215
JB18085,B-caSC2,B_CONV_ANALOG,166,782774
JB18085,B-caSC3,B_CONV_ANALOG,5,12682
JB18085,B-caSC4,B_CONV_ANALOG,242,693170
JB18085,B-caSC5,B_CONV_ANALOG,16,70638
JB18085,B-caSC6,B_CONV_ANALOG,78,224044
JB18085,B-caSC7,B_CONV_ANALOG,73,225497
JB18085,PC-caSC0,B_ASC_CONTROL,0,0
JB18085,PC-caSC1,B_ASC_CONTROL,10,95356
JB18086,B-caSC0,B_CONV_ANALOG,203,502144
JB18086,B-caSC1,B_CONV_ANALOG,81,210447
JB18086,B-caSC2,B_CONV_ANALOG,116,388697
JB18086,B-caSC3,B_CONV_ANALOG,6,14591
