contrast,regulator,deleted_target,slope,same_direction_as_full
gse174188_internal_nonoverlap,STAT1,MTMR9,1.109587976081131,True
gse174188_internal_nonoverlap,STAT1,MVP,1.0972821439868266,True
gse174188_internal_nonoverlap,STAT1,MX1,1.0604362898534383,True
gse174188_internal_nonoverlap,STAT1,MYD88,1.0883670678851498,True
gse174188_internal_nonoverlap,STAT1,NCL,1.117776090128863,True
gse174188_internal_nonoverlap,STAT1,NMI,1.0685569058372488,True
gse174188_internal_nonoverlap,STAT1,NPAT,1.103273846877869,True
gse174188_internal_nonoverlap,STAT1,OAS1,1.0608051162306535,True
gse174188_internal_nonoverlap,STAT1,PARK7,1.0910107520962955,True
gse174188_internal_nonoverlap,STAT1,PIK3R1,1.1002621209732426,True
gse174188_internal_nonoverlap,STAT1,PIM1,1.1072926050062228,True
gse174188_internal_nonoverlap,STAT1,PLSCR1,1.0721031450965046,True
gse174188_internal_nonoverlap,STAT1,PML,1.0788811372040232,True
gse174188_internal_nonoverlap,STAT1,POMC,1.1036419173380447,True
gse174188_internal_nonoverlap,STAT1,PPIP5K2,1.0984727487062056,True
gse174188_internal_nonoverlap,STAT1,PRKCE,1.1071031144841976,True
gse174188_internal_nonoverlap,STAT1,PSMB9,1.0820654188057728,True
gse174188_internal_nonoverlap,STAT1,PTPN6,1.1047549561028556,True
gse174188_internal_nonoverlap,STAT1,RB1,1.0881032696366242,True
gse174188_internal_nonoverlap,STAT1,RC3H1,1.1108509616834128,True
gse174188_internal_nonoverlap,STAT1,RHOA,1.091318542753475,True
gse174188_internal_nonoverlap,STAT1,RUNX3,1.0994678738797439,True
gse174188_internal_nonoverlap,STAT1,S100A10,1.1097549015289911,True
gse174188_internal_nonoverlap,STAT1,SEMA4B,1.1184374194228104,True
gse174188_internal_nonoverlap,STAT1,SMAD3,1.101553017338308,True
gse174188_internal_nonoverlap,STAT1,SMARCA4,1.1029926540629944,True
gse174188_internal_nonoverlap,STAT1,SNRNP27,1.0971223903375753,True
gse174188_internal_nonoverlap,STAT1,SOCS1,1.0875065899813376,True
gse174188_internal_nonoverlap,STAT1,SOCS3,1.0855604621803547,True
gse174188_internal_nonoverlap,STAT1,STAT3,1.1341701895481557,True
gse174188_internal_nonoverlap,STAT1,TAP1,1.070303193364522,True
gse174188_internal_nonoverlap,STAT1,TIMP1,1.101657849807991,True
gse174188_internal_nonoverlap,STAT1,TNFSF10,1.0897692315874639,True
gse174188_internal_nonoverlap,STAT1,TNFSF13B,1.0882416902938512,True
gse174188_internal_nonoverlap,STAT1,TP53,1.102591276763273,True
gse174188_internal_nonoverlap,STAT1,TP53BP1,1.0881116123778598,True
gse174188_internal_nonoverlap,STAT1,TRIM25,1.0890305892307428,True
gse174188_internal_nonoverlap,STAT1,UBR1,1.092557719268531,True
gse174188_internal_nonoverlap,STAT1,UPP1,1.1022556653873452,True
gse174188_internal_nonoverlap,STAT1,VIM,1.0765976698572781,True
gse174188_internal_nonoverlap,STAT1,XAF1,1.051465590277154,True
gse174188_internal_nonoverlap,STAT1,ZC3HAV1,1.1058322614817255,True
gse174188_internal_nonoverlap,STAT1,ZFP36,1.057924098652539,True
gse174188_internal_nonoverlap,STAT1,ZNF302,1.0963809040790449,True
gse174188_internal_nonoverlap,STAT1,ZNF655,1.108922697077886,True
gse174188_internal_nonoverlap,STAT2,CBL,3.1502124778366736,True
gse174188_internal_nonoverlap,STAT2,CREBBP,3.1105994843480658,True
gse174188_internal_nonoverlap,STAT2,CXCL8,3.0266737952384806,True
gse174188_internal_nonoverlap,STAT2,EIF2AK2,2.830192271567806,True
gse174188_internal_nonoverlap,STAT2,HLA-E,3.0838314936541726,True
gse174188_internal_nonoverlap,STAT2,IFIT2,3.0189920141748834,True
gse174188_internal_nonoverlap,STAT2,IFIT3,2.832876888136811,True
gse174188_internal_nonoverlap,STAT2,IL6,2.7949897613422685,True
gse174188_internal_nonoverlap,STAT2,IRF1,3.1297652364648916,True
gse174188_internal_nonoverlap,STAT2,IRF7,2.8416356255896282,True
gse174188_internal_nonoverlap,STAT2,IRF9,2.9162918484931524,True
gse174188_internal_nonoverlap,STAT2,JUN,2.7401968843864446,True
gse174188_internal_nonoverlap,STAT2,JUND,2.8968761352498626,True
gse174188_internal_nonoverlap,STAT2,MCL1,2.9856548244611587,True
gse174188_internal_nonoverlap,STAT2,NFKB2,3.0421798328289795,True
gse174188_internal_nonoverlap,STAT2,OAS1,2.8549303789479494,True
gse174188_internal_nonoverlap,STAT2,PML,2.983702021729088,True
gse174188_internal_nonoverlap,STAT2,SAMHD1,3.154103323526743,True
gse174188_internal_nonoverlap,STAT2,STAT1,2.881935188673063,True
gse174188_internal_nonoverlap,IRF7,ATF4,2.7859448111233407,True
gse174188_internal_nonoverlap,IRF7,ISG15,1.1964890789819056,True
gse174188_internal_nonoverlap,IRF7,PMAIP1,2.5481937284058223,True
gse174188_internal_nonoverlap,IRF7,TAP2,1.997947172857113,True
gse174188_internal_nonoverlap,IRF7,TNFSF10,2.45438597973544,True
gse174188_internal_nonoverlap,IRF9,CCND2,3.2177234876184126,True
gse174188_internal_nonoverlap,IRF9,CDKN1A,2.69871645759787,True
gse174188_internal_nonoverlap,IRF9,CDKN1B,2.5842178040115384,True
gse174188_internal_nonoverlap,IRF9,CXCL8,2.7841888109475192,True
gse174188_internal_nonoverlap,IRF9,IFIT3,2.3984422304444575,True
gse174188_internal_nonoverlap,IRF9,IRF7,2.415958432711712,True
gse174188_internal_nonoverlap,IRF9,OAS1,2.442546007710058,True
gse174188_internal_nonoverlap,IRF9,PML,2.7000705828433618,True
gse174188_internal_nonoverlap,IRF9,SP100,2.767995678453057,True
gse174188_internal_nonoverlap,IRF9,TNFSF10,2.8551905555540458,True
gse135779_childhood,STAT1,ABCA1,1.1399969936402514,True
gse135779_childhood,STAT1,ACAT1,1.1591661853179023,True
gse135779_childhood,STAT1,ACSL1,1.1238243165154356,True
gse135779_childhood,STAT1,ADAR,1.1202905503413936,True
gse135779_childhood,STAT1,AIM2,1.1385840282431607,True
gse135779_childhood,STAT1,AKT1,1.1361759249911576,True
gse135779_childhood,STAT1,APP,1.1465143174789227,True
gse135779_childhood,STAT1,ATG4C,1.1475000530859947,True
gse135779_childhood,STAT1,BAX,1.1343511128613941,True
gse135779_childhood,STAT1,BCL6,1.1515549127804336,True
gse135779_childhood,STAT1,BIRC2,1.1368804057495994,True
gse135779_childhood,STAT1,BRD8,1.1499277157348398,True
gse135779_childhood,STAT1,BST2,1.120758360946725,True
gse135779_childhood,STAT1,CASP2,1.138068135621422,True
gse135779_childhood,STAT1,CASP3,1.1471806851859307,True
gse135779_childhood,STAT1,CASP4,1.1443460725440053,True
gse135779_childhood,STAT1,CASP8,1.1342256562373778,True
gse135779_childhood,STAT1,CCL3,1.1330531835147233,True
gse135779_childhood,STAT1,CCL5,1.139046695539804,True
gse135779_childhood,STAT1,CD14,1.1234373712470445,True
gse135779_childhood,STAT1,CD200,1.1421558873219373,True
gse135779_childhood,STAT1,CD22,1.1468905534346685,True
gse135779_childhood,STAT1,CD40,1.1627603284195658,True
gse135779_childhood,STAT1,CD69,1.1570010750623398,True
gse135779_childhood,STAT1,CD79A,1.1554565016730842,True
gse135779_childhood,STAT1,CD86,1.1271947791702388,True
gse135779_childhood,STAT1,CDKN1A,1.1451235347958877,True
gse135779_childhood,STAT1,CDKN1B,1.1412459209723032,True
gse135779_childhood,STAT1,CEBPD,1.1363537850490004,True
gse135779_childhood,STAT1,CIITA,1.1386141572885382,True
gse135779_childhood,STAT1,COPS5,1.1565479395414544,True
gse135779_childhood,STAT1,CREBBP,1.154257879574682,True
gse135779_childhood,STAT1,CREM,1.135251021129276,True
gse135779_childhood,STAT1,CSNK2A2,1.1437880141574377,True
gse135779_childhood,STAT1,CTSB,1.1259684565464785,True
gse135779_childhood,STAT1,DCLRE1C,1.1401113857840937,True
