contrast,input_role,regulator,family,tested_unique_symbols,matched_targets,matched_positive_targets,matched_negative_targets,slope,se,t_statistic,df,p_value,ci_low,ci_high,direction,q_value_global24,q_value_within_contrast_descriptive
gse174188_internal_nonoverlap,confirmatory,IRF9,IFN_confirmatory,6077,10,8,2,2.6863533076648323,0.45182771212722594,5.945525773568327,6075,2.9088745387023286e-09,1.8006107926064092,3.5720958227232553,positive,1.1635498154809313e-08,7.756998769872877e-09
gse174188_internal_nonoverlap,confirmatory,E2F1,proliferation_control,6077,109,94,15,0.14798876698105703,0.13784952151056276,1.0735529972058506,6075,0.28306571377490986,-0.12224517087883516,0.41822270484094926,positive,0.3774209516998798,0.28306571377490986
gse174188_internal_nonoverlap,confirmatory,FOXM1,proliferation_control,6077,23,21,2,-0.38347091186264365,0.2990494125587932,-1.2822994988737961,6075,0.1997865320120059,-0.9697137909448017,0.20277196721951435,negative,0.2820515746051848,0.22832746515657817
gse174188_internal_nonoverlap,confirmatory,MYC,proliferation_control,6077,393,342,51,-0.22536621463840614,0.07352100412563999,-3.065331020959371,6075,0.0021838384141296915,-0.36949345021073055,-0.08123897906608177,negative,0.0037437229956509,0.003494141462607506
gse174188_internal_nonoverlap,confirmatory,MYBL2,proliferation_control,6077,12,12,0,-0.7760912802957612,0.4138252400297127,-1.8754082767886215,6075,0.06078450314244686,-1.5873354759491742,0.03515291535765186,negative,0.09725520502791497,0.08104600418992915
gse135779_childhood,confirmatory,STAT1,IFN_confirmatory,8468,161,150,11,1.1380140564628496,0.1149306135588111,9.901748726682964,8466,5.452692050218495e-23,0.9127219837512872,1.363306129174412,positive,1.3086460920524386e-21,4.362153640174796e-22
gse135779_childhood,confirmatory,STAT2,IFN_confirmatory,8468,20,20,0,2.4001804460700447,0.3249776262537723,7.385679050396423,8466,1.660736696766168e-13,1.7631449275384132,3.037215964601676,positive,7.971536144477607e-13,6.642946787064672e-13
gse135779_childhood,confirmatory,IRF7,IFN_confirmatory,8468,7,7,0,1.8489521217533444,0.5502889742240846,3.359965778635477,8466,0.0007829663275844147,0.7702513321693409,2.927652911337348,positive,0.0014454762970789194,0.0012527461241350637
gse135779_childhood,confirmatory,IRF9,IFN_confirmatory,8468,10,9,1,2.1617992056979647,0.46009582186639186,4.698584735954707,8466,2.6610202906104966e-06,1.2598990231050349,3.0636993882908943,positive,7.096054108294657e-06,7.096054108294658e-06
gse135779_childhood,confirmatory,E2F1,proliferation_control,8468,150,129,21,-0.07539203648303014,0.1194529864995234,-0.6311440064609095,8466,0.5279634082522323,-0.30954906468242166,0.15876499171636138,negative,0.6220333592567167,0.544279189349627
gse135779_childhood,confirmatory,FOXM1,proliferation_control,8468,26,24,2,0.173370719617974,0.28591135642660465,0.6063792700814926,8466,0.544279189349627,-0.38708536868232024,0.7338268079182683,positive,0.6220333592567167,0.544279189349627
gse135779_childhood,confirmatory,MYC,proliferation_control,8468,470,404,66,-0.25847896745259613,0.06810137679223371,-3.795502816942654,8466,0.0001483725376623169,-0.39197429873943745,-0.12498363616575484,negative,0.0003254357829265623,0.0002967450753246338
gse135779_childhood,confirmatory,MYBL2,proliferation_control,8468,14,14,0,-0.27956625854939876,0.3895217377751577,-0.7177167059949087,8466,0.4729517835949494,-1.0431239996265336,0.48399148252773616,negative,0.5974127792778308,0.544279189349627
