library_uuid,n_counts_count,n_counts_min,n_counts_median,n_counts_mean,n_counts_max,n_counts_q01,n_counts_q05,n_counts_q95,n_counts_q99,n_genes_count,n_genes_min,n_genes_median,n_genes_mean,n_genes_max,n_genes_q01,n_genes_q05,n_genes_q95,n_genes_q99,pct_mito_count,pct_mito_min,pct_mito_median,pct_mito_mean,pct_mito_max,pct_mito_q01,pct_mito_q05,pct_mito_q95,pct_mito_q99,pct_ribo_count,pct_ribo_min,pct_ribo_median,pct_ribo_mean,pct_ribo_max,pct_ribo_q01,pct_ribo_q05,pct_ribo_q95,pct_ribo_q99,pct_hb_count,pct_hb_min,pct_hb_median,pct_hb_mean,pct_hb_max,pct_hb_q01,pct_hb_q05,pct_hb_q95,pct_hb_q99,pct_platelet_count,pct_platelet_min,pct_platelet_median,pct_platelet_mean,pct_platelet_max,pct_platelet_q01,pct_platelet_q05,pct_platelet_q95,pct_platelet_q99,pct_ig_count,pct_ig_min,pct_ig_median,pct_ig_mean,pct_ig_max,pct_ig_q01,pct_ig_q05,pct_ig_q95,pct_ig_q99,blineage_marker_counts_count,blineage_marker_counts_min,blineage_marker_counts_median,blineage_marker_counts_mean,blineage_marker_counts_max,blineage_marker_counts_q01,blineage_marker_counts_q05,blineage_marker_counts_q95,blineage_marker_counts_q99,n_blineage_markers_detected_count,n_blineage_markers_detected_min,n_blineage_markers_detected_median,n_blineage_markers_detected_mean,n_blineage_markers_detected_max,n_blineage_markers_detected_q01,n_blineage_markers_detected_q05,n_blineage_markers_detected_q95,n_blineage_markers_detected_q99
1556abac-8f1a-404a-8a2f-402ac562143c,1633,1664.0,2719.0,2952.757501530925,18841.0,1730.6,1938.6,4529.999999999998,7667.360000000018,1633,499,819.0,868.8597672994489,3439,596.28,652.6,1189.3999999999992,1939.7200000000003,1633,0.5533199195171026,3.130755064456722,3.3871179867571417,33.98018166804294,1.3203425400174835,1.69398982958305,5.889889460947213,8.489876287922627,1633,12.964492155243601,43.23995127892814,42.88383088058273,56.62764947801329,28.42534526086506,33.264871051781924,50.99869460681192,54.145563509593636,1633,0.0,0.0,0.0013906637751458513,0.0693721817551162,0.0,0.0,0.0,0.042023909900059546,1633,0.0,0.0,0.028499553040492856,0.2650511170011359,0.0,0.0,0.12656521568232038,0.1763346071030921,1633,0.0,0.0,0.09974807730748093,4.9976915974145895,0.0,0.0,0.5970916202498149,1.3305062470429518,1633,2.0,61.0,65.2351500306185,253.0,30.0,37.0,107.39999999999986,159.08000000000038,1633,2,7.0,7.19228413962033,10,4.0,5.0,9.0,10.0
16552c24-ef48-4e1f-aff5-319a1f739299,1528,481.0,727.0,848.5791884816754,7114.0,492.0,519.0,1493.9499999999996,2866.420000000001,1528,184,307.0,338.80039267015707,1820,225.27,240.0,536.6499999999999,903.9200000000001,1528,0.39577836411609496,3.69773795496627,4.021245390429867,33.378932968536255,1.2793924825174825,1.9163920954202287,6.85797819004558,10.2252473209101,1528,4.426559356136821,46.20023439339465,45.47332937411455,61.6652211621856,24.914548524706717,34.519004116288066,54.47084057341442,57.059528702369164,1528,0.0,0.0,0.03434554379896186,1.0493827160493827,0.0,0.0,0.176753996793225,0.2723794694989713,1528,0.0,0.0,0.01414169407850707,0.32733224222585927,0.0,0.0,0.14124293785310735,0.19938651523989795,1528,0.0,0.0,0.22215005633716303,37.67038413878563,0.0,0.0,0.6310344937394117,1.5007306523263977,1528,0.0,11.0,12.043848167539267,61.0,2.0,4.0,23.0,33.73000000000002,1528,0,4.0,3.9633507853403143,8,1.0,2.0,6.0,7.0
1e3165e4-e0c0-4bf7-b803-7d8271b99fd5,2090,497.0,1900.5,2097.2344497607655,12885.0,964.82,1327.0,3386.3999999999996,5248.570000000011,2090,185,617.5,655.156937799043,2571,414.67,473.45,943.55,1443.4300000000017,2090,0.26881720430107525,2.7796363797204187,3.027994694257978,21.730382293762574,1.222769425399013,1.6780429825284686,5.023046480468127,7.845200770750683,2090,8.295964125560538,45.6585130925841,44.92932917831014,61.63967611336032,24.36073706327513,33.711171869066604,53.346096768950275,56.141228146118145,2090,0.0,0.0,0.0035130775723677472,0.273972602739726,0.0,0.0,0.03460005427318912,0.06700459866220748,2090,0.0,0.0,0.012749328084319412,0.23837902264600716,0.0,0.0,0.06813103926710859,0.1384010178392576,2090,0.0,0.0,0.1848116242442513,54.83870967741935,0.0,0.0,0.5026933652502119,1.523132457008573,2090,1.0,37.0,40.00622009569378,188.0,13.0,20.0,68.0,99.0,2090,1,6.0,6.127272727272727,10,3.0,4.0,8.0,9.0
222b358b-71e7-4b0f-9f9b-47b4c67aaa27,2489,1328.0,2045.0,2233.243873041382,13830.0,1364.0,1464.0,3480.9999999999995,4602.599999999999,2489,407,659.0,695.1872237846525,2874,473.76,519.0,987.0,1264.8399999999992,2489,0.8044243338360986,3.559463986599665,4.003448033315906,29.46226841391776,1.381264448147949,1.9557499094414927,7.817260225881922,10.11915066474004,2489,11.849784318700838,46.439957492029755,45.96167529192793,60.842911877394634,31.713411162962924,36.790319524662095,53.98156980902351,56.69833085989715,2489,0.0,0.0,0.0036416066035591063,0.10863661053775123,0.0,0.0,0.04113637722260551,0.0618125883167221,2489,0.0,0.0,0.018777759683002722,0.3705991352686844,0.0,0.0,0.1092861711463801,0.18128583128583028,2489,0.0,0.0,0.08914867527065001,4.176267281105991,0.0,0.0,0.42149834865916835,1.1340729882283342,2489,5.0,41.0,44.169144234632384,201.0,17.0,23.0,76.0,113.0,2489,2,7.0,6.6476496584973885,10,4.0,5.0,9.0,9.0
2236c52d-924b-415a-aae0-00fa08d12d1f,1769,798.0,1245.0,1392.9496890898813,11615.0,816.68,872.4,2237.7999999999993,3737.6799999999985,1769,323,488.0,525.2747314867156,2922,351.68,383.0,768.5999999999999,1187.7999999999975,1769,0.4352557127312296,3.1105228325612178,3.4737873811520004,27.42248062015504,0.9335779816513762,1.368452618952419,6.756492093428115,10.287057489748802,1769,8.349328214971209,45.83987441130298,45.1897644761638,62.7555988315482,28.191881167362954,35.451824339086734,52.897904730629165,55.85929532373781,1769,0.0,0.0,0.01761177668790937,2.017543859649123,0.0,0.0,0.0933534243234533,0.1698688787797689,1769,0.0,0.0,0.038137730971511255,0.5072463768115942,0.0,0.0,0.17286162113748313,0.25109833407047016,1769,0.0,0.0,0.09108555684249768,14.769912658062834,0.0,0.0,0.41530049945281594,0.9431028276013076,1769,2.0,18.0,20.002261164499718,137.0,6.0,9.0,36.59999999999991,56.63999999999987,1769,1,6.0,5.6139061616732615,10,3.0,3.0,8.0,8.0
272dbb99-7929-46e2-8446-a19c21af05da,1882,927.0,1549.5,1679.143464399575,9547.0,962.81,1066.0,2595.6499999999987,3647.9000000000005,1882,340,542.0,571.6466524973432,2352,383.0,417.0,811.0,1147.3300000000004,1882,0.8088978766430738,3.4384340004405027,3.8478907367087904,29.743589743589745,1.634710253775002,2.058444896003565,7.15637466894632,9.810050860601402,1882,22.478632478632477,45.99074549639521,45.558966463988725,59.37777777777778,31.22901423546609,36.385087400589406,53.20307844291291,55.402067600309095,1882,0.0,0.0,0.001872726063240121,0.18018018018018017,0.0,0.0,0.0,0.06925897694236917,1882,0.0,0.0,0.032456741362829035,0.31347962382445144,0.0,0.0,0.14954017985863213,0.2135159503017049,1882,0.0,0.0,0.08750317821375074,1.8944519621109608,0.0,0.0,0.4744787788533127,0.9787167502049717,1882,2.0,30.0,31.971307120085015,118.0,11.0,16.0,56.0,80.0,1882,2,6.0,6.047821466524973,10,3.0,4.0,8.0,9.0
28401515-eca4-442a-85fc-f8c2793b1c26,1484,1300.0,1784.0,2003.1543126684637,19860.0,1311.83,1354.0,3143.85,4724.8300000000145,1484,439,632.0,674.4642857142857,3512,461.83,498.15,958.2499999999995,1428.17,1484,1.064773735581189,4.129056839865263,4.544025656510495,42.981143370248425,1.6790247740352746,2.1708343358242987,8.313277742761997,12.954546032553424,1484,6.315474408859623,44.41573952117365,43.98357505443584,57.12290502793296,30.16014509121348,34.93496388890184,51.82753471703748,54.44332018367354,1484,0.0,0.0,0.0018430222513808028,0.13253810470510272,0.0,0.0,0.0,0.06605019815059446,1484,0.0,0.0,0.022928381717359926,0.3426124197002141,0.0,0.0,0.11880763979664573,0.19209003056287674,1484,0.0,0.0,0.0813108745311323,11.324269889224572,0.0,0.0,0.3952190909511037,0.9785733274468204,1484,10.0,33.0,35.6489218328841,178.0,14.83,19.0,59.0,93.02000000000044,1484,3,7.0,6.522237196765499,10,4.0,5.0,8.0,9.0
2dbf699a-f6cd-446d-8dc4-0595319cfa99,1507,1401.0,2713.0,2973.446582614466,15953.0,1599.6,1826.1,4686.800000000001,6983.0800000000045,1507,454,789.0,839.5839416058394,3386,559.06,610.0,1183.5000000000002,1744.3800000000015,1507,1.3071895424836601,3.806125483199524,4.261423961989536,21.821631878557874,1.7827872821950583,2.2708855828812418,7.90037591065132,11.229273569406933,1507,17.773561037318153,46.46559849198869,45.82429596766659,58.70578557718673,28.23759463038733,36.45515788531648,53.231300351980714,55.168902721918585,1507,0.0,0.0,0.0008792317284028851,0.06412311638345623,0.0,0.0,0.0,0.036713731629845835,1507,0.0,0.0,0.029116504319315756,0.35514967021816335,0.0,0.0,0.12820708830126704,0.18880113567947482,1507,0.0,0.020794343938448742,0.10579798083111477,6.453969800292255,0.0,0.0,0.567970957081948,0.9966142329233102,1507,2.0,56.0,59.54412740544127,321.0,23.0,33.0,99.70000000000005,144.70000000000027,1507,2,7.0,7.116124751161247,10,5.0,5.0,9.0,10.0
2e65a160-ba6e-4001-b942-c2aa46cd2c5b,1515,959.0,2093.0,2407.363696369637,19541.0,1106.12,1374.8,3945.8999999999996,8359.959999999937,1515,425,783.0,849.6858085808581,3872,487.56,562.4,1283.0999999999997,2427.519999999997,1515,1.005586592178771,3.2277346084877467,3.5659681436660224,37.84722222222222,1.326413935189745,1.800405482673367,6.428998408704257,9.088234421817855,1515,5.555555555555555,40.39334341906203,39.799714282210275,54.50861195542046,24.757883899596067,29.712388460796106,48.12394868318646,50.985114330729274,1515,0.0,0.05243838489774515,0.06106312052744692,0.41916167664670656,0.0,0.0,0.16808623751512888,0.22664310809799315,1515,0.0,0.0,0.018220429858780026,0.21941854086670323,0.0,0.0,0.08837137907593795,0.16375545851528384,1515,0.0,0.0,0.1100936969275713,35.525078369905955,0.0,0.0,0.5226655817737994,1.0632207335083963,1515,0.0,40.0,44.788778877887786,253.0,15.0,21.0,83.29999999999995,146.4599999999989,1515,0,7.0,6.807920792079208,10,4.0,5.0,9.0,9.0
3044f2b9-48b5-45ec-ac14-107f0d7372f0,1657,1567.0,2640.0,2876.7809293904647,19779.0,1695.56,1885.0,4377.799999999998,7214.680000000055,1657,490,808.0,850.0440555220277,3503,585.68,640.8,1174.7999999999993,1724.44,1657,0.6753714542998649,3.173029251363411,3.3881067627880785,29.565841406530318,1.4195855037224714,1.7512724165924227,5.7533944049455314,7.956479694501946,1657,10.404624277456648,43.05949008498584,42.83295733245227,57.29749906681597,29.004215530227825,34.36365303288066,50.88361625800518,53.32817247733863,1657,0.0,0.0,0.0018168665317626499,0.087527352297593,0.0,0.0,0.0,0.043476000657088974,1657,0.0,0.0,0.02900354311889008,0.28901734104046245,0.0,0.0,0.12543905067099534,0.1806630164186514,1657,0.0,0.0,0.11263447506347213,7.851511169513798,0.0,0.0,0.6491290549465625,1.2326279895840748,1657,1.0,61.0,64.26735063367532,262.0,25.56,37.0,105.0,156.44000000000005,1657,1,7.0,7.132770066385033,10,4.0,5.0,9.0,10.0
30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5,1745,951.0,2033.0,2309.6309455587393,20627.0,1015.88,1227.6,4009.0,8083.239999999989,1745,359,722.0,787.2017191977077,3697,438.76,507.2,1234.0,2099.839999999998,1745,0.5237887385421214,3.053435114503817,3.408148774047707,32.45844269466317,0.9855072463768116,1.4177544987493302,6.277509581576239,10.248388855140286,1745,3.937007874015748,42.39450441609421,41.67490150815122,56.22119815668203,23.463997451405252,30.50305305101111,50.05860291957576,53.03985574915954,1745,0.0,0.0630119722747322,0.07399729106842551,0.547536087605774,0.0,0.0,0.19423769869787869,0.26972398410311166,1745,0.0,0.0,0.01395739193115348,0.5360333531864205,0.0,0.0,0.07787555675202419,0.16380173055565692,1745,0.0,0.0,0.12448769039544513,44.32662678992206,0.0,0.0,0.41231331115893805,1.107354143503835,1745,3.0,36.0,40.360458452722064,214.0,13.0,18.0,79.59999999999991,126.55999999999995,1745,2,7.0,6.644699140401146,10,4.0,5.0,9.0,9.0
32436280-1ea6-4678-bb18-4632fe8c4933,1849,522.0,1182.0,1338.860465116279,11124.0,782.0,844.0,2143.399999999999,4218.479999999995,1849,268,437.0,470.2736614386155,2306,311.0,339.0,686.7999999999997,1216.52,1849,1.3145539906103287,3.900414937759336,4.070188158951528,17.204776647501106,1.8895576232743378,2.3703360261528306,6.245697074010326,8.301532896751892,1849,12.600133511348465,45.94389689158454,45.54450218640464,62.5143733231123,29.639646693699916,36.445518767929606,53.31868124499164,56.065135901824455,1849,0.0,0.0,0.052742417700380496,1.205857019810508,0.0,0.0,0.19619388481594796,0.2766410064125128,1849,0.0,0.0,0.01082671645202245,0.44964028776978415,0.0,0.0,0.08994430440348615,0.13639168742332425,1849,0.0,0.0,0.10592390210901159,41.4218958611482,0.0,0.0,0.4593424924854025,1.0732128945860506,1849,3.0,21.0,22.39643050297458,98.0,8.0,11.0,40.0,57.039999999999964,1849,2,5.0,5.0627366143861545,9,2.0,3.0,7.0,8.0
3332f018-936e-4c4c-9105-99d9503db5a3,1451,507.0,1620.0,1784.541006202619,13533.0,853.0,1132.5,2806.0,4398.0,1451,266,539.0,572.8463128876637,2482,375.0,421.0,802.5,1194.5,1451,0.5427408412483039,3.0147895335608648,3.257258346233797,14.792899408284024,1.0252963310021763,1.5145820133982921,5.8345340171723485,8.124687830541767,1451,9.040333796940194,47.20466699076325,46.49151715921669,62.607944732297064,28.959473169022093,35.813091591776896,54.77542967330062,57.836257309941516,1451,0.0,0.0,0.00567000518231848,0.41208791208791207,0.0,0.0,0.05641752982569609,0.08628358936753905,1451,0.0,0.0,0.011467947372446914,0.32076984763432237,0.0,0.0,0.07578638062166083,0.14777233343814417,1451,0.0,0.0,0.09208205423432847,16.709886547811994,0.0,0.0,0.5442639728223446,1.3154486652139554,1451,3.0,31.0,33.640248104755344,145.0,12.0,17.0,58.5,93.5,1451,2,6.0,5.952446588559614,10,3.0,4.0,8.0,9.0
