sample_uuid,n_cells,log10_counts_median,log10_counts_mad,log10_counts_low_candidate,log10_counts_high_candidate,log10_genes_median,log10_genes_mad,log10_genes_low_candidate,log10_genes_high_candidate,pct_mito_median,pct_mito_mad,pct_mito_high_candidate,pct_hb_high_candidate,pct_platelet_high_candidate,blineage_markers_low_candidate,candidate_flagged_cells,candidate_flagged_fraction
0b078cad-b547-43a9-a401-35cab69549b4,608,3.4250448438848617,0.08891195387237172,3.0295822554513268,3.8205074323183967,2.8718646041470857,0.059619907346716516,2.60668718025036,3.1370420280438114,4.270174434984062,0.7040273279246816,7.401547184127461,0.0,0.0,2.5522,278,0.45723684210526316
0e4725c3-8e87-420e-bbf1-15781f6bbf5c,1207,3.1781132523146316,0.07567954663329512,2.8415057647990616,3.5147207398302016,2.741151598851785,0.05362263763715047,2.502648831169267,2.979654366534303,3.1623931623931623,0.7091975523221485,6.316762035611614,0.0,0.0,1.5522,535,0.44324772162386084
0e59aacb-7550-45ed-8510-b29b63163539,465,2.8169038393756605,0.06871581236946023,2.511269649118775,3.122538029632546,2.4771212547196626,0.04736897471725454,2.2664335289722577,2.6878089804670675,4.0,0.837513631406761,7.7250931297709915,0.0,0.0,0.0,154,0.3311827956989247
0eebb9c2-8cf2-4e46-abcb-0525a9507033,1797,3.190611797813605,0.08170867014629168,2.827187974736929,3.5540356208902812,2.7520484478194387,0.05656677132924104,2.5004507623012406,3.0036461333376367,1.9660411081322609,0.46604110813226085,4.03889874888293,0.0,0.0,1.5522,766,0.4262659988870339
0f3a21f5-e7b9-4139-93fb-5407dbfde4fc,420,3.3298043319662853,0.0801228477629965,2.9734339296860295,3.686174734246541,2.8767949762007006,0.05643907868525111,2.625765242024441,3.1278247103769603,3.1824887634151064,0.6784498149147762,6.200097850193048,0.23722557132564775,0.0,2.5522,134,0.319047619047619
1046eed3-a68a-4d02-b26c-4f8054029760,639,3.243534101832062,0.0639619360811512,2.9590442025303174,3.528024001133806,2.7442929831226763,0.04272499806674901,2.55426073672139,2.934325229523963,3.0698388334612434,0.5005895359903483,5.296360971639114,0.0,0.0,1.5522,165,0.25821596244131456
11c6a06c-f0e0-45bc-b5ec-1b14445548d4,978,3.3122831529051853,0.09387897351119756,2.8947282545220805,3.72983805128829,2.8218408038863956,0.06011416745320508,2.55446500988803,3.089216597884761,4.955038599311617,1.1147691357559564,9.91330876132696,0.0,0.0,2.5522,279,0.2852760736196319
11e9756a-d4e3-4024-8167-81f1c9013e09,355,3.315130317183602,0.07960187027605325,2.961077118569772,3.6691835157974317,2.8639173769578603,0.05167268015749116,2.6340876301533713,3.0937471237623493,3.2934131736526946,0.5810350852977715,5.877741026040122,0.27225387306346827,0.0,2.5522,117,0.3295774647887324
13ec931d-a536-4679-ad6c-39d7bbaa8d5d,1167,3.425044874551389,0.09188693431662376,3.01635016809791,3.833739581004868,2.909020854211156,0.06703604962104226,2.610857912706684,3.2071837957156277,4.021447721179625,0.6271918465059954,6.811071616068991,0.0,0.0,2.5522,398,0.34104541559554413
145e48d0-e1f3-48cd-a198-d4c62e1f8ba0,100,3.24907598644341,0.09718528949658234,2.816815255820511,3.681336717066309,2.7084134156395976,0.07951415106308235,2.35475037454122,3.0620764567379752,2.9976558479922244,0.6002245456489566,5.667334582129653,0.0,0.0,0.5522,24,0.24
150f491b-4af3-4972-853f-5d39e7ea824a,198,3.1649473726218416,0.07522059923277769,2.830381191354293,3.4995135538893902,2.715583741522379,0.04836158975018834,2.5004810626314913,2.930686420413267,3.2470235842425685,0.734646516509279,6.51458436037254,0.0,0.0,1.5522,77,0.3888888888888889
168bc7ce-f2e2-46f4-8b35-43f4ddf39693,874,3.2731170530533915,0.06460876729378762,2.985750177884083,3.5604839282227,2.82020145948564,0.047854902337401306,2.6073524248693465,3.033050494101934,3.3082226237654258,0.6662923742322988,6.271757845875845,0.0,0.0,2.5522,337,0.38558352402745993
18773af4-60a6-4a6a-9249-429ddf7f5a89,372,3.261851517595878,0.15798764876584737,2.5591540534151425,3.964548981776614,2.8394775925970066,0.10507803453338949,2.372111510599397,3.3068436745946164,2.4235133601953915,0.7879416474578924,5.928120219758606,0.2805046062801073,0.0,2.5522,114,0.3064516129032258
1990a6b9-ef47-4b7d-ac77-421031dec003,455,3.229681842317676,0.0788825712435628,2.8788279419405574,3.5805357426947944,2.7596678446896306,0.04870472569435469,2.54303896574628,2.976296723632981,4.420629604822505,0.8703337468343393,8.291700043992279,0.0,0.0,1.5522,196,0.4307692307692308
1d10643b-90b7-4d0c-ad8d-534e5bd1ae8a,1582,3.0687422533772173,0.08078476037713056,2.709427796171816,3.4280567105826187,2.6879743916086722,0.05989954847794432,2.4215531798884715,2.954395603328873,2.5823841355536503,0.6064862702117617,5.279913768201524,0.0,0.0,1.5522,719,0.45448798988621997
1d38192e-5e0c-43e5-a813-835461e099ae,769,2.8188854145940097,0.09386788907731347,2.401379817555935,3.2363910116320844,2.439332693830263,0.05759695424295197,2.183152960748461,2.6955124269120647,3.600654664484452,0.8437897799599927,7.353662847790507,0.0,0.0,0.0,226,0.293888166449935
1f4f30c3-dbfc-4478-be7e-e047b7ad642a,617,3.256958152560932,0.08028821989278212,2.8998522081218154,3.6140640970000484,2.8068580295188172,0.057895168262655616,2.5493519001201776,3.064364158917457,2.635740643120717,0.5406104052951224,5.040267603792362,0.0,0.0,2.5522,259,0.419773095623987
1fccdc9f-3051-4556-bea4-57412a092eb8,196,3.3084576810739823,0.07373949194750873,2.980479168789853,3.6364361933581115,2.787460474518415,0.04702900709364455,2.578284856767303,2.996636092269527,3.726585760524145,0.6515063902628504,6.624355883135252,0.0,0.0,1.5522,84,0.42857142857142855
20e15d59-e68c-4af0-873f-199998c6ee3b,309,3.0576661039098294,0.0665119515648458,2.761834245739708,3.3534979620799508,2.6522463410033232,0.04585420462006651,2.4482960096941913,2.856196672312455,3.8555691554467564,0.7869563784436804,7.355793735488557,0.0,0.0,0.5522,153,0.49514563106796117
