sample_uuid,n_bcells,library_uuid_n_unique,library_uuid,Processing_Cohort_n_unique,Processing_Cohort,multi_library_sample,multi_cohort_sample,interpretation
27ae3b51-85d4-49fe-bcc3-89b0cbd59e23,911,8,16552c24-ef48-4e1f-aff5-319a1f739299 | 2e65a160-ba6e-4001-b942-c2aa46cd2c5b | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 7a2abe44-abb7-4648-bb14-224625a6da0b | 7c76a618-92ba-41fd-b0a7-306a1c1a6bf2 | 91761416-a756-48e5-8768-fd169c7c564c | a5750809-7c9f-409f-baa1-9bfbb22d2fcc | d9942805-5a63-4958-b714-7088c0428c65,2,3.0 | 4.0,True,True,expected technical multiplicity; not a biological conflict
27b03089-9abd-4025-b745-1a4d42f729a3,1717,6,2236c52d-924b-415a-aae0-00fa08d12d1f | 4e57f7cc-1df2-467f-8bfe-cb19af5d7350 | 894c6ccb-cb7a-4ea1-b032-b1d93b25247d | 9850fb76-4155-4910-881f-b5d33ee0835c | ddb0a996-79fe-4eac-8760-76ee74c7c333 | f2380b81-e46f-430b-8fd2-e3897ddf7be9,2,2.0 | 3.0,True,True,expected technical multiplicity; not a biological conflict
2899cc75-6bcb-4c24-9375-81a37c2a62f5,347,4,0c3a7808-800f-43b1-a57b-08c3b2bb9e5a | 222b358b-71e7-4b0f-9f9b-47b4c67aaa27 | 585af22b-b80b-4a1d-8cc8-17d65b2639e1 | d8a37460-32f2-4b61-b1d2-1f7f0ba92779,1,2.0,True,False,expected technical multiplicity; not a biological conflict
2c6239f0-efd3-469e-86aa-554f62dfb4f8,667,6,2236c52d-924b-415a-aae0-00fa08d12d1f | 3c722d55-1664-4996-8228-63504e862676 | 894c6ccb-cb7a-4ea1-b032-b1d93b25247d | 9850fb76-4155-4910-881f-b5d33ee0835c | e9ebbe1e-ce77-4c97-a04e-4a64befe98c8 | f2380b81-e46f-430b-8fd2-e3897ddf7be9,2,2.0 | 3.0,True,True,expected technical multiplicity; not a biological conflict
2d3d3f42-1bf4-4177-9be3-0f70a79f9d49,585,4,048cb921-e15f-47a6-a9e3-ed512574e5d7 | c64fa002-95f9-4429-b65c-6f55c7f907d4 | c7f79595-aa68-4139-9a87-094c761cc5ab | d641571e-6406-4309-ae61-acc6f2e0a50d,1,2.0,True,False,expected technical multiplicity; not a biological conflict
2de24ffa-ba31-4218-a87f-7176c9b8f67c,23,4,048cb921-e15f-47a6-a9e3-ed512574e5d7 | c64fa002-95f9-4429-b65c-6f55c7f907d4 | c7f79595-aa68-4139-9a87-094c761cc5ab | d641571e-6406-4309-ae61-acc6f2e0a50d,1,2.0,True,False,expected technical multiplicity; not a biological conflict
2e90178e-8c6e-44a4-8d5a-82dab547abcf,887,4,152e2bfd-e9ea-4d70-a999-6f37fb3fb96c | 30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5 | b816335c-8d84-4ecc-aa3e-2dea51795320 | df159c28-05fb-4f35-83b8-8c14af793f2a,1,3.0,True,False,expected technical multiplicity; not a biological conflict
2ed3aef8-6c08-4c7c-9d7c-8aa618321841,690,4,0955850b-157b-4396-a3da-83b8bcbed172 | 34585dab-86cd-40a1-9780-83204c304046 | ddae4c77-2b07-4e3e-97f1-84a37cf04321 | ecd9109f-7197-46df-b3a8-1ac2d9990185,1,4.0,True,False,expected technical multiplicity; not a biological conflict
2f17ecfd-2b2e-4603-bf0e-4105f13870b5,146,4,15024b21-fb68-4bbe-92cf-0c9ab90f11a6 | 683bd537-4ff4-4741-afe5-be328f499d4b | 68492085-4a2b-4551-9b12-75062c694069 | bdc30514-427c-403e-a0ee-61e7d04e407e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
3098a146-f3f2-4994-b7d1-770425e1f8b8,270,4,28401515-eca4-442a-85fc-f8c2793b1c26 | 9184b09f-ca66-4623-a733-1f64bc1b424f | d9bf3113-086e-4165-ba13-e78a3d7b4138 | e16d2c39-bfd1-4fb1-8ed6-ad6b16f3652e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
3178b123-e965-4449-8944-c88b17d0d082,716,4,1e3165e4-e0c0-4bf7-b803-7d8271b99fd5 | 60373b7d-7c45-428f-9622-aa4f854c4860 | d4d2da4e-6580-479c-b5f6-77b109e72715 | fb1e97d1-dd9c-4314-aae2-9c3745df1411,1,4.0,True,False,expected technical multiplicity; not a biological conflict
32207039-fb11-4f7f-8113-13538664ea08,159,4,152e2bfd-e9ea-4d70-a999-6f37fb3fb96c | 30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5 | b816335c-8d84-4ecc-aa3e-2dea51795320 | df159c28-05fb-4f35-83b8-8c14af793f2a,1,3.0,True,False,expected technical multiplicity; not a biological conflict
3382e6de-ead1-467c-9d88-972e44e867bf,45,4,1495b93b-a19f-4364-95a3-6d8ac531eac6 | 3332f018-936e-4c4c-9105-99d9503db5a3 | 70a004b7-4a17-4702-8910-4557aa0c4279 | cdab3145-edc9-4352-932c-1638e791bfc9,1,4.0,True,False,expected technical multiplicity; not a biological conflict
342b5092-67e5-4a0e-a437-8b735f2a863c,656,8,16552c24-ef48-4e1f-aff5-319a1f739299 | 2236c52d-924b-415a-aae0-00fa08d12d1f | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 894c6ccb-cb7a-4ea1-b032-b1d93b25247d | 91761416-a756-48e5-8768-fd169c7c564c | 9850fb76-4155-4910-881f-b5d33ee0835c | d9942805-5a63-4958-b714-7088c0428c65 | f2380b81-e46f-430b-8fd2-e3897ddf7be9,2,2.0 | 4.0,True,True,expected technical multiplicity; not a biological conflict
3434bd39-04ed-4492-97b1-7410192739e8,447,4,2236c52d-924b-415a-aae0-00fa08d12d1f | 894c6ccb-cb7a-4ea1-b032-b1d93b25247d | 9850fb76-4155-4910-881f-b5d33ee0835c | f2380b81-e46f-430b-8fd2-e3897ddf7be9,1,2.0,True,False,expected technical multiplicity; not a biological conflict
34fcf40d-5976-44a6-8f49-1fe0e3b1c064,335,4,8321fef1-a067-4a62-a461-37e1f1b4f868 | 8627b3d4-c529-45b3-bf1e-0313791be91d | cfb525cf-987b-42c8-afca-8dd18f45b32d | d49aa545-2b96-409c-85e8-2bf8706475fb,1,2.0,True,False,expected technical multiplicity; not a biological conflict
3672d82d-f24c-4536-b75a-0627889e1426,991,12,1556abac-8f1a-404a-8a2f-402ac562143c | 3044f2b9-48b5-45ec-ac14-107f0d7372f0 | 665a3535-8f40-4ae3-9260-cbce7060781f | 8321fef1-a067-4a62-a461-37e1f1b4f868 | 8627b3d4-c529-45b3-bf1e-0313791be91d | a5cedd63-caae-415f-b7e4-c7f660fc89c8 | b795713b-ff23-4494-b6a3-1438b2baee3e | cd2306bc-106c-4506-b778-d184713c463a | cfb525cf-987b-42c8-afca-8dd18f45b32d | d49aa545-2b96-409c-85e8-2bf8706475fb | d9278721-fad6-4eba-a1bb-4a26c0aea206 | f1568b25-4a87-414f-8329-1a860a3a8aeb,2,1.0 | 2.0,True,True,expected technical multiplicity; not a biological conflict
37214563-4102-451e-a546-a1833db3aedd,382,4,0955850b-157b-4396-a3da-83b8bcbed172 | 34585dab-86cd-40a1-9780-83204c304046 | ddae4c77-2b07-4e3e-97f1-84a37cf04321 | ecd9109f-7197-46df-b3a8-1ac2d9990185,1,4.0,True,False,expected technical multiplicity; not a biological conflict
