panel,analysis_name,program_id,program_label,analysis_family,publication_role,positive_available,positive_total,negative_available,negative_total,availability_pass,effect,se_hc3,ci_low,ci_high,statistic,df,p_value,q_value_primary4,order,label,color,dataset,ensembl_id,gse174188_symbol,gse174188_logFC,gse135779_symbol,gse135779_logFC,gene_symbol,is_frozen_ifn_gene,full_effect,loo_min_effect,loo_max_effect,loo_max_absolute_delta,loo_sign_concordance,loo_any_sign_flip,most_influential_sample_id,omitted_source_label,minimum_cells_after_omission
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000171456,ASXL1,-0.212284503149538,ASXL1,0.201822048867467,ASXL1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000149600,COMMD7,0.0579764956590579,COMMD7,-0.0669047364767499,COMMD7,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101367,MAPRE1,-0.156726402842703,MAPRE1,0.301702183307473,MAPRE1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101421,CHMP4B,0.0658864084225173,CHMP4B,-0.0094924235783459,CHMP4B,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000125970,RALY,0.0111814752447342,RALY,-0.0705713748420654,RALY,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000125977,EIF2S2,0.0544245837350531,EIF2S2,0.0278455446591988,EIF2S2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000078747,ITCH,-0.0232045744949875,ITCH,-0.0549876448598927,ITCH,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000125971,DYNLRB1,0.108789279461941,DYNLRB1,-0.0171493871414372,DYNLRB1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000088298,EDEM2,-0.0795789401628382,EDEM2,0.143300145198858,EDEM2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000126005,MMP24OS,-0.0896013651890289,MMP24-AS1,-0.0365223752433571,MMP24OS,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000242372,EIF6,-0.0132477087229999,EIF6,0.0190360742636073,EIF6,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000230155,CEP250-AS1,-0.100188166195561,RP3-477O4.14,-0.287622999329429,CEP250-AS1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000125991,ERGIC3,-0.0576351507371789,ERGIC3,-0.129435137007187,ERGIC3,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000214078,CPNE1,0.178468370050658,CPNE1,-0.0664479763864343,CPNE1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000125995,ROMO1,0.031191635031671,ROMO1,0.148929802809347,ROMO1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000131051,RBM39,-0.13337455410277,RBM39,0.194616935436627,RBM39,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000025293,PHF20,-0.06907547400799,PHF20,-0.0898922456474601,PHF20,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000171222,SCAND1,-0.0444708765486428,SCAND1,0.139568105447128,SCAND1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000260032,NORAD,0.110592148929019,LINC00657,0.172290310625634,NORAD,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000080845,DLGAP4,-0.0974804376286452,DLGAP4,-0.0180386820724374,DLGAP4,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101084,RAB5IF,-0.0194658960999153,C20ORF24,0.161379608954987,RAB5IF,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101347,SAMHD1,0.109215517329669,SAMHD1,0.142929941191606,SAMHD1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000118705,RPN2,0.135541292211897,RPN2,-0.00508994264333115,RPN2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000166619,BLCAP,0.171824450073811,BLCAP,-0.00282630519031948,BLCAP,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000132792,CTNNBL1,-0.0903519431077184,CTNNBL1,0.0497694306500451,CTNNBL1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000198900,TOP1,0.289972270001725,TOP1,-0.039524839912775,TOP1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124177,CHD6,-0.0207701608554047,CHD6,-0.0179889334839472,CHD6,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124193,SRSF6,-0.0818927892986021,SRSF6,0.149977351737096,SRSF6,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000132823,OSER1,-0.40703206522345,OSER1,-0.0466620742823755,OSER1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000132824,SERINC3,0.0160013072665801,SERINC3,-0.0455288834370389,SERINC3,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000168734,PKIG,0.151375831819877,PKIG,-0.204014428876771,PKIG,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000166913,YWHAB,0.0319386621594666,YWHAB,-0.161978528955409,YWHAB,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101109,STK4,-0.126732325472368,STK4,-0.211431622157671,STK4,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124155,PIGT,0.125319234826828,PIGT,0.103247820628133,PIGT,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000064601,CTSA,-0.162093029629182,CTSA,0.303314897120516,CTSA,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000100982,PCIF1,-0.0678864093581727,PCIF1,0.263758869362466,PCIF1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101017,CD40,0.220812545775477,CD40,-0.260561184295756,CD40,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000080189,SLC35C2,-0.0193628595293662,SLC35C2,0.00044500364370647,SLC35C2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101040,ZMYND8,0.0578579083561325,ZMYND8,0.100092394135729,ZMYND8,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124151,NCOA3,-0.0980897238116142,NCOA3,-0.00579373538105134,NCOA3,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000196562,SULF2,0.218632085309531,SULF2,-0.798525221393109,SULF2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124214,STAU1,0.0665907760975175,STAU1,0.077187155360953,STAU1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124228,DDX27,0.105905918039266,DDX27,-0.0288412934135758,DDX27,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000177410,ZFAS1,-0.166078239422344,ZFAS1,-0.184545811764218,ZFAS1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124226,RNF114,0.0183797823513766,RNF114,0.259799437151359,RNF114,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000244687,UBE2V1,-0.153823151889852,UBE2V1,0.117951119594739,UBE2V1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000172216,CEBPB,0.147838468022868,CEBPB,0.200650813369759,CEBPB,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000196396,PTPN1,-0.0534884330093296,PTPN1,0.341720597363704,PTPN1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124243,BCAS4,-0.105137756539478,BCAS4,-0.0190801905559302,BCAS4,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101126,ADNP,0.116622851729597,ADNP,0.17474711057891,ADNP,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000000419,DPM1,-0.0724701957798097,DPM1,-0.16577159127006,DPM1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101132,PFDN4,-0.171556884266282,PFDN4,-0.131220808269706,PFDN4,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000022277,RTF2,0.13772338288245,RTFDC1,-0.244096602828832,RTF2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000132819,RBM38,-0.25119082611628,RBM38,-0.00413094546445795,RBM38,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124256,ZBP1,0.196342334744997,ZBP1,0.496843114159834,ZBP1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124222,STX16,-0.0331101956156439,STX16,0.030413554059855,STX16,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000087460,GNAS,0.0884486374031566,GNAS,0.137194084163176,GNAS,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101158,NELFCD,-0.00872322275990053,NELFCD,-0.110878589879933,NELFCD,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101160,CTSZ,-0.01549740311251,CTSZ,-0.2182020885047,CTSZ,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000124172,ATP5F1E,0.0249808773842728,ATP5E,-0.00256833117504085,ATP5F1E,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101166,PRELID3B,-0.182049683304182,SLMO2,0.0514617382553579,PRELID3B,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101182,PSMA7,0.0598261449483091,PSMA7,-0.165215410214462,PSMA7,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000130706,ADRM1,0.035074115278928,ADRM1,-0.0808380367949452,ADRM1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000171858,RPS21,-0.125503725171255,RPS21,-0.0454540510169446,RPS21,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000060491,OGFR,-0.0116816431034396,OGFR,-0.0796574136102074,OGFR,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101191,DIDO1,-0.00638152310325808,DIDO1,0.0965379811584609,DIDO1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101193,GID8,0.165295463188085,GID8,-0.0368045461286936,GID8,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000125534,PPDPF,-0.162316336704922,PPDPF,0.0253022507639487,PPDPF,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000232442,MHENCR,-0.233095255377491,CTD-3184A7.4,0.259685411374737,MHENCR,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000197457,STMN3,0.0561836121175478,STMN3,-0.0928912430169114,STMN3,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101246,ARFRP1,0.172097929003181,ARFRP1,0.032306476802732,ARFRP1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101150,TPD52L2,-0.0753679322526574,TPD52L2,-0.0501637470719421,TPD52L2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000198276,UCKL1,-0.301289567619578,UCKL1,-0.0993443000554433,UCKL1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000101161,PRPF6,-0.0222334532966251,PRPF6,-0.108335174065194,PRPF6,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000171703,TCEA2,-0.273940480801304,TCEA2,-0.0614195459185914,TCEA2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000171700,RGS19,0.180235540338612,RGS19,-0.1745608523692,RGS19,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000203880,PCMTD2,-0.0448432175546224,PCMTD2,-0.0846706203534114,PCMTD2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000141933,TPGS1,0.22979413569133,TPGS1,-0.0772390197501334,TPGS1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000172270,BSG,-0.0255520621313071,BSG,0.157080445628222,BSG,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000070423,RNF126,-0.126677595433621,RNF126,0.0667480376120538,RNF126,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000011304,PTBP1,-0.13463106617653,PTBP1,-0.0614797858235313,PTBP1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000197766,CFD,0.0974469781329908,CFD,0.622281354231571,CFD,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000198858,R3HDM4,-0.0973894285586887,R3HDM4,-0.0789328628809426,R3HDM4,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000182087,TMEM259,-0.133848772041679,TMEM259,0.0653035092607411,TMEM259,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000064666,CNN2,0.0114481737337767,CNN2,-0.0215125977212358,CNN2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000180448,ARHGAP45,-0.0595215413953437,HMHA1,-0.00724536855888121,ARHGAP45,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000099817,POLR2E,0.0886417776040742,POLR2E,0.06429680086634,POLR2E,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000167468,GPX4,-0.0582400192693596,GPX4,-0.0553397642532806,GPX4,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000099624,ATP5F1D,-0.0589993210955075,ATP5D,-0.0330534072293653,ATP5F1D,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000167470,MIDN,-0.241777424424924,MIDN,0.114063002745173,MIDN,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000099622,CIRBP,-0.170452756279139,CIRBP,-0.130958563476044,CIRBP,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000228300,FAM174C,0.00967682002028291,C19ORF24,0.0377044597280131,FAM174C,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000160953,PWWP3A,0.0304865671359471,MUM1,-0.358927358046684,PWWP3A,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000115286,NDUFS7,0.0959214340041576,NDUFS7,-0.0248627513376543,NDUFS7,False,,,,,,,,,
